,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,[5],273061,Awakening,[6],After the epic horrors of DOOM and The Beginning of the End parts I and II you are a broken man Demons haunt your mind and plague your sleep Unable to cope you are sent to a UAC medical facility that also happens to double as a radioactive toxic waste treatment plant Here along with the few other surviving scarred space marines you are prescribed crynotherapy Your body is placed in suspended animation while your mind is flushed with chemicals and stimulants in order to cleanse the horrors from your psyche But something is wrong As soon as you are put into stasis you awaken again Things are different The building seems deserted and in shambles No sounds are heard You step out of your chrinochamber to a familiar smell The smell of rancid flesh The smell of death You draw your pistol which you never let leave your side no matter what the circumstances You wonder if this nightmare will ever be over You get the sense the worst is only beginning,Missing,Missing,,,,,,
1,[5],271977,Duke 23:4,[6],This picks up where Duke 316 left off after Duke escapes through the railroad tunnel,Missing,Missing,,,,,,
2,[5],268601,"Blood, Fire, Death",[6],You Akroxs the archimagus of fire and ice Long time ago you have called great demons masters of fire for yourself in a service in exchange for the soul But when payment time has come you have not wished to give the most valuable that is at you And you have gone to their house to win them and not to be more dependent on them Whether you will to win them Or you will for ever doom the soul to a fiery torment,Missing,Missing,,,,,,
3,"[5, 32, 33]",266695,Eclosion,[6],A 2D vertical scrolling shooting game A predecessor to Precious Star,Missing,Missing,,,,,,
4,[5],260783,Heretic Treasure Chest,[6],The HTC was a community project aiming to make a 3 episode Heretic Megawad that would run on limit removing ports that support Heretic ie Doomsday ZDoom etc,Missing,Missing,,,,,,
5,"[12, 14, 32]",253684,Solo Joe,"[6, 14]",A rock climbing rpg,Missing,Missing,,,,,,
6,[7],240172,Guitar Praise: Stryper,"[6, 14]",An expansion pack for Guitar Praise featuring 25 tracks from the band Stryper commemorating the bands 25th anniversary,Missing,Missing,,,,,,
7,"[4, 26, 31, 32, 33]",222860,Duel Toys 2,[6],Duel Toys 2 is a fightingadventure FanGame which features tons of different well known characters from various gamescomicsmovies and turn them into Dueling Toys  It features more then 60 characters from games like Street Fighter King of Fighters Mortal Kombat and even pop icons like Darth Vader and Michael Jackson Each are represented exactly like they are in their original games It also contains more than 10 original characters,Missing,Missing,,,,,,
8,[34],218641,Anniversary no Kuni no Alice: Wonderful Wonder World,"[6, 38]",Anniversary no Kuni no Alice Wonderful Wonder World is a remake of Heart no Kuni no Alice featuring redrawn CGs and new character routes It was originally released on March 2010 for PC and a version for PSP was released on July 2011,Alice is realistic especially about love One day she is taken to the world of heart which is full of danger For example an owner of a hat shop is a gangster and every theme park worker carries a gun almost all of the people are dangerous  She somehow starts to enjoy her life there after she is forced to take a drug which prevents her from returning to her original world Will she find a way back Will she fall in love,Missing,,,,,,
9,"[12, 31, 32]",206929,Sanae no Chou Tokkyuu: TheExpressTrial,[6],A doujin game by Aqua Style based on the Touhou Project series,Missing,Missing,,,,,,
