first_release_date,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1286236800,"[12, 31]",267578,Seal Online: Eternal Destiny,[6],The land of Shiltz comprise of quests that enable players to level their characters in an expansive world while playing with others from around the globe,An animestyle MMO based on the original Seal Online game The features six classes with two subclasses available for each,Missing,nan,nan,nan,nan,nan,nan
1287187200,[12],260725,Random Dungeon,[6],Missing,Dungeon crawler RPG with light townbuilding elements created in RPG Maker VX by hamusuta The player controls a trio of adventurers exploring a mysterious dungeon in order to gather funds to revitalize their town The loot in the dungeon is randomized with battles being turnbased affairs heavily dependent on the use of status and buffsdebuffs as well as the right equipment  The story is mostly humorous and unapologetically yuri and is presented in a somewhat nonlinear manner with story scenes being unlocked by achieving certain conditions for example finding a random weapon in the dungeon raising your affinity level with a certain character or using a facility in the town a certain number of times While the game uses a traditional leveling system smart use of strategy is rewarded in the form of additional loot and bonus EXP awarded for beating the bosses below a recommended level,Missing,nan,nan,nan,nan,nan,nan
1286582400,Missing,257823,Dark Tales: Edgar Allan Poe's The Black Cat,"[6, 14]",Missing,Go on an adventure with Inspector Dupin Monsieur Mark Davies has reported his wife Sara missing and now its up to you to track her down and solve the mystery Follow a mysterious black cat who seems to be purposely helping you and discover helpful clues in Dark Tales Edgar Allen Poes The Black Cat Use your Hidden Object talents to tackle the case and discover the evil culprit behind Saras disappearance,Missing,nan,nan,nan,nan,nan,nan
1288137600,[5],256446,Team Fortress 2: The Second Annu-Hell Scream Fortress Hauntdead Halloween Special,[6],Missing,The Second AnnuHell Scream Fortress Hauntdead Halloween Special then also commonly known as the Scream Fortress Update Following the previous years Haunted Halloween Special the celebration established the annual Team Fortress 2 Halloween event,Missing,nan,nan,nan,nan,nan,nan
1287619200,Missing,255774,Final Fantasy XI: Vision of Abyssea,[6],Missing,Addon Scenario for Final Fantasy XI,Missing,nan,nan,nan,nan,nan,nan
1286496000,[5],249676,The Final Project: A Mapper's Diary,"[3, 6, 14]",Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1287532800,Missing,228589,Sonic Fan Remix,"[6, 34]",Missing,Sonic Fan Remix is a fan game currently being developed by pelikan13 and Damizean It is a reimagining of classic Sonic levels from Sonic 1 2 and 3 in 25D detailed graphics,Missing,nan,nan,nan,nan,nan,nan
1285977600,[34],221038,Sugar-Coated,[6],Missing,My only immediate family died I relied on my uncle and moved to Mokari village where my fathers home was The words that cross my head are words relentlessly repeated since childhood Suoh no matter what I will never return to that village Even if its body is destroyed the demons grudge will never go away Surrounded by friendly friends and beautiful features gradually getting used to a new life The world peeped at the poison under the sugar coating as if watching it,Missing,nan,nan,nan,nan,nan,nan
1287273600,[5],214845,1187,[6],Its Life in Amstelveen the Netherlands after the Xen invasion Its been a week since Joure last left the apartment A familiar home is now a very unfamiliar and unwelcome place no longer a home sweet home Rations are running low weird creatures are running havoc and with no way of defending himself he heads out into the appartment complex surviving trying to see it all through to a safe end if anything as such exists ,Almost a decade after the black mesa incident which opened up the portal storms you find yourself trying to cope with its aftermath creatures appeared which came out of what seemed to be thin air They cam without warning and swept the world it is during this time that you find yourself your apartment Alone For no apparent reason youve been approached as in a dream by a man in a suit Having no idea of whats going on all you can do is try to stay alive,Missing,nan,nan,nan,nan,nan,nan
1288051200,[9],213598,Escape from Frankenstein's Castle,[6],Missing,Injured in a car crash with her fiancé Horatio Hannah wakes up alone and finds herself trapped in Dr Frankensteins castle Horatios missing and with guidance from a resident ghost Isabella Hannah quickly realizes Dr Frankenstein is conducting strange experiments that put both her and Horatio in grave danger Help Hannah as she interacts with the castles suspicious inhabitants discovers clues about the doctors master plan and completes puzzles to find a way out,Missing,nan,nan,nan,nan,nan,nan
1287705600,[8],213183,Eggman Hates Furries,[6],Missing,Eggman Hates Furries is a Game Makerbased Sonic the Hedgehog fangame made by Oddwarg billed as a 2D physicsbased platformer which focuses on refined boss battles and stylish presentation The plot is fairly simple but not nonexistent The story opens with Sonic racing Dr Eggman to one of the Chaos Emeralds Just as Sonic is about to claim the gem Eggman overtakes him violently knocks him aside and claims the Emerald for himself Sonic spends some time unconscious and dreams of Eggman attacking and capturing his best friend Miles Tails Prower Sonic wakes up at his and Tails home and walks outside to find Tails making some adjustments to the Tornado before setting out on a casual flight Sonic attempts to follow Tails only to be confronted by Eggman who promptly knocks Sonic off a nearby cliff Sonic and Tails are quickly caught up in a deadly game of catandmouse against Eggman and his many contraptions fighting for their very lives,Missing,nan,nan,nan,nan,nan,nan
1286755200,Missing,210076,ICarly: Isock it to 'Em,[6],Missing,Spencers creating a gigantic sock sculpture for his buddy Socko and needs  yep you got it  socks Join Carly and friends on her web Telethon to help get crazy fun acts onstage to perform The more points received the more socks get donated and the bigger a success Spencers sock sculpture will be Can Freddie keep his camera in focus Can you keep Spencer and Sam out of trouble at the judges table Hurry You have just 28 hours to collect enough socks in iCarly iSock it to Em,Missing,nan,nan,nan,nan,nan,nan
1286668800,[34],209051,K-ON Galge!? Mio to Ritsu,[6],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1288310400,[31],201204,Ryokou-chuu,[6],Missing,Ryokouchuu is a Japanese Yume Nikki fangame Its a traditional fangame but there are two unique elements to this game First is that you cant wake up once youve entered the dream world Secondly a timer appears limiting your time in the dream world Youre given two minutes to explore and collect effects The game ends when the timer reaches zero  You play as a girl named Sazanami who is staying in a hoteldorm with what appear to be her two classmates,Missing,nan,nan,nan,nan,nan,nan
1287705600,Missing,191805,Nekketsu Koukou Online: Yamada no Fukushuu,[6],Missing,Kuniokun online game developed by Windysoft which began closed beta testing in 2008 until October 22 2010,Missing,nan,nan,nan,nan,nan,nan
1287792000,[5],186762,Newgothic Movement 1,[6],Missing,My little repository of insane slaughter maps Movement 1 released because I wanted to focus on Uacultra 2 with 40oz So about the maps this wad contains 18 gothic industrial or hellthemed maps many are actually a bit of a combination of themes Expect numbers of monsters around the largest slaughter maps youve encountered or possibly more But the gameplay in most will be a little easier cause I overstock powerups,Missing,nan,nan,nan,nan,nan,nan
1287792000,[8],185739,Dear Agent,[6],Missing,Dear Agent is an action game with some thinking involved It plays similarly to a typical platform game As an agent your job is to complete several missions all of which involve killing all enemies both humans that walk around randomly and beasts that breathe fire when up close and destroying all objects on a level then getting to the teleporter,Missing,0.0,0.0,0.0,80.0,1.0,0.0
1286668800,[34],183097,Phantom Seeds,"[6, 82]",Missing,The events of this mysterious and sad tale take place in the traditional Asian rural landscape and start on the day that a curious looking child enters a small village,Missing,nan,nan,nan,nan,nan,nan
1287964800,[15],164393,Sid Meier's Civilization V: Babylon (Nebuchadnezzar II),[6],Missing,Previously available exclusively as part of the Digital Deluxe Edition the Babylonian Civilization Pack and their ruler Nebuchadnezzar II c 630  c 561 BC is now available as a separate download,Missing,nan,nan,nan,nan,nan,nan
1288396800,"[12, 31]",147250,Towelket: One More Time 5 - Gaugau's Bride,[6],In the center of the earth a pair of robots constantly jump to turn the planet But one day a stupid girl stops Earths rotation,TK5 is much sillier than the past few games and a lighthearted back to the roots of the series of sorts Towelket Fury was meant to become TK5 but was cancelled and now Gaugaus Bride has its spot There was also another prototype game called Towelket Classic or Towelket Omote which is only about an hour long,Missing,nan,nan,nan,nan,nan,nan
1287964800,"[31, 32]",145035,Answered Prayers,[6],Missing,Answered Prayers is a Yume Nikki fangame made by Klaufir in RPG Maker 2003 One of the more wellknown English fangames Answered Prayers is also one of the lighter Yume Nikki fangames This game has plenty of areas to explore with little goreblood compared to many other Yume Nikki derivatives  The game was on hiatus between 2013 and 2022 to version 003 according to the official website but the site was updated the 5th of July 2022 with new screenshots showing the future version 004 and is now noted as a version in development,Missing,0.0,4.0,0.0,85.0,2.0,2.0
1286668800,[5],141255,Jade Earth,[6],Missing,Jade Earth is a singlelevel PWAD for Doom II A massive UAC base hidden deep underground Save soldier because youre going to need it par time 12000,Missing,nan,nan,nan,nan,nan,nan
1288224000,"[5, 13]",140459,Front Mission Evolved: Wanzer Pack 3,"[6, 9, 12]",The game is set in the year 2171 50 years after the events of Front Mission 5 Scars of the War During the 22nd century the worlds superpowers look towards space for expansion and began constructing large structures called orbital elevators With an increasing number of surveillance satellites and spacebased technologies being developed a Cold Warstyle atmosphere sets in as the supranational unions used these technologies to watch over their adversaries on Earth    The plot of Front Mission Evolved revolves around USN engineer Dylan Ramsey As an engineer for the weapons developer Diable Avionics Dylan begins testing of a prototype wanzer on Long Island New York In the midst of the wanzer test unknown forces begin attacking New York City and its orbital elevator Percival Worried about his fathers safety in the city he sets off for New York City inside the prototype As he travels through the city to reach the National Strategic Research Laboratory NSRL Ramsey assists USN forces battling the unknown assailants After battling through numerous enemy wanzers vehicles and aircraft Dylan makes it to the NSRL premises just as missiles are launched into the building With his father seemingly dead he engages the attacker Marcus Seligman of the Apollos Chariot The fight is cut short when the orbital elevator begins crashing down on New York City After Percival collapses Dylan is recruited into the USN Army as it prepares for war against the Oceania Cooperative Union,Smash the competition with a wanzer evolved from the Front Mission franchises past Wildgoat and 1 brandnew type ISVPrototype    NOTE There are numbering differences between the Japanese and English releases for the same content Japanese stores released as Wanzer Pack 2 while western stores released as Wanzer Pack 3,Missing,nan,nan,nan,nan,nan,nan
1288137600,"[5, 13]",140458,Front Mission Evolved: Wanzer Pack 2,"[6, 9, 12]",The game is set in the year 2171 50 years after the events of Front Mission 5 Scars of the War During the 22nd century the worlds superpowers look towards space for expansion and began constructing large structures called orbital elevators With an increasing number of surveillance satellites and spacebased technologies being developed a Cold Warstyle atmosphere sets in as the supranational unions used these technologies to watch over their adversaries on Earth    The plot of Front Mission Evolved revolves around USN engineer Dylan Ramsey As an engineer for the weapons developer Diable Avionics Dylan begins testing of a prototype wanzer on Long Island New York In the midst of the wanzer test unknown forces begin attacking New York City and its orbital elevator Percival Worried about his fathers safety in the city he sets off for New York City inside the prototype As he travels through the city to reach the National Strategic Research Laboratory NSRL Ramsey assists USN forces battling the unknown assailants After battling through numerous enemy wanzers vehicles and aircraft Dylan makes it to the NSRL premises just as missiles are launched into the building With his father seemingly dead he engages the attacker Marcus Seligman of the Apollos Chariot The fight is cut short when the orbital elevator begins crashing down on New York City After Percival collapses Dylan is recruited into the USN Army as it prepares for war against the Oceania Cooperative Union,Crush the competition with 2 wanzers from the Front Mission franchise  the Stork Mk IV and Tatou    NOTE There are numbering differences between the Japanese and English releases for the same content Japanese stores released as Wanzer Pack 1 while western stores released as Wanzer Pack 2,Missing,nan,nan,nan,nan,nan,nan
