first_release_date,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1310774400,[5],268466,Where Serpents Ever Dwell,[6],After the lifeless bodies of Dsparils body guards crumble and fall to the ground for the first time in ages you feel a sense a sense of relief as you enter the portal that finally takes you home  This is a challenging map for Heretic and your gonna need to keep moving as well as taking full advantage of artifacts if you want to survive,Missing,Missing,nan,nan,nan,nan,nan,nan
1311379200,[10],252111,Super Drift 3D,"[6, 82]",Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1309910400,[8],250074,MFGG 10th Anniversary Time Capsule,[6],July 9th 2011 ten years after MFGG was founded in 2001 we take a look back on what fangames were like back then  This compilation contains 11 games from the early days of MFGG made by MFGG veterans but ultimately never completed  Included in the compilation 1998  Super Mario X 2001  Luigi Quest 2001  Super Sonic Bros 2001  Super Mario The Project 2002  Wario Eats Everything 2002  Luigis Game 2002  Toad Strikes Back Prototype Version 2003  Mario Spy 2003  Pocket Mario 2005  Waligie 3 On Mars 2006  MarioQuest 3 The Ghost of SEGA,Missing,Missing,nan,nan,nan,nan,nan,nan
1311120000,"[8, 14, 31]",249285,Farhoud Farmand's The Mountaineer,[6],Farhoud Farmands The Mountaineer کوهنورد in Persian is a 2D platformer that tells the story of Faad an upandcoming climber that enters a mountaineering competition known as The Excellent Climber with the goal of glory and receiving the certification necessary to be a mountain ranger  When faced with the unfortunate news that three wanted criminals have fled custody and are causing chaos in the same mountain range as the competition Faad has to use his natural gifts and wit to overcome his competitive obstacles also bring the fugitives to justice,Missing,Missing,nan,nan,nan,nan,nan,nan
1310601600,"[12, 32]",243443,Cthulu Saves the World,[6],The lord of insanity Cthulhu was all set to plunge the world into insanity and destruction when his powers were sealed by a mysterious sorcerer The only way for him to break the curse is to become a true hero Save the world to destroy it in an epic parody RPG journey of redemption romance and insanity,Missing,Missing,nan,nan,nan,nan,nan,nan
1310342400,[10],234918,Dirt 3: Horn Pack,"[6, 9, 12]",Download 6 new Horns and let your rivals know youre coming for them,Missing,Missing,nan,nan,nan,nan,nan,nan
1311638400,[10],234792,Dirt 3: X-Games Asia Track Pack,"[6, 9, 12]",X Games Asia Track Pack is a DLC for DiRT 3 featuring two racing circuits located in ShibuyaTokyo These tracks were previously featured in DiRT 2  This DLC was later included into DiRT 3 Complete Edition,Missing,Missing,nan,nan,nan,nan,nan,nan
1310428800,"[10, 14]",234667,Dirt 3: Mud and Guts Car Pack,"[6, 9, 12]",The Mud  Guts Car Pack is a downloadable content pack in Dirt 3 It can be purchased via the Xbox Live Marketplace for 480 MSP or the PlayStation Store for 599 Each of the vehicles are also available separately  Featured cars  Lancia Stratos Peugeot 205 T16 Evo 2 Citroën C4 Rallycross Ford Mustang GT Saturn Sky,Missing,Missing,nan,nan,nan,nan,nan,nan
1311897600,"[13, 31]",232684,The Herobrine Mod,"[3, 6, 14]",The Herobrine Mod is a mod for Minecraft that adds the infamous Herobrine and scary gameplay features,Missing,Missing,nan,nan,nan,nan,nan,nan
1311897600,[4],225148,Ultra Street Fighter IV: Arcade Challengers Pack 2011,[6],All alternate costumes for Yun Yang Evil Ryu and Oni are included in this pack Make the newest challengers stand out from the pack with these slick outfits,Missing,Missing,nan,nan,nan,nan,nan,nan
1311897600,[4],225144,Ultra Street Fighter IV: Complete Femme Fatale Pack 2011,[6],All alternate costumes for ChunLi CViper Sakura Rose and Cammy are included in this pack Make these gorgeous and dangerous femme fatales ultra stunning with these outfits,Missing,Missing,nan,nan,nan,nan,nan,nan
1311897600,[4],225139,Ultra Street Fighter IV: Complete Challengers 1 Pack 2011,[6],All alternate costumes for Hakan Makoto Guy Dudley and Dee Jay are included in this pack Don your ultra rad gear and go to town on the opposition,Missing,Missing,nan,nan,nan,nan,nan,nan
1311897600,[4],225138,Ultra Street Fighter IV: Complete Shoryuken Pack 2011,[6],All alternate costumes for Ryu Ken Gouken Dan and Akuma are included in this pack Mix things up with your favorite Shotokan characters,Missing,Missing,nan,nan,nan,nan,nan,nan
1311897600,[4],225137,Ultra Street Fighter IV: Complete Shadoloo Pack 2011,[6],All alternate costumes for Balrog Sagat Vega M Bison and Seth are included in this pack Don these threads and take down all of your rivals in style,Missing,Missing,nan,nan,nan,nan,nan,nan
1311897600,[4],225136,Ultra Street Fighter IV: Complete Classic Pack 2011,[6],All alternate costumes for Guile Blanka Dhalsim Gen and Fei Long are included in this pack Show everyone that legends never die and never go out of fashion,Missing,Missing,nan,nan,nan,nan,nan,nan
1311897600,[4],225135,Ultra Street Fighter IV: Complete Challengers 2 Pack 2011,[6],All alternate costumes for Juri Ibuki Cody Adon and THawk are included in this pack Create a new legend with these crazy costumes,Missing,Missing,nan,nan,nan,nan,nan,nan
1311897600,[4],225134,Ultra Street Fighter IV: Complete Brawler Pack 2011,[6],All alternate costumes for Zangief EHonda Rufus Abel and El Fuerte are included in this pack Make these characters even more unique with these wild costumes,Missing,Missing,nan,nan,nan,nan,nan,nan
1311292800,"[31, 34]",221963,Zettai Meikyuu Grimm Director's Cut: Nanatsu no Kagi to Rakuen no Otome,[6],Adds new stories and CGs not included in the PSP release,Henrietta likes fairy tales She peacefully lives with the Grimm brothers in a small village But one day Henrietta has a dream of being lost in the forest When she wakes up the world has completely changed There are only Henrietta and Ludwig the youngest brother of the Grimm brothers in the village They decide to go on an adventure to look for other two brothers,Missing,nan,nan,nan,nan,nan,nan
1311724800,Missing,218176,Ghost9,[6],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1311292800,[31],213699,The Aether,"[3, 6, 14]",The Aether is a popular content mod for Minecraft that includes the Aether dimension the opposite of The Nether which provides several new blocks mobs and items as well as a whole new accessory system,Missing,Missing,nan,nan,nan,nan,nan,nan
