,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[34],272535,Kisaragi Gold Star: Nonstop Go Go!!,"[6, 38]",Nitta Futami who lives in Kosmos Manor has close childhood friends all of whom have mysterious matching bracelets All of my childhood friends other than Futami are idols at Koei Gakuin and their talent in singing and playing the piano was recognized and they became scholarship students but they all have some problems with their livelihood so Futami takes care of them came A school festival is to be held at the same time as Jugoya and the childhood friends are selected to be the main actors but they seem to be acting strangely and a mysterious bracelet tells them that they dont have time which accelerates their anxiety  Futami remembers his dream while trying to help the girls,Kisaragi Gold  Star Nonstop Go Go is a Visual Novel video game developed by Saga Planets and published by Piacci which was released in Japan in 2013,Missing,,,,,,
1,[5],271447,The Ivory Tower,[6],Missing,Mediumsized medieval towers in a mine canyon with many secret areas that allow for somewhat nonlinear gameplay a builtin skill selection area and custom medievalthemed items The map source is included in the pak,Missing,,,,,,
2,Missing,269502,Mystery Channel,[6],Missing,Slapdash and frankly unintelligible halloween anthology game Made for a 9day contest on saltworldnet,Missing,0.17,0.0,0.0,60.0,1.0,1.0
3,[5],267919,Ghost Mayoker,[6],Missing,This is a game where you use beams and ramming to eliminate approaching ghosts As you defeat ghosts the level increases and becomes more and more difficult,Missing,,,,,,
4,[9],262262,Maou Shoujo Eri,[6],Missing,Created in Wolf RPG Editor by yako this is a puzzle game where the player must navigate dungeons evading enemies and traps in order to save a kidnapped girl from the Evil Lord The objective is to reach the end of every map before a timer runs out The player character can destroy any enemy just by body slamming it into oblivion at the cost of HP equal to the level of the enemy It is also possible to restore 30 HP with the press of a button in exchange for 1 second on the timer  The player must find the most optimal route in every map managing health and trying to find all the secrets hidden in the game while still reaching the exit point of the map on time,Missing,,,,,,
5,[5],262174,Fuel Devourer,[6],Missing,Large fuel base full of monsters  go and kill them Made for FDC11,Missing,,,,,,
6,"[2, 9, 31]",257646,Daymare Town 4,"[6, 14]",Missing,This is the original flash version of the game in high definition and playable in fullscreen,Missing,0.75,0.0,0.0,70.0,1.0,1.0
7,Missing,255534,Station.exe,[6],Missing,Strange CD short liminal style game with large bulbous heads following the player,Missing,,,,,,
8,Missing,241155,Disney Infinity: Toy Box,"[6, 39]",Missing,The Toy Box mode from Disney Infinity 10 as a standalone game on Windows and iOS,Missing,,,,,,
9,[31],233818,Minecraft: N7 Mash-up,"[6, 9, 12, 34, 39, 41, 46, 48, 49, 74, 130, 132, 388]",Missing,Shape the fate of your Minecraft galaxy with this amazing mashup which includes thirtysix character skins bespoke game textures themed menus a dedicated world filled with iconic locations and an original soundtrack compilation to set the mood,Missing,,,,,,
10,[31],232807,Witchery,"[3, 6, 14]",Missing,Witchery is a mod for Minecraft based around the magic of witchcraft This mod allows players to perform rituals brew special potions collect fumes and learn to control the magic that is present in the world,Missing,,,,,,
11,[32],229930,Symbol,"[3, 6, 14]",Missing,Weird things on the side of the road,Missing,,,,,,
12,[2],229397,Onasu,[6],Missing,Onasu is a Yume Nikki fangame It is based on the console game in Yume Nikki Nasu  Your goal is to catch the falling eggplants before they destroy all of the floor tiles beneath you and achieve the highest score possible,Missing,,,,,,
13,"[5, 32]",224456,Criticism Roundup 2013,[6],Missing,You a soontobe esteemed game critic are surrounded on all sides with police officers who want you dead,Missing,,,,,,
14,[15],220884,The Occult Chronicles,[6],Missing,Missing,Missing,,,,,,
15,[31],216438,Captain Verdeterre's Plunder,"[3, 6, 14, 82]",Missing,You should carry the bag Im more of a delegator  A work of interactive fiction by Ryan Veeder,Missing,,,,,,
