,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,275742,Applied Energistics 2,"[3, 6, 14]",Applied Energistics 2 AE2 is a comprehensive mod for Minecraft that introduces a unique approach to ingame inventory management It presents a techbased futuristic theme centered around the concept of using energy and technology to convert matter into energy and vice versa,Missing,Missing,Missing,,,,,,
1,271160,DC Universe Online: Episode 14 - Halls of Power Part II,"[6, 9, 48]",The fourteenth episode Halls of Power Part II was released on May 12 2015 for players with an active subscription and May 19 2015 for players without an active subscription The episode revolved around continuing the story first started in the Halls of Power Part I episode as players would continue their battle against the New Gods Some of the key features of this episode include two Tier 7 Duos in Resource Recovery and League Hall Malfunction one Tier 7 4Player Operation in Fatal Exams one Tier 7 8Player Operation in New Genesis Now one Tier 7 Raid in Happiness Home and a new location in New Genesis which gave players access to daily Tier 7 missions,Missing,Missing,Missing,,,,,,
2,267989,Helldivers: Turning Up the Heat,"[6, 9, 46, 48]",Helldivers Turning Up The Heat is a free content update for HELLDIVERS accompanied by the release of the Reinforcements 2 DLC  Free Expansion Features Increased rank cap from 25 to 27 6 new trophies New environment Volcanic planets full of dangers New Bug type The Bug Impaler New Cyborg enemy The Cyborg Hound New Illuminate enemy The Illuminate Obelisk Three new objective types Repair and Fire Artillery Disarm Unexploded Ordnance and Geological Survey New customization outfit The Volcanic Camouflage set New perk Strong Arm allowing you to throw further,Missing,Missing,Missing,,,,,,
3,266861,Final Fantasy XI: Rhapsodies of Vana'diel,"[6, 8, 12]",Released across the May August and November 2015 version updates Rhapsodies of Vanadiel is designed to be the conclusion of the main scenario missions of Final Fantasy XI tying together plotlines and characters from across the games previous stories Completing the missions requires registration of and progression through all previous expansion packs Other additions include the new areas Escha and Reisenjima and new trusts,[12],A maiden appears in the dreams of the chosen descending from the crystal whispering I must find my master We remained blissfully ignorant of how her countenance portended a violent struggle over the fate of Vanadiel itself,Missing,,,,,,
4,260950,Dark Tartarus,[6],Dark Tartarus is a Doom II megawad designed for ZDoombased ports created by lihanchi It is a set of very challenging maps many veering into slaughter map territory on higher difficulties often with novel eclectic concepts and themes that set it apart from many other challenging wads  Development for Dark Tartarus began in late 2012 with the first version of the mod containing 32 maps released on December of that year This was followed in January by a patch tartarussns which added minor tweaks and fixed some compatibility issues with the software renderer and later by version 2 which included significant map overhauls Version 3 besides having even more changes to the original 32 maps saw the addition of a new episode called Dark Tartarus Dead Tonight While the lineup of original maps remained unchanged over the next two updates Version 4 and 5 the set of maps for Dead Tonight changed between each version with the latest Version 5 released in April 2015 having a total of 43 maps,Missing,Missing,Missing,,,,,,
5,252203,Pixel Run!,[6],Pixel run A perfect game to play when youre calm This game has been inspired by Scott Cawthons game There Is No Pause Button,[8],Missing,Missing,,,,,,
6,250586,Touhou Eiyuu Musou,[6],Touhou Eiyuu Musou English Eastern Heroes Unrivalled is the second game developed by Kanagawa Denshi Gijutsu Kenkyuujo and Strawberry Bose and based upon Shin Sangokumusou a series of action games created by Omega Force and Koei Similar to Shin Touhou Musou there is no specific storyline and the player chooses one of 12 playable characters explore 50 stages going after fairies kedamas UFOs and a powerful boss that awaits every five stages Each level has different terrain and random enemies As the player collects more point items and experience new skills can be unlocked The game also supports two player cooperative mode via network feature,"[5, 25]",Missing,Missing,,,,,,
7,240161,Five Nights At Dungeon,"[6, 34]",This game is similar to Dungeon Nightmares but with the weapon You must find five artifacts and survive for five nights Only this time you have two weapons One is melee and other is ranged Can You Survive Five Nights At Dungeon  Search for clues and fight your fears Fight for your life,"[4, 31]",Missing,Missing,,,,,,
8,228957,Lucid Lucy,[6],This ambient game explores the world of Lucy a mysterious hospital patient that you are now responsible for It uses pixel art photo manipulation and other mixed media to create a surreal immersive environment,"[2, 31]",Missing,Missing,,,,,,
9,226665,Rocksmith 2014: Slayer Song Pack,[6],Play Angel of Death Dead Skin Mask Raining Blood Seasons In The Abyss and South of Heaven by Slayer on any electric guitar or bass Each song includes a new authentic tone,[13],Missing,Missing,,,,,,
10,226653,Rocksmith 2014: Blues Song Pack,[6],Play Spoonful by Howlin Wolf Boom Boom by John Lee Hooker Hide Away by Freddie King Aint No Love In The Heart of the City by Bobby Blue Bland and Be Careful With a Fool by Johnny Winter on any electric guitar or bass Each song includes a new authentic tone,[13],Missing,Missing,,,,,,
11,222978,Final Fantasy: Legend of Balance,[6],Final Fantasy Legend of Balance is a Final Fantasy fangame made in RPG Maker The game revolves around a group of heroes champions of the realm of Eorzea In the midst of an intense battle to decide the fate of Eorzea the heroes are transported away before facing certain death at the hands of Bahamut Finding themselves separated in a brand new world the heroes begin a journey to reunite and find a way home However what starts off as a simple quest quickly unfolds into a classic journey of crystals great evil and steadfast allies Before this adventure ends they will discover the truth behind this strange new world and uncover the binds that tie it to their own home and beyond,"[12, 31, 32]",Missing,Missing,26.0,30.0,40.0,0.0,0.0,3.0
12,221293,Ananke,[6],Ananke is an adventure game which started as en entry for the adventurejam 2015,[32],Missing,Missing,,,,,,
13,218478,Project Cars: Digital Edition,"[6, 48, 49]",This Digital Edition is the download release of the game It contains   Project CARS  Limited Edition Car Pack with five new cars  When preordered it also contained the Modified Car Pack with three additional cars,[10],Missing,Missing,,,,,,
14,213710,No C1ip,[6],Explore a landscape of disfigured shapes and distorted views,[8],Missing,Missing,,,,,,
15,209269,Quint's Revenge,[6],Quints Revenge stars the titular Mega Man from the far future The twist here Dr Light knew of Dr Wilys trip through time to reprogram Mega Man Now free from Wilys control Mega Man ie Quint sets out for revenge  The game adheres closely to Mega Man 2 and 3 but moves at a much quicker pace The whole game is built around Quints seldom seen abilities like Sonic Dash ducking and ledge grabbing Its an interest twist of the triedandtrue NES formula Though still in beta the game spans fifteen stages 8 Robot Masters an intro stage 6 fortress stages,"[5, 8]",Missing,Missing,,,,,,
16,209245,Mega Man: Dr. Wily's Final Attack,[6],Mega Man Dr Wilys Final Attack is a 8bit style Mega Man fangame 8 new stages bosses and weapons a whole slew of new enemies and even a secret hidden stage if you think you can find it,"[5, 8]",Missing,Missing,,,,,,
17,204997,"Touhou Gensou Rambu: Yuujou, Uragiri, Shouri",[6],A doujin game by CAPRICORN based on the Touhou Project series,"[12, 32, 35]",Busy people who gather at Hakurei Shrine without invitation Today was unusually lively In the midst of it all one of them talked about how youkai are becoming more active Reimu says she is enough on her own but that is not the case The girls eyes light up as they find a way to pass the time  They decided to compete to see who could find out the cause,Missing,,,,,,
