,id,name,platforms,summary,genres,storyline,main,extra,completionist,review_score,review_count,people_polled
0,275766,Yttr,"[3, 6, 14]",A mod about the Void what has gone before and where youll go from here A vanilla overhaul crossed with a content mod,Missing,Missing,,,,,,
1,275572,Project: Unity,[6],Project Unity is a full 32 map megawad for Doom II Designed to be fully optimized for the Unity port This map set comes from some members of the Console Doom Speedrunning community Dont worry that does not mean this was designed for speedrunners,[5],Missing,,,,,,
2,269640,Wing Dog,"[6, 34]",Get ready for an actionpacked endless adventure in Wing Dog Fly through the skies and collect powerups to fight off the incoming barrage of opponents consisting of fighter jets mines and blimps Can Wing Dog rescue his city and defeat the evil and corrupt army and their plan to conquer the world,"[32, 33]",Missing,,,,,,
3,264295,Cold Shot,"[6, 14]",Play the role of a contract killer that must perform a job during a cold night The target is Spencer York an apparently ordinary man living on the outskirts of a rural town After driving for hours everything is settled up to end the job fast You only have to pull the trigger one more time like the countless times you did before,"[5, 31]",Missing,,,,,,
4,263019,Donuts,[6],You decide to take a vacation to your favorite resort Unfortunately Hell had the same idea  Donuts is a collection of levels that were made for various community projects over the years with a few new levels thrown in specifically for this project Every level has been given a fresh coating of OTEX Levels pulled from previous projects have been heavily modified in one way or another,[5],Missing,,,,,,
5,262424,Testing Pool,[6],A gothic cell with positive gameplay You can fire the rocket launcher at stuff and pick your own route through the level Completionists can visit an optional extra fight which is a little tougher than the rest of the map  Built with Eternity 42 in mind If you use Eternity you get MOD music and extra text if you leave via the secret exit but the map itself is perfectly Boom compatible,[5],Missing,,,,,,
6,262260,15 Years a Doomer,[6],15 Years a Doomer was a mapping contest held from March 22 to March 29 2021 The event was organized by James Paddock Jimmy to celebrate his 15th year anniversary in the Doom community,[5],Missing,,,,,,
7,261462,Tetraptykon,[6],Tetraptykon is a set of four maps for strong limitremoving ports PrBoomPlus would be the minimum requirement and complevel 2 would be the preferrable option that aim to merge oldschoolflavored slaughter gameplay with modern visual appearance For the sake of the latter ukiros OTEX resource set was also applied,[5],Missing,,,,,,
8,261173,Death's Dichotomy,[6],Deaths Dichotomy is 5 maps by 4 mappers for GZDoom This is an offshoot of the now cancelled Near Death Experiences project The aim of the project is to explore ideas and thoughts on death and dying,[5],Missing,,,,,,
9,260953,Plutonia 7: Going to the Hell,[6],Plutonia 7 Going to the Hell sometimes simply called Plutonia 7 is a Boomcompatible joke WAD for Plutonia with 32 levels created by DoomTheRobot and General Roasterock,Missing,Missing,,,,,,
10,260469,Goodbye Eternity,"[3, 6, 14, 34]",Goodbye Eternity is a pointandclick adventure game with elements of visual novel and dating sim  You have the possibility to have several paths when you interact with people especially with women depending on your actions and answers the story will be different,"[13, 31, 32, 34]",Missing,,,,,,
11,260015,Scarecrow Co-op 2,[6],Cleanse a forest with your friends,[31],Missing,,,,,,
12,257126,Luminous Gloom,[6],Luminous Gloom is a short episode for Doom 2 designed for limit removing source ports made by various members of Doomer Boards This months project lead is 40oz,[5],Missing,,,,,,
13,256974,Genshin Impact: Beneath the Light of Jadeite,"[6, 34, 39, 48, 167]",Version 15 of Genshin Impact which included  New characters Eula and Yanfei  New story quests for Zhongli and Eula  New hangout events Noelle Act II and Diona  New main event Energy Amplifier Initiation  New housing system Serenitea Pot  and more,"[12, 31]",Moonlight falls on the branches as a dragons roar rises from deep beneath the roots A drop of sun may trickle in but a heart of stone is not easily moved Deals are sealed with scarlet flames and icecold vengeance floods forth in waves But far from the fight is a realm of serenity where a gentle melody forever plays,,,,,,
14,256831,Arrival,[6],9  1  1 limitremoving levels for Doom II Designed with stock Doom II resources in mind utilizing the lovely skies provided by Meks box o skies  You may see a familiar space or two I implore you treat them as if they were new For the love from which these lands are derived Has been waiting patiently for you to arrive  May your hearts true will Be ultimately fulfilled For eternity,[5],Missing,,,,,,
15,250378,Normal Shmup,[6],Normal Shmup is a strange shoot em up game based around classic gameplay Fight the enemies and regain control of the world again,"[5, 33]",Missing,,,,,,
16,250124,Five Night At Lego World,[6],Missing,Missing,Missing,,,,,,
17,250044,Essence of Waluigi,[6],Ralorche is back with his first attempt at a serious fan game  5 years ago Luigi was killed by the essence As a result of this Mario has left the Mushroom Kingdom Now thanks to a reoccuring nightmare Mario has decided to go back and destroy Waluigis essence once and for all However the essence plans to destroy the world and build its own horrifying utopia on its ruins Mario will have to travel across locations rarely seen in normal Mario games and battle against new enemies Will Mario avenge his brother or will he suffer the same fate  Or will he become corrupted by the Essence Of Waluigi,[8],Missing,,,,,,
18,248130,Chef Ramsay,[6],Gordon Ramsay likes you very much You are his top chef and you never disappoint  But do you have what it takes to be a master chef I certainly doubt it Complete objectives to try and impress him Who knows You may even make it out alive,[32],Missing,,,,,,
19,246664,Topolino amico delle guardie,[6],Help Mickey Mouse infame the inhabitants of the colorful city Enforce the quarantine and join the graces of Chief Seamus OHara,[31],Missing,,,,,,
20,245353,Phazer Punk,[6],Phazer Punk is a mini metroidvania game where you explore mysterious alien planets full of secrets and dangers Use your phazer gun to destroy obstacles and your jetpack to reach new heights as you discover new areas and abilities But be careful as you go deeper and deeper into the planets core you will face more challenges and enemies Can you find all the hidden resources and escape the planets Phazer Punk,"[8, 31, 32]",Missing,,,,,,
21,241240,Life in Santa County,"[6, 14, 34]",Life in Santa county is an adult visual novel that focuses on you discovering the dark side of your seemingly peaceful town Featuring fully animated scenes in game phone with messaging a point system and custom crafted characters,"[2, 34]",Santa county A symbol of wealth and peace But what if it really isnt A young boy living in a neighborhood where everything seems so ordinary and innocent and then discovers the dark and lustful lifestyles lurking within Witness all the destruction he will experience and the great change he will make This city has only one rule Trust No one,,,,,,
