,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
0,"[5, 12, 13, 31, 32]",275501,Harlequin Fair: Harbour Dawn,[6],Return to Torontos sullen streets  now raked by northern winter winds  in this free expansion campaign Come back to the realm of the masquerade dreamer come back to the Harlequin fair,Missing,,,,,,
1,Missing,272050,Plants Vs. Zombies Expanded and Enhanced,[6],Missing,Missing,,,,,,
2,[8],271970,Discone,"[3, 6, 14]",The first disc in the pondlife disc series a run  jump  talk emup an opportunity to interact with your controller,Missing,,,,,,
3,[5],271534,Smells Like Rust,[6],A big base map with intense fights you are a treasure hunter who seeks riches in abandoned places You heard about a factory that did brutal tests on people and decide to go there to see if theres anything left,Missing,,,,,,
4,[5],271525,Temple of Teuthis v1,[6],Large dark underwater base  temple adventure map with lots of exploration Textures by Makkon built on extras_r5 mod by Khreathor already included with features like ladders Make sure to save often and save powerups until you really need them,Missing,,,,,,
5,[5],271189,Slip Tripping,[6],Retro style speedmap about dimension traversal for vanilla Quake,Missing,,,,,,
6,[7],271066,Sonic Dimensional Funkin',[6],Sonic Dimensional Funkin is a Friday Night Funkin mod based on the Sonic the Hedgehog series featuring six weeks and 17 main songs with a few extras,Missing,,,,,,
7,[5],268751,Dungeons and Monsters,[6],An episode for Heretic replacing the original first for Limitremoving ports Made on the basis of different images from google for the query dungeons maps There are some textures from Hexen Hexen II Heretic II Witchaven and a few of their own,Missing,,,,,,
8,[5],263405,Blood Flows Where My Shotgun Blows,[6],6 relatively short maps for Final Doom The Plutonia Experiment,Missing,,,,,,
9,[5],262564,Pac-Man Doom,[6],PacMan Doom is a 12map adventure where you run around mazes and other exotic locations in search of PacDots Lots of custom sprites immerse you in a world that is both Doom and PacMan at once The 12 maps span a wide variety of locations from taking you deep inside a computer mainframe and a haunted mansion to a lush green hedge maze and a beach resort Keep running and make sure to take care of those Ghost Pinkies,Missing,,,,,,
10,[5],261043,Irkalla,[6],This 11map set is a pseudoreimagining of Doom I Episode 3 Inferno except in Doom II and using Boom features and expanded limits It should work in anything that can handle the equivalent of complevel9 Expectations may be subverted and there should be some surprises along the way,Missing,,,,,,
11,[5],260503,Headless Chicken,[6],Headless Chicken is a delicious variety megawad in progress where Doomguy is continuously chased by chickens and other demons too,Missing,,,,,,
12,"[7, 32]",259437,Touhou Dream Runner,"[6, 34]",A one button rhythm action game that Youmu beats her enemies to the beat,Missing,,,,,,
13,[5],257571,Pagodia,[6],Pagodia is a vanilla compatible episode for Doom 2 featuring varied japaninspired settings The wad is split into 3 distinct themes Village Technoshrine and Cyberpunk City Difficulties are implemented Mouselook jumping and crouching should be disabled if youre playing on a port with those features,Missing,,,,,,
14,"[4, 32, 33]",257501,We Need To Talk,"[3, 6, 82]",Try to avoid the conversation Use every move you got and every answer you can find to delay these  you assume  terrible news,I need to tell you something important,,,,,,
15,[5],257424,Anomaly Report,[6],Anomaly Report is a brandnew 33level megawad for vanilla Doom 2,Missing,,,,,,
16,"[15, 32, 33]",257335,Engineer's Last Stand,"[3, 6]",Youve been left alone to delay the inevitable death by the alien horde with your turret building skills Place turrets and dodge the monsters to survive as long as you can in this satisfying action game  Created in FTE QuakeWorld engine in 48 hours for Ludum Dare 50,Missing,,,,,,
17,[8],256900,Chungo's Gauntlet,[6],Fight through 70 stages of retro action and strange internet culture as you make it through Chungos Gauntlet Therell be many traps strange enemies and strong bosses waiting for you,Missing,,,,,,
18,[5],256828,Corrupted Cistern,[6],Clear the ancient water caverns of the evil Hellspawn,Missing,,,,,,
19,[31],256410,Amanda the Adventurer: Pilot Episode,[6],Digging through your attic you found a box set of an old childrens TV show Amanda the Adventurer starring a brave girl named Amanda and a cowardly sheep named Wooly You dont recall any specific episodes or characters in the show Or what happens in the show exactly Or much about it at all come to think about it but it still feels strangely familiar Curiosity takes hold and you decide to watch the tapes and let HORROR nostalgia take you back to a simpler age,Missing,,,,,,
20,[31],256405,Century: Age of Ashes - Colossus Deluxe Pack,"[6, 48]",Unleash bestial power with a loaded heap of rewards The high quality items included in this bestvalue pack will make your enemies shiver  This pack includes all the content of the Mighty Beast Pack  Dark Goliath Pack with extra rewards  Full content An Adventurer Pack Code to gift a friend 1 Dragon Windguard Epic 1 Dragon Marauder Epic 1 Dragon Phantom Legendary 3 Legendary Weapons 3 Legendary Helmets 2 Epic Shields 1 Rare Shield 3500 Gems A 30day XP Booster 3 Legendary Banners 3 Legendary Titles 3 Legendary Player Icons 3 Legendary Backgrounds,Missing,,,,,,
21,[33],255844,Balance The Stick,[6],Missing,Missing,,,,,,
22,[34],254988,The Secret Ingredient is...,[6],On his unyielding quest for employment the MC picks up an odd job request at the townsboard from the local alchemist  A straightforward kinetic novel made with RenPy and a version of Skyrim SE heavily modded for the creation of novels such as this one The game is not necessarily intended to take place in the world of The Elder Scrolls so having played Skyrim is not required to understand the plot It features a few choices for dialogue variety but they do not alter the overall story hence the kinetic novel tag Its primarily intended to be a oneshot story with some light humor and romance elements,Missing,,,,,,
23,[4],254515,Guilty Gear: Strive - Another Story,"[6, 48, 49, 167, 169]",This story expansion is exclusive to Season Pass 1  Another Story provides the player a full look behind the curtain from another perspective featuring appearances from many characters who did not show up during the main story including Ramlethal May and Baiken,While the incident in America triggered by Asuka R Kreutzs surrender unfolds  Special Brigade Commander Ramlethal Valentine heads to the outskirts of Illyria after receiving report of an emergency  There she finds a girl who closely resembles Bedman who once worked with the Universal Will against mankind,,,,,,
24,[34],251073,14 Days With You,"[3, 6, 14]",After moving back to Corland Bay things have started to become more unsettling Your laundry always seems to go missing creepy footsteps echo down your hallway at night and to top it all off your neighbour swears that she saw someone leave your apartment late last night But hey at least the pinkhaired stranger you met at work is there to keep you safe  14 Days With You is an 18 romancehorror visual novel centered around Ren a mysterious individual who seems more than obsessed with you  and is willing to do anything he can to have you,Missing,0.0,0.0,0.0,0.0,0.0,0.0
25,[8],250041,Super Mario: Magnum Opus,[6],Mario aint screwing around Hes got a gun this time Each bullet is gonna send him flying sky high  Introducing an all new Mario adventure combining elements of classic Mario platforming actionpacked Run N Gun gameplay and a gripping cinematic storyline about family and betrayal  Journey through flowering fields ancient desert ruins nuclear wastelands and much more Join the Mario Bros on their mysterious search to find their third brother all while fighting against the mischevious business man known as JB,Missing,,,,,,
26,"[10, 32]",249694,Barro F22,[6],Barro F22 is the new generation for the fast version of Barro now with a new style of race tracks but with the good old toy car go kart arcade style,Missing,,,,,,
27,[8],249427,Killer Bunny,[6],Killer Bunny is an actionbased platformer where players will traverse wild lands as a bunny protagonist hunting the wretched spiders and snakes that killed their parents At the end of the game the bunny will face Daddy Snake and Mommy Spider  the primordial beings responsible for all spider and snake spawn,Through a simple yet tragic narrative players will progress through levels where they must slaughter snakes and spiders,,,,,,
28,"[8, 32]",249425,In the Nick of Tie-m,[6],Join Nick in his getaway chase and escape the scene of the crime by stealthily making your way through the city back to his hideout Traverse rooftops sneak past searchlights hurtle through windows into apartments and climb up fire escapes in order to escape Avoid making too much noise or standing in the light for too long because the police will detect you,Missing,,,,,,
29,[32],249418,Ghostwriter,[6],Ghostwriter is a singleplayer typing game that pits your wordsperminute against poltergeists who have nothing better to do Type whatever shows up on the monitor and meet your quota before the time limit Encounter a variety of ghost types that will interfere in different ways Buy upgrades and powerups to give yourself an advantage Improve your wordsperminute and have fun while you are at it,Congratulations on becoming a part of the GhoulasticTM Publishing family We loved getting acquainted with you for the past several days and believe you are just the person who will elevate the ghostwriting team to new heights  As the job description stated we require you to simply follow the prompts on the monitor and type as much as you can before the deadlines We pride ourselves on both Quality and Quantity so typos are unacceptable  Please note You may notice some otherworldly presence within the premises Do not be alarmed These are denizens of the underworld who have deemed themselves as better qualified for your job  Upon sighting a ghost please remain calm Experts recommend poking the ghosts with your finger until they go away If needed the company offers exorcism tools and courses on how to use them in the convenience store on the first floor Please refrain from visiting during work hours  We look forward to working with you,,,,,,
30,"[31, 32]",249321,Goodnight Tea,"[3, 6]",Goodnight Tea is a small game about a small fairy wanting to go to bed but needing her girlfriends to snuggle,Missing,,,,,,
31,[8],248842,Super Mario 63 Redux,[6],Super Mario 63 Redux is intended to be a full remake of the original Super Mario 63 by Runouw aiming to improve upon the games presentation and features while retaining its core mechanics and charm,Missing,,,,,,
32,[33],248215,Soak 'Em Out,"[6, 82]",Soak Em Out is an endless score attack game that takes heavy influence from the Game  Watch Gallery series You play as Tina a cat trying to catch a bus that unfortunately is taking an unusually long time to arrive To make matters worse a big storm is brewing With no true shelter nearby and only an umbrella to take cover with how long are you able to delay the inevitable before getting soaked out,Soak Em Out is an endless score attack game that takes heavy influence from the Game  Watch Gallery series You play as Tina a cat trying to catch a bus that unfortunately is taking an unusually long time to arrive To make matters worse a big storm is brewing With no true shelter nearby and only an umbrella to take cover with how long are you able to delay the inevitable before getting soaked out,,,,,,
