first_release_date,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
1666915200,[34],275490,Lian'ai Qitan: Bu Cunzai de Zhenxiang,[6],In River City there is an ordinary milk tea shop but with one peculiar thing about it  almost every day there is a huge line in front of it Is it just due to its popularity Or is someone specifically hiring people to stand in that line And if the second is true then what is the reason for this  is someone playing some dirty game against the owner of the tea shop or is there even greater conspiracy behind all this,Missing,nan,nan,nan,nan,nan,nan
1664668800,[5],274270,The Warmest Body in the Room,[6],Small dark semilinear singleplayer map with minimalist brushwork and texturing Map source is included,Missing,nan,nan,nan,nan,nan,nan
1664928000,[5],274269,The Temple of Nightmares,[6],Mediumsized elder world map with medieval and wizard elements classic vanilla id1 style,Missing,nan,nan,nan,nan,nan,nan
1665792000,[5],274265,Duke Nukem Quake,[6],Small city themed level a remake of the first level of Duke Nukem 3D  custom start map,Missing,nan,nan,nan,nan,nan,nan
1666569600,"[31, 35]",271969,Apocryphauna,"[3, 6, 14]",Content Warning contains depictions of transphobia homophobia religious extremism and child abuse along with brief violent and tryphopobic imagery,Theres something wrong with you Youve been sent away to a private boarding school so they can fix you If that werent bad enough they took away your entire collection of Apocryphauna trading cards If you want to rebuild your collection youll have to be careful If they catch you again the punishment will be so much worse  After all the nuns think this game is evil  that playing with these cards can summon Discordia the mother of all demons But thats not true Its just a game right,nan,nan,nan,nan,nan,nan
1666483200,[5],271811,Seven,[6],Small medieval level made in a classic style for vanilla Quake Map source is included,Missing,nan,nan,nan,nan,nan,nan
1666569600,[5],271721,Smells Like Grandma's,[6],Mediumlarge grungy metal scifi map with platforming aspects built for Copper v119,Missing,nan,nan,nan,nan,nan,nan
1664755200,[5],271345,The Rust Forge,[6],Medium  large runic base map with void vibes built on progs_dump 30 already included Some sounds from Arcane Dimensions custom music Yss Éskiuth by Immorpher Map source is included,Missing,nan,nan,nan,nan,nan,nan
1667174400,[5],271344,Concrete Meltdown,[6],Medium  large base map with lots of lava Built on progs_dump 30 already included Custom music is Scratch My Surface by Verbum Mentis Map source is included,Missing,nan,nan,nan,nan,nan,nan
1666483200,[5],271318,Power Structure,[6],Large scifi base map with Makkon textures made for Alkaline v11 Not included Custom music is Flow by Anna Centauri,Missing,nan,nan,nan,nan,nan,nan
1666310400,[5],269450,Hundreds & Thousands,[6],Hundreds  Thousands is a set of six short maps with a theme off inexplicably technologically advanced ancient ruins for boom compatible ports Each map is between 27 minutes long and due to the 1HP gimmick the maps themselves arent too challenging,Missing,nan,nan,nan,nan,nan,nan
1667174400,[34],269314,God is in the Radio,"[3, 6, 14]",you are death one of 22 members of the major arcana a cult dedicated to some faroff god the night is halloween and you watch in scorn as the unknowing dance among devils and dress to indulge in sin the high priestess receives a message from the allmighty himself the arcana must gather in an abandoned house and find his song on an old radio receiver by finding his gift he will grant you the life eternal and the world will finally be able to hear his light  are you scared of whats to come do you doubt the cult and its god or do you embrace it with open arms,Missing,nan,nan,nan,nan,nan,nan
1667174400,[5],269134,Mayhem 2022: Memento Moron,[6],MAYhem 2022 MEMENTO MORON is a 28level Doom II megawad for Boomcompatible source ports created by members of the Doomworld forums It is the tenth installment in the MAYhem series and was led by James Caldwell Obsidian The stated intention of this years installment was to homage the projects from the first 10 years of Doom mapping with a resource pack comprised of textures from the IK Texture pack Hellcore 20 and the Malice total conversion for Quake,Missing,nan,nan,nan,nan,nan,nan
1667174400,[5],268971,The Lost Magic,[6],This mapset was produced during NaNoWADMo and contains 32 Boom CL9 maps with heavy DeHackEd shenanigans The difficulty is a lot more on the softer side with a decent ramp up so if youve just beat Doom 2 on UV you can give this a crack,Missing,nan,nan,nan,nan,nan,nan
1664755200,[5],268765,Yard of the Dead,[6],An E1M1 limit removing map for Heretic,Missing,nan,nan,nan,nan,nan,nan
1667174400,[25],268443,Strato-Spear,[6],StratoSpear is an 3d character actionhack and slash game with freeform combos and movement It is inspired by games like Devil May Cry and Super Smash Bros,VT finds herself separated from her ship on an alien planet Its close by but shell need to fight her way through an island full of hostile alien life to get back to it  It should be no problem once she finds her spear,0.0,0.26,0.0,80.0,1.0,1.0
1666310400,"[5, 10, 31]",268042,Grand Theft Auto: Forelli Redemption,"[6, 8, 34, 39]",2001 The events are taking place at the same time as those of Grand Theft Auto IIIs original story Giovanni Forelli 26 years old is the son of Sonny Forelli also the nephew of the current Forelli patriarch Giorgio He was lucky enough to survive the destruction of Little Italy during 1998 The Forelli Family is weak these days though it still manages to stay in the game However a short chain of events and a bit of luck gives the Forellis a chance to restore their power,Missing,7.97,0.0,0.0,0.0,0.0,2.0
1665187200,"[25, 32, 33]",265905,Rushdown Rivals,"[3, 6, 82]",Drive back evil robotic versions of several NG characters as your own NG icon Stylishly dance through them as Cassette Girl shoot them with Hanks personal arsenal unleash Girlfriends inner demon and so much more in this toughasnails action game,Missing,nan,nan,nan,nan,nan,nan
1664668800,"[9, 32]",264831,10 Second Backdoor,[6],10 Second Backdoor is a speedreactionbased puzzle game where you guide humans toward doors scattered around levels,Missing,nan,nan,nan,nan,nan,nan
1667174400,[34],264437,For a Reason,"[6, 14]",For A Reason is a sapphic visual novel set in a witchs academy setting featuring two playable characters and one route for each character Talk to your crush solve a mystery and drink some juice  Play as Jane Laguerre a member of arts and performance club who doesnt have the guts to even walk on the stage and help navigate her way to confess to her idol Or play as Lora Wiley and have a cute totallynotdate with her friend who is better than her in every way,Missing,nan,nan,nan,nan,nan,nan
1664668800,[31],264398,Princess of Nothing,"[6, 14, 82]",Simple little FF fantasy I made in a day to test out RPG Maker MV Might expand on it might not Have fun,Missing,nan,nan,nan,nan,nan,nan
1665532800,Missing,263924,Overcooked! All You Can Eat : World Food Festival Update,"[6, 48, 49, 130, 167, 169]",Head back to the Onion Kingdom and celebrate World Food Day in this uberdelicious FREE update OUT NOW on Nintendo Switch PS4 PS5 Xbox One Xbox Series XS and Steam,Missing,nan,nan,nan,nan,nan,nan
1666915200,[5],263266,Call of Duty: Endowment - Protector Pack,"[6, 48]",Support US and UK military veterans by purchasing the Call of Duty Endowment CODE Protector Pack for Call of Duty Modern Warfare II and Call of Duty Warzone 20,Missing,nan,nan,nan,nan,nan,nan
1664928000,[5],261285,Sulfur,[6],It looks that the latest volcano eruption was so strong that some hellspawn were ejected in addition to lava Approximate playtime around 20 minutes Classic map no jumping etc,Missing,nan,nan,nan,nan,nan,nan
1665014400,Missing,261215,SRG Mixtape Volume #4,[6],Super Rare Mixtape Vol 4 is a physical indie game collection including 30 games and 10 demos Packaged as a USB drive shaped like cassette tape with only a limited number sold,Missing,nan,nan,nan,nan,nan,nan
1664755200,[15],260699,Poda Wants a Statue,"[6, 82]",Play with your mouse  Drag and drop bunnies and resources Click on upgrades to buy them,Poda is angry Poda wants a statue   Every 10 years Poda gets really angry Send your bunnies to work gather resources upgrade everything and build an impressive statue before Poda shakes the world again,nan,nan,nan,nan,nan,nan
1664755200,"[2, 31]",260086,The Night Owl Murder,[6],You need to solve the case before a chip in victims head runs of out time However the time passes ONLY through your actions So feel free to read and listen to dialogues in your own pace Time passes only when you click on a dialogue option Time is limited so choose wisely,You are Walter Kane NYPD Detective While investigating the Night Owls drug ring you are called to a crime scene a seemingly unrelated murder What happens next may be the break you are looking for,nan,nan,nan,nan,nan,nan
