,id,name,platforms,storyline,summary,genres,main,extra,completionist,review_score,review_count,people_polled
0,274255,Ghostbusters: Spirits Unleashed - Free Update #2,"[6, 48, 49, 167, 169]",Strange activity reported over at the Sebastian C Yarborough County Courthouse has made it difficult to conduct legal proceedings It would seem that decades of dark activity and paranormal contact have made the courthouse a hotbed for ghostly activity,The second free update for Ghostbusters Spirits Unleashed added the SCY County Courthouse map the Possessor ghost type with 3 new ghosts Trap Minions that can be placed in objects or on the ground and Dredges that can be summoned to help distract the Busters  Alongside the general rebalancing and bug fixes it also added more customization options with new Gear Shells and cosmetics based on the Extreme Ghostbusters Cartoon series makeup styles with numerous color options shirt logos for compatible tops gear tints and new Ghostbuster cosmetics including footwear a skirt and kilt bottom,Missing,,,,,,
1,273570,OHM 1,[6],Missing,OHM1 is a compilation of 33 maps that have been made in about an hour each The idea of this project was to make a map in one hour and then record yourself play the previous map that was posted,[5],,,,,,
2,271352,Ancient,[6],Missing,Small Koohoothemed cave map Requires Copper v120,[5],,,,,,
3,271216,Crack in the Sky,[6],Missing,Mediumsized floating castle ruins map 1520 minutes with an interconnected layout inspired by level design tropes in From Softwares games Requires Copper v120,[5],,,,,,
4,271194,Coffee Quake 2: Double Shot,[6],Missing,132 short speedmaps  custom start map and end map each made in two hours by 36 mappers for vanilla Quake There were four episodic themes Egypt Runic Koohoo and Elder and each episode is accessible from the start map hub,[5],,,,,,
5,271140,QuantAttack,[6],Missing,QuantAttack is an action puzzle game The rules are based on the theory of quantum computers and you can learn how they work as you play,[9],,,,,,
6,271051,The Spiritworld,[6],Missing,Large episode with 7 main levels  3 secret levels  custom start map  new end boss all inspired by Quake 1 episode 4 Elder World in a classicish id1 style Supports coop,[5],,,,,,
7,270679,Danganronpa: Live or Die,[6],Missing,Follow Megumi and 15 other people locked inside a luxurious mansion An evil mechanical bear known as Monokuma forces them to play a killing game Will they start killing each other Who will survive,[31],,,,,,
8,269732,Honkai Impact 3rd: Part 1.5 - Dance of Life and Death,"[6, 34, 39]",Missing,The dust in Nagazora stirred up black and white in bubbles The living and the dead danced together on the boundless sea surface An ode to the shimmering newborn,"[12, 25]",,,,,,
9,269684,What Lies Beneath,[6],Missing,You have heard rumors of demonic activity in an old gothic mansion But theres more to it than meets the eye Time to find out What lies beneath What Lies Beneath is a private project made by some of the contributors in Hellevator Skulltiverse and Solar Struggle community projects It features 11 maps created,[5],,,,,,
10,269563,Lakeside,[6],Missing,A single large mostly outdoor Egyptian themed map with custom music and textures,[5],0.0,0.0,0.0,0.0,0.0,0.0
11,269559,NostalDoom,[6],Missing,A full Doom I E1 replacement that gimmick the original one BUT also take its own way the theme stay mainly Romero Tech and retake the mains landmarks of the original maps to build another layout around it but also take soft inspiration of E2 The main goal of this project was to catch a jovial tune for the sake of nostalgia,[5],,,,,,
