,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[5],261475,Invasion...: Level 2 -The Upper Decks,[6],STORY SO FAR Level 1Contamination invade1wad  Mars Base sent an urgent distress call after a new gateway opened up there You had been sent on the battlecruiser INQUISITOR to combat this new INVASION  but not all had gone according to plan The ship was attacked and boarded just as it entered orbit around Mars You awakened from hypersleep to find your crewmates either mutated or dead Your objective was clear end the CONTAMINATION or die trying  You finally managed to eradicate all the evil hellspawn from the lower levels of the ship But just as you were about to proceed to THE UPPER DECKS through a viewport you spotted a huge alien space hulk approaching the INQUISITOR  end of Level 1  Level 2The Upper Decks invade2wad  You must now not only annihilate all intruders aboard the INQUISITOR but somehow deal with the entire shipload of the alien hulk,This is level 1 of a 4 level storyline episode  Its too much work to make 9 so we decided to compress the story a bit,Missing,,,,,,
1,"[31, 34]",250206,Electric Device Marian,"[6, 149]",Missing,Psyluth Decker is a young English nobleman Upon hearing the news of his fathers death he goes to the family mansion a place surrounded by strange rumors from which he tried to distance himself Shortly after his arrival the young man notices that almost everyone he encounters has a secret and becomes involved in a battle between powerful shapeshifters and mechanical creatures aided by the trusty maid Marian,Missing,,,,,,
2,[15],50340,Battle Isle 2: Titan's Legacy,[6],Missing,Scenery CD for Battle Isle 2,Missing,,,,,,
3,"[13, 15]",14983,Armored Fist,[6],Missing,Armored Fist offers realistic armored warfare in numerous tactical theaters The player can choose from an extensive lineup of modernday armored vehicles utilized by US forces in addition to those commonly used by Soviet troops The game was one of the earliest tank sims to offer a mission editor with broad capabilities Six linear campaigns are offered in addition to a training campaign,Missing,0.0,0.0,0.0,0.0,0.0,0.0
4,[4],4291,Supreme Warrior,"[6, 13, 14, 30, 50, 78]",Missing,Supreme Warrior is a fullmotion video fighting game The game or interactive movie is set in China hundreds of years ago You are tasked with protecting half of a magical mask The wearer of the mask will be granted untold power Unfortunately the villanous Wang Tu has the other half of the mask and wants your half badly So you must fight off Wang Tus minions and eventually Fang Tu himself  The gameplay in Supreme Warrior consists of digitized video with interactive elements At many points during the video you can unleash a punch kick or block If your timing is correct you inflict damage on your opponent If you timing is off your opponent hurts you,Missing,0.0,0.0,0.0,0.0,0.0,0.0
5,[8],11219,Sonic the Hedgehog 3 & Knuckles,"[6, 29]",At the end of Sonic the Hedgehog 2 the evil Dr Robotnik had his Death Egg downed from orbit by the heroes Sonic the Hedgehog and his companion Miles Tails Prower Having not been completely destroyed after all the Death Egg has crashlanded on the Floating Island taking it to the ocean below This island has special properties  not least of which being its eponymous power of magical suspension When Dr Robotnik detects the presence of a massive Chaos Emerald within the islands depths he decides to once again seek out the Chaos Emeralds so that his fallen Death Egg can regain orbit in space Turning his crushing defeat into a sleek advantage yet again he kidnaps Animals to convert into Badniks and created a new line of weapons  Meanwhile Knuckles is taking his usual walk along the Emerald altar to check if the Emeralds are alright suddenly a huge earthquake came out of nowhere Knuckles saw the Emeralds reverberating in midair stunned he was suddenly threw into the air before blacking out When he woke up the Chaos Emeralds were gone but Knuckles also saw a huge egg in the distance surprised he then recalled a legend of an ancient dragon sent to destroy the world in the end times thinking this mysterious egg to be the dragon he set out and A giant eggshaped figure appeared out of nowhere calling himself Dr Eggman he explained to Knuckles he had come here to study this giant egg and that an evil hedgehog named Sonic was trying to not only interfere with his research but steal the Chaos Emeralds as well Knuckles duped by the doctor ran off to find this miscreant Eggman smiled at himself pleased at his ability to lie  Immediately after the event of Sonic 3 where Dr Robotniks orbital weapon the Death Egg is damaged in a battle with Sonic and crashlands back onto Angel Island Sonic travels through each zone looking to retrieve the Chaos Emeralds to defeat Robotnik and once again comes into conflict with Knuckles who believes Sonic is trying to steal the Emeralds for himself In Hidden Palace Zone Sonic fights and defeats Knuckles The two hear a disturbance outside of the chamber and go out to find Dr Robotnik stealing the Master Emerald the secret to the islands levitation powers Knuckles attempts to attack Robotnik but is electrically shocked in the process and is trapped with Sonic in an underground passage Knuckles realizing Sonic is on his side shows him a portal that leads them to Sky Sanctuary where the Death Egg is relaunching Sonic proceeds to infiltrate the Death Egg and defeats Robotnik as Super Sonic  Knuckles story which takes place after the events of Sonics campaign begins in Mushroom Hillb where he is relaxing with his animal friends but is interrupted by a bomb dropped by EggRobo This prompts Knuckles to chase after him leading him through more difficult versions of most of the same zones Sonic went through The chase ends at the damaged remains of Sky Sanctuary where a robot called Mecha Sonic attacks Knuckles but accidentally destroys EggRobo instead After a short fight Mecha Sonic uses the power of the Master Emerald to achieve a Super form similar to Sonics Knuckles manages to defeat Super Mecha Sonic who explodes Sonic flies in piloting the biplane Tornado and Knuckles hitches a ride to return the Master Emerald to Angel Island If all the Chaos Emeralds are collected Angel Island rises upwards into the sky However if the player has not collected all the Chaos Emeralds Knuckles cannot redeem the Master Emerald and Angel Island plummets into the ocean,Sonic the Hedgehog 3  Knuckles or simply Sonic 3  Knuckles or Sonic 3 Complete Edition is a platform video game which is the result of lockingon Sonic  Knuckles with Sonic the Hedgehog 3 using the former catridges unique lockon technology It is essentially a large combined game of its two lockon components and contains all Zones from the said games and also contains special features unique to this game This would have been the original Sonic the Hedgehog 3 the developers intended but time constraints by Sega resulted in the game being split into two,89.10902121165827,4.28,4.71,7.33,86.0,310.0,213.0
6,"[2, 31]",955,Tex Murphy: Under a Killing Moon,"[3, 6, 13, 14]",Under a Killing Moon takes place in postWorld War III San Francisco in December 2042 After the devastating events of the nuclear war many major cities have been rebuilt as is the case with New San Francisco though certain areas still remain as they were before the war as in Old San Francisco The war also left another mark on the world the formation of two classes of citizens Specifically some people have developed a natural resistance against radioactivity and thus are normal or Normseverybody else are Mutants in some form Tensions between the two groups have risen dramatically and Norms and Mutants usually do not get along The Mutants are usually forced to live in the rundown areas of cities such as Old San Francisco Tex Murphy lives on Chandler Avenue in Old San Francisco All his friends are Mutants though he is a Norm  In Under a Killing Moon Tex Murphy a private investigator has hit rock bottom Recently divorced from his wife Sylvia out of work low on cash and living in a rundown part of Old San Francisco Tex realizes that he has to get his act together Tex sets out to hunt for work He finds it quickly once he discovers that the pawnshop across the street from his apartment has been burglarized Tex quickly solves the case and feels his luck has begun to change Then a mysterious woman calling herself Countess Renier having heard good things about Tex hires him to find her missing statuette Everything seems great at first and the Countess is promising to pay Tex more money than he has seen in his life However everything quickly goes downhill when Tex finds out about doomsday plot by a deadly cult calling themselves the Brotherhood of Purity,Enter the virtual world of Under A Killing Moon where it is December 2042 and you as Tex Murphy must stop the forces of evil before they destroy mankind and rob you of your next unemployment check This thrilling and hilarious adventure is unlike anything youve seen before  The graphics quality the fascinating believable characters and complete freedom of movement will make you feel like youve actually walked through the screen and become the main character in a rich intriguing mystery movie  Starring Brian Keith Margot Kidder and Russell Means Features the voice of James Earl Jones,88.85467671531356,8.58,9.25,10.98,80.0,27.0,36.0
7,"[12, 31]",8515,Twinsen's Little Big Adventure Classic,"[6, 7, 13, 14]",Chilling dreams of destruction and doom fill your mind You feel compelled to warn the world but in so doing are imprisoned by the tyrannous Dr Funfrock Imprisoned because of a dream You know in your soul that you must escape somehow and discover the meaning behind this mystery,Chilling dreams of destruction and doom fill your mind You feel compelled to warn the world but in so doing are imprisoned by the tyrannous Dr Funfrock Imprisoned because of a dream You know in your soul that you must escape somehow and discover the meaning behind this mystery  As Twinsen prophet and savior you embark on a surreal and suspensefilled journey You cross continents in your quest to save the world and stop your evil nemesis At any moment your enemies may overtake you stopping you in your pursuit of the Legend Relentless you must be for only those who remain pure can overcome the peril that awaits  Twinsens Little Big Adventure Classic is a real gem in the genre There is nothing else like it The game is filled with surreal action and adventure that will make you laugh many times because you can hardly believe the kind of crazy things theyve thought up So if you are in a mood for a crazy adventure with great story clever puzzles with more than one solution and open world then you cant go wrong with this masterpiece of a game,84.11184763678308,,,,,,
8,"[4, 33]",19986,Samurai Shodown II,"[5, 6, 12, 34, 49, 52, 80, 136]",Missing,One of SNKs legendary fighting game series has made a return In Samurai Shodown II you can take on one of the roles of 15 warriors as you fight your way through the land to defeat the evil Mizuki Slash kick and slice your opponents in halfdo whatever it takeslive by the sword and die by its blade,81.41851369810858,1.04,1.06,2.55,72.0,32.0,31.0
9,"[2, 8, 9, 31]",3743,Freddi Fish and The Case of the Missing Kelp Seeds,"[6, 14, 34]",Missing,Help underwater detective Freddi Fish and her finny friend Luther solve the case Explore underwater caves deep canyons and colorful reefs and discover fascinating places like King Crabs Castle and A Sunken Ship Out of Time in an effort to save the reef,79.92458827985004,0.89,1.01,1.03,66.0,37.0,51.0
