first_release_date,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
802224000,[5],274226,The Waterfront,[6],The Waterfront WtrfrontWad is a level created by Scott F Crank in May 1995 It is often considered the earliest level to deliberately exploit the ghost monster bug which its text file calls the archvile bug,Missing,Missing,nan,nan,nan,nan,nan,nan
803865600,"[9, 26]",245221,Inu Oh,"[6, 14]",Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
804470400,"[12, 16, 24]",77634,Der Langrisser,"[5, 6, 58]",The Super Famicom remake of the Sega Mega Drive game Langrisser II  Along with reworked graphics this version of the game added branching paths and multiple endings with the option to choose from 3 factions or to create your own 4th faction There are less class upgrade paths for units and mercenary groups cant be used in the same way as the original,Missing,Missing,24.2,33.88,41.69,85.0,6.0,5.0
803865600,"[2, 31]",69184,Tokyo Twilight Busters,"[6, 20, 149]",An adventure game by Telenets Wolf Team released for the NEC PC9801 Starfish later ported the game to the DS,Missing,Missing,nan,nan,nan,nan,nan,nan
804297600,"[12, 13]",66993,Active Worlds,"[6, 14]",Active Worlds is a 3D virtual reality chatbuild environment that started in 1995 and is the precursor to There and Second Life,Missing,Missing,nan,nan,nan,nan,nan,nan
802310400,[4],50078,The Great Fighter,[6],A Koreanmade versus fighting game  There are only two modes in the game one player versus computer AI and twoplayer mode there is no story mode and no discernible background plot Players can choose between eight available fighters seven men and one woman Each character has his or her own home court usually a modern urban location such as city streets or fighting arena Characters use traditional punches and kicks to fight each other in addition there are combination attacks that can be performed by combining jumping with the aforementioned moves Attack and defense ratings as well as the games speed can be customized in the options menu,Missing,Missing,nan,nan,nan,nan,nan,nan
804211200,"[2, 9, 31]",7619,Hard Evidence: Marilyn Monroe Files,[6],A documentary adventure game about the brightest pop in history Marilyn Monroe,Missing,Missing,nan,nan,nan,nan,nan,nan
804470400,"[2, 31]",1251,The Beast Within: A Gabriel Knight Mystery,"[6, 13, 14]",Play as both Gabriel and Grace as they are dispatched to Munich to solve a series of mutilation murders thought to be the work of werewolves,86.34011991081917,Missing,nan,nan,nan,nan,nan,nan
802656000,"[13, 31, 34]",76455,True Love,"[6, 149, 157]",True Love is a Japanese bishoujo eroge visual novel with dating sim and adventure game elements released in 1995 which was later localized in Europe by Otaku Publishing and distributed in North America by JAST USA in 1999,74.9016608676272,Missing,5.62,5.76,8.17,69.0,7.0,8.0
804470400,"[5, 13, 24]",784,MechWarrior 2: 31st Century Combat,"[6, 7, 13, 14, 32]",You are the genetically engineered Clan Mechwarrior The Clans are invading the Inner Sphere Join either the Wolf Clan or the Jade Falcon Clan as they pursue their own agenda against the Inner Sphere and other Clans Take your advanced Omnimechs into battle against all comers Win high warrior ratings by using less mechs or smaller mechs than needed completing secondary objectives etc and youll get chance at a promotion trial where you face superior odds in an arena If you win you advance in rank If you are very successfully you can make it all the way up to Khan leader of the Clan  Mechwarrior II was developed inhouse by Activision as the successor to their original Mechwarrior While this time there are no dynamic campaign and mercenary actions the Clan culture is integrated into the two campaigns Different clans have different mechs and different rules even different weapons You can customize your mechs in order to use less than the par force in order to get a higher rating The full 3D environment wasnt pretty as this was before the 3D accelerators made their debut but its still better than anything that came before Let addition of NetMech allowed users to fight each other online When 3D cards came along special versions were created to take advantage of 3D texturing While not QUITE as replayable as Mechwarrior its nonetheless a classic  If you want them now get the Titanium Edition which is 3D accelerated,72.96042325333707,MechWarrior 2 31st Century Combat is set in 3057 shortly after the Battle of Tukayyid between the Inner Sphere and invading clan armies The plot revolves around an ideological conflict inside the clans6 It focuses on the clans Jade Falcon and Wolf which represent either Crusaders and Wardens respectively The Clans are the descendants of the Star League Defense Force most of which was led by their commander Aleksandr Kerensky into the unknown regions of space in an attempt to prevent the warring nations of the Inner Sphere from obliterating each other These forces eventually splintered and formed 20 groups called Clans creating a society based around warfare and creating warriors for their advanced BattleMechs During the years of isolation two ideologies divided the clans Crusader clans wished to return to the Inner Sphere as conquerors forcing the nations to unite and recreate the Star League The Warden clans believed the clans should act as protectors of the Inner Sphere only intervening if a threat of sufficient magnitude was encountered  Eventually the Crusader faction won and the Clans returned to the Inner Sphere as an invasion force containing a small fraction of the clans including the Jade Falcons Clan Wolf Smoke Jaguars and the Ghost Bears The invasion force consisted of Crusader and Warden clans chiefly Clan Wolf The Wardens participated in an attempt to mitigate the damage caused by the Crusader clans The invasion continued until the invading clans were challenged by the ComStar organization to a fight on the planet Tukayyid If the Clans won they would gain control of Terra which was controlled by ComStar if they lost they would halt the invasion for 15 years under a truce The Clans lost the battle and their invasion was halted for 15 years In the wake of the defeat Ulric Kerensky the leader of the invasion and warlord of the Clans as well as a staunch Warden and member of the Wardenleaning Clan Wolf was charged with treason and accused of purposely losing by the Crusader elements of his Clan They claimed because Ulric was a Warden he engineered the defeat to sabotage the invasion and also accused him of genocide  The basis Clan law was might equals right so matters could be settled by combat Ulric challenged the Crusaders to uphold his status within the Clan Council and as a result maintain the Truce of Tukayyid The Jade Falcon clan the strongest of the Crusader Clans and historic enemy of Wolf Clan took up the challenge In the conflict which became known as the Refusal War the Jade Falcons fight to uphold the Councils judgment of guilt allowing an immediate resumption of the Invasion against the stillweakened Inner Sphere Ulric and the Wolves however are determined to fight a war of extermination against the Falcons and weaken them so they cannot threaten the Inner Sphere,7.93,8.75,14.5,80.0,10.0,8.0
804470400,"[15, 16]",23183,Slay,"[6, 34, 39]",Slay is a turn based strategy game where your goal is to conquer the island by buying men and using them to capture your enemies hexagons By combining two men you can create a single more powerful man who is able to kill weaker men The twist to the game is that the more powerful a man that you create is the more expensive he is to maintain Men cannot be unbought so you must tread a fine line between building up your forces and not being rashly ambitious Sneakily cutting an enemy territory in half to bankrupt one side of it is an essential skill to learn,60.0,Missing,0.0,0.0,0.0,0.0,0.0,0.0
