first_release_date,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
828921600,[5],274220,Tantrum,[6],Lots of different brick walls and corroded metal,Missing,nan,nan,nan,nan,nan,nan
828835200,[5],274168,Odyssey,[6],OdysseyWad is a compilation of 5 levels of the Ancient Series over the course of a month as individual episodes Each level is set in a different time period or locale The concept being that the UAC agent you are travelling thru time to stop the influx of those friendly neighborhood beasties The beasties have gotten their claws on some kind of time travel deviceYou must go back to the 5 different time zones and eliminate the threat to history otherwise the distortion ripples would be so terrible that life as we know it today would cease to exist,Missing,0.0,0.0,0.0,0.0,0.0,0.0
828835200,[5],274166,Diabolos,[6],Diabolos  Greek word for the devil This level will test your awareness and of course pit you to survive in many different and confusing 3 Dimensional environments As you explore the complex of chambers and sewers youll find that areas are organized in an intelligent composition when you see a bloodfall you can track it to its source,Missing,nan,nan,nan,nan,nan,nan
830476800,"[12, 15, 24, 34]",264324,Sei Shoujo Sentai Lakers III,"[6, 13, 149]",In the sequel to Sei Shōjo Sentai Lakers II Akira and his team have successfully fended off Rayotts assault and are enjoying a brief peaceful time However an enigmatic masked enemy known as Neos Bullard appears on the stage Aiming to capture the power of Laker crystals Neos Bullard and his minions invade Earth taking the Lakers by surprise,Missing,nan,nan,nan,nan,nan,nan
830304000,"[2, 31]",239203,Disney's Animated Storybook: Toy Story,"[6, 14]",Part of Disneys Animated Storybook series this game adapts the 1995 Pixar movie Toy Story into a pointandclick adventure format,Missing,nan,nan,nan,nan,nan,nan
830476800,"[12, 31]",187208,Harlem Blade: The Greatest of All Time,"[6, 149]",Cain is a perverted young boy who is supposed to be a warrior His ancestors killed an evil demon called Gargantuan Cains brother Abel wants him to take his role as a warrior seriously but Cain is more interested in ogling the village ladies  Things take a different turn when Abel disappears and Cain is visited in his dreams by The Goddess of Time She tells Cain that Gargantuan has come back and that its up to him to stop it What follows as a very long journey for Cain to save the world from Gargantuan and develop a harem of beautiful women though not necessarily in that order,Missing,nan,nan,nan,nan,nan,nan
828662400,[31],137031,Nanatsu no Hikan,"[6, 7, 14, 32]",One day a young man from a highclassed background named Ippei is called to the office of his uncle Shujiro Shujiro is the current head of his family who is concerned about seven mansions left behind by the last clan head Ippeis grandfather Shuhei The seven mansions were strangely built in a Big Dipper formation on a remote island and have never been fully explored by the family members of Ippeis generation Shujiro wants to create a resort where the mansions are located yet feels that there is a marvelous treasure or secret left behind by their ancestors Too aged and busy to explore the buildings himself Shujiro asks Ippei to unlock the secrets for him He gives the eager youth a key to the first mansion and a riddle left behind by Shuhei,Missing,0.0,0.0,0.0,0.0,0.0,0.0
830822400,"[5, 8, 31]",125989,Earthworm Jim 1 & 2: The Whole Can 'O Worms,"[6, 13]",The bundle contains the two 2DShootandruns featuring Earthworm Jim in his space suit It has been release for Windows and Linux A 25th anniversary Edition limited to 2000 copies has been released for SNES  Jim wasnt always a studly superworm He was once just a spineless dirteater with no real mission in his life  But then something unexpected happened The evil PsyCrow was transporting a super suit built by the genius Professor MonkeyForAHead to Queen Pulsating Bloated Festering Sweaty PusFilled Malformed SlugForAButt but along the way it was stolen by a rebel Although PsyCrow killed the rebel the suit fell down to Earth landing on an Earth Worm That cosmic twist of fate placed Jim in control of an ultrahightechindestructiblesuperspacecybersuit  Anyway Earthworm Jim found out that Princess WhatsHerName had been captured and set out to save her Meanwhile theres a bounty on Jimmy and plenty of people are in line to take Queen SlugForAButt up on her offer  Now Jim must make it to the princess and stay clear of PsyCrow the intergalactic bounty hunter until the final battle with Queen SlugForAButt To accomplish this youll have to use every weapon and ability at your disposal to wriggle your way through dozens of original and just plain weird levels Diverse levels and gameplay modes that provide an unmatched platforming experience Great music and amusing sound effects Loads of good humor and fun often bordering on the disturbing,Missing,nan,nan,nan,nan,nan,nan
828662400,[34],94940,Gloria: Kindan no Ketsuzoku,"[6, 149]",You are Kira Akishino an ace student from one of the best universities in Boston You are offered a tutoring job at the illustrious Gloria mansion along with your friend Georg The Gloria family has long been one of the wealthiest and most prominent empires and they need you and Georg to tutor one of the five daughters Georg is immediately taken with the eldest daughter  the strongwilled Etana Gloria which leaves you with four others to choose from Theres Sicile who has the worst grades of them all Mary the naive goldenhaired angel Naomi who cares about nothing else but drinking and Charme the most brilliant one of the Glorias But theres something more to it all the Glorias are hiding some things and its up to you to find out what they are Will you be able unlock the family secrets Or will you just be a good tutor Who knows you may even end up marrying one of the Glorias,Missing,nan,nan,nan,nan,nan,nan
828662400,[12],80550,Nexus: The Kingdom of the Winds,[6],Nexus The Kingdom of the Winds is an MMORPG based on Korean mythology Launched in 1997 it retains a small but tightknit community to this day,Missing,0.0,0.0,0.0,0.0,0.0,0.0
