,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[5],273134,Aqua 3,[6],Fight your way out of the battle sub and then prepare to take on the Aqua prison which has been overrun by escaped alien maggots Blow them away and get you butt to the prison shuttle to Io,Missing,Missing,,,,,,
1,[5],271795,Aftershock for Quake,[6],Aftershock for Quake or simply Aftershock is a commercial addon for Quake developed by HeadGames Publishing Inc and published by GT Interactive The addon was released on November 10 1996,Missing,Missing,,,,,,
2,[5],271321,The Guardhouse,[6],Medium sized detailed Metal level with base and medieval monsters Comes with a start map,Missing,Missing,,,,,,
3,[34],246750,Saorin to Issho!!,[6],Missing,Missing,Missing,,,,,,
4,"[2, 31]",242836,Obelisk,[6],Missing,Missing,Missing,,,,,,
5,"[2, 31]",242258,Zeddas,"[6, 14]",Missing,Missing,Missing,,,,,,
6,Missing,209078,Dark Hour,[6],A commercial addon for Quake that adds new custom levels,Missing,Missing,,,,,,
7,[8],202966,Sonic 3D Blast,"[6, 32]",The Saturn version of Sonic 3D Blast has enhanced visuals and a new style of bonus stages,Missing,Missing,3.39,3.59,3.68,60.0,114.0,75.0
8,"[12, 15]",186736,Uncharted Waters 3,[6],The third release in the Uncharted Waters series it was only released for PC and Mac and is exclusive to Japan,Missing,Missing,,,,,,
9,"[2, 9]",176015,JumpStart Kindergarten Reading,[6],JumpStart Kindergarten Reading is an educational title aimed at four to seven year olds  The game features a Rabbit called Hopsalot Hes on holiday from school and wants to find the treasure buried in his carrot patch He has six relatives each of which has a clue so with the help of the pupil off he goes Each visit is in two parts for example visiting Granny in the frozen north starts with a request to click on all the items beginning with a specific letter to defrost them Theres usually around half a dozen items on the ground of which four match the specified criteria Once this task has been completed the pupil goes to an ice hockey practice session Here a letter is shown on the scoreboard and hockey pucks with three and four letter words are slid over the ice If the initial letter of the word matches the target letter the pupil clicks on the puck and if theyre right its fired into the net If the initial letter does not match the target letter they click on the referee and the puck melts away After completing the mini games the player is shown a clue to the carrot patch treasure this specifies a letter The player is then taken to the carrot patch where they must identify the letter from those shown they click on it a tunnel is dug to that spot where there will be an object and a small animation Different games stress different reading elements Alfie the Jazz Hamster asks the pupil to choose words that rhyme Grandad gets the pupil to match upper and lower case letters Flash asks the pupil to spellcomplete words that come from a volcano while Robbie at the ranch expects pupils to decide whether a word is real of not,Missing,Missing,,,,,,
10,"[2, 7, 31]",142707,Schoolhouse Rock!: Math Rock,"[6, 14]",Lucky Seven Sampson has a problem He needs a band The inhabitants of Funky Numberland might be able to help but they all have their own problems to solve if they are going to join Lucky Sevens band So he needs your help If you can help his friends they can join his band,Missing,Missing,,,,,,
11,[14],93003,Microsoft Soccer,[6],A football game developped by Lobotomy Software in 1996 and published by Microsoft  There is in total 92 teams in the game only national teams although all the players are fictitious In single player the game offers a single game or a tournament a cup with up to sixteen teams Single games can also be played with up to four friends in multiplayer via LAN Internet or modem Also included is a team editor that allows the user to modify the teams or create new ones,Missing,Missing,,,,,,
12,Missing,80838,Farland Saga,"[6, 32]",An alternative retelling of the original story on PC98 Though instead of an Isometric SRPG it uses a top down view,Missing,Missing,25.0,0.0,0.0,0.0,0.0,1.0
13,[14],78572,Microsoft Golf 3.0,[6],Its a whole new ball game The topselling golf game for Windows is better than ever with a lightningfast Windows 95 game engine superior graphics and a realistic feel from the texture of the fairways to the birds singing in the trees,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
14,[13],57686,Tom Clancy's SSN,[6],Tom Clancys SSN is a simulation of the 688i ie Los Angelesclass nuclear hunterkiller submarine The player commands the USS Cheyenne in a limited war against China over the Spratly Islands in a 15mission campaign where theyll perform a wide variety of missions from patrol to escort from boomer hunt to convoy attack,Missing,Missing,,,,,,
15,[10],50381,Scorcher,"[6, 13, 32]",Scorcher is a futuristic racing video game for the PC and the Sega Saturn The game focuses on special motorcycles that reach up to 450 kmh racing through dangerous tracks in a dystopian year 2021,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
16,"[10, 14]",50310,Network Q RAC Rally Championship,[6],Strap yourself in pile on the revs and watch for the flag Youre one of motorsports elite facing 28 guelling stages in the worlds toughest test on wheels  the Network Q RAC Rally THE definitive motorsport simulation of the decade,Missing,Missing,,,,,,
