,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[5],273167,Escape From San Angelos 4,[6],Unknown to most the aliens have a secondary reason for being here our transporter technology Our system is closing the gap with their system and they dont like it,Missing,,,,,,
1,[5],272138,Bizarre,[6],Bizarre takes you to a world gone topsyturvy where the laws of physics seem not to apply the buses run on time and the dregs in homemade beer is the best bit,Missing,,,,,,
2,[5],270717,Valves,[6],Duke drops in to thwart the pigcops plans to blow up our toxic waste facility,Missing,,,,,,
3,[5],262433,The Darkening: Episode 1,[6],The Darkening Episode 1 The Nameless Project is a Doom II megawad containing twentytwo maps split equally between single playercoop and deathmatch,Missing,,,,,,
4,"[12, 31, 34]",208288,Ikusa Megami,[6],Celica Sylphil the immortal warrior known as the Godslayer lives within the stolen body of the goddess Astraea For this he is hunted day in and day out servants of the gods seek to kill him for the threat he poses while demons seek to take the power of Astraeas body for themselves Only the matron goddess of the kingdom of Rewinia offers him sanctuary alongside the White Dragon Knights and their commander General Revia he fights to hold back the forces that would do the kingdom harm,Missing,0.0,0.0,0.0,0.0,0.0,0.0
5,"[15, 16]",155248,Sid Meier's Alpha Centauri Planetary Pack,[6],Missing,Missing,,,,,,
6,[5],116678,Pyl: Dust,[6],Dust is a Polish FPS by Optimus Nexus released in 1999 The player takes on the role of a former soldier fighting for his life on the distant moon Arena  Dust is one of the first Polish firstperson shooters It is distinguished by the necessity to use wellthoughtout tactics to solve the encountered problems because only good planning of actions allows you to survive in the hostile environment of the Arena The game requires to use stealth and preserve ammunition in order to progress,Missing,,,,,,
7,[33],80627,Atari Arcade Hits: Volume 1,[6],Atari Arcade Hits is a set of compilations of classic arcade games from Atari Volume 1 includes Pong Tempest Super Breakout Missile Command Asteroids and Centipede Each individual game is designed to run natively in Windows and can be accessed independently from the desktop or via the included menu This collection also includes bonus content for each game including media related to each game such as advertisements as well as online leaderboards and desktop themes with optional graphical enhancements also available for each game,Missing,,,,,,
8,"[31, 34]",55116,Refrain Love 2,"[6, 7]",In April hero decided to move to Sakurazaki Town to enter university there He rents a room in Scarlet Hall apartments These several months he will spend together with his university colleagues and other boarding house members,Missing,,,,,,
9,[9],51179,The Next Tetris,"[6, 7, 122]",If you think youve mastered Tetris then think again Now theres The Next Tetris a revolutionary twist on the classic puzzle game More features more challenging and more addictive than ever The Next Tetris  itll blow your mind,Missing,0.0,0.0,0.0,70.0,1.0,0.0
10,"[10, 14]",34707,TNN Motorsports Hardcore TR,"[6, 7]",TNN Motorsports Hardcore TR is a racing simulation game It features 24 trucks from various manufacturers It features 30 tracks across United States featuring the muddy everglades of Florida and the deserts of Arizona You can play in arcade mode to unlock tracks player mode and championship mode Player mode allows you to play against a friend or set personal records and in championship mode you play through all tracks There are four difficulties to select from in the championship mode You start with the lowest but finishing first gains you points with which you can unlock the other difficulties and new and better cars to race with,Missing,,,,,,
11,"[5, 13, 24]",1841,Tom Clancy's Rainbow Six Mission Pack: Eagle Watch,[6],An addon for Rainbow Six offering 5 additional missions 4 new operatives and 3 new weapons This title also offers new multiplayer games including Assasination Terrorist Hunt and Save Your Base just to name a few,Missing,3.0,0.0,4.38,70.0,6.0,3.0
12,"[5, 8, 15]",948,Worms Armageddon,"[4, 6, 7, 9, 23, 38, 48, 167]",Those intrepid invertebrates return with a vengeance in the muchloved Worms Armageddon Its a whole new can of worms Its hilarious fun that you can enjoy on your own or with all your friends  Worms Armageddon was originally developed as an expansion pack to Worms 2 and initially titled Wormageddon before it was released as a standalone game Worms Armageddon was acclaimed by critics who praised the refined gameplay and stylized graphics and it has been featured in a number of greatest games of all time lists Worms Armageddon is still updated periodically as of 2020 and was released on the Steam platform in 2013,82.38831906969884,8.28,14.69,24.82,79.0,135.0,44.0
13,"[13, 15]",237,SimCity 3000,"[3, 6, 14]",SimCity 3000 released in 1999 as the third major installment in the SimCity series continues its successful course as a city building simulation game In SimCity 3000 new tools have been introduced to create and control the city buildups Recreate the worlds greatest cities using predefined landscapes such as San Francisco or Berlin and landmark buildings like the Empire State Building or Big Ben Negotiate and barter with neighbouring cities to strengthen your metropolis and seal contracts to import water or get rid of huge amounts of waste,81.58523833553954,7.75,28.0,65.0,80.0,31.0,11.0
14,"[5, 32]",80332,Sven Co-op,[6],Sven Coop is a cooperative game originally based around Valve Softwares HalfLife In this game players must work together against computer controlled enemies and solve puzzles as a team,79.38723155028339,9.27,29.07,0.0,73.0,26.0,16.0
15,"[5, 8, 31, 33]",18840,Metal Slug X,"[3, 5, 6, 14, 34, 39, 52, 79, 80]",An upgraded version of Metal Slug 2 Metal Slug 2 Super Vehicle001I titled Metal Slug X was released in March 1999 for the Neo Geo MVS It fixed slowdown problems from the original game and increased the difficulty Metal Slug X also introduced some new elements to the game system,78.09938044979,1.08,2.24,4.19,79.0,329.0,276.0
16,"[10, 13]",93,Need for Speed: High Stakes,"[6, 7]",Just like its predecessors Need for Speed High Stakes is an action racing game with a wide selection of exotic sports cars and many different types of tracks The trademark Hot Pursuit mode game mode from the first game in the series is still present where players race opponents on tracks filled with regular traffic and police cars that chase the racers The classic pursuit mode is extended with two additional modes Getaway and Time Trap In Getaway the player needs to shake off the police in a set amount of time or playing as the police trap a speeder before time runs out In Time Trap an entire race needs to be completed before time runs out or as the police all speeders need to be arrested There are minor differences between the two platforms for this game mode regarding spike strips road blocks and backup The latter for instance is unique to the PlayStation version The Pursuit mode is available in multiplayer as well and players can take different sides or race together  It is the first game in the series to introduce a Career mode with a set of challenges Beating these is rewarded with trophies for unlocks and money to spend on new cars repairs and upgrades In the PlayStation version the Career mode is split up into two different sets of challenges Tournament required races and Special Event optional races High Stakes in the title refers to races where players bet their cars In the PC version these are a part of the Career mode when the player owns more than two cars In the PlayStation version two players can insert their memory cards and race against each other The winner immediately receives the opponents car and it is deleted from the losers memory card right away  In addition to the new game modes it is also the first game in the series to have a detailed physics models Damage now affects both the appearance and the performance of the car for the first time,72.95129201218234,19.61,21.57,31.06,71.0,41.0,34.0
