,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[12, 15, 34]",204483,Teikoku Sensenki,"[6, 8]",The great empire fell into chaos after the emperors death The nation fracturing into three separate states each led by their own king vying for power Born a poor farmers son a young man lived who would become known as a military genius that changed the course of history,A battlelove sim set in ancient China about a military commander taking on enemies in 3on3 battles then heading back to find romance,Missing,,,,,,
1,[13],183372,Koufuku Sousakan,[8],In 21XX in an effort to restore the vitality of a nation that was losing its sense of happiness the Japanese government established the Ministry of State Happiness and created the Showase Amplifier Clover CLOVER Clover is a mechanism that gives happiness to all people by creating a town called Habitat that reproduces Japan in the early 21 century in a virtual space allowing people connected in a cold sleep state to live there as avatars and collecting and redistributing the sense of happiness and happy energy generated from there through avatars  However one day a serious accident of unknown cause occurred and it was discovered that all avatars with peoples awareness on them stopped working on the Habitat and that the the 101st person had illegally connected to the clover which originally had a capacity of 100 people Taking the situation seriously the Ministry of State Happiness urgently summoned a scientist as a koufuku sousakan happiness manipulator with the authority to manage Clover,Set in a modern town created in a virtual space in Japan in the near future this is a simulation game that aims to liberate 100 people who have become immobile and to give happiness to all The player acts as an officer in charge of managing the virtual space and aims to normalize the people he or she contacts while observing the life of any avatar living there to protect the avatar from frequent attacks by obstructionists and to collect and redistribute the feelings of happiness and unhappiness that they emit in order to achieve a certain level of happiness for all people Avatar behavior changes in response to happiness and can be influenced by other avatars involved in life That is even with the same avatar life can change depending on the degree of happiness of the other avatars that are actively acting or negatively distressed by the sense of wellbeing during observation or are involved with or in contact with other avatars that were previously offline The interaction between people is called human scramble on the package and official website Each avatar lasts about 20 minutes and you can watch the same avatar over and over again  The whole story is represented by 3DCG but the avatar is represented by flat shading a projection method that looks like an angular figure with fine planes Avatar conversations and thoughts are expressed as text and their voices are expressed as indistinct voices,Missing,,,,,,
2,[14],165568,Dodgeball,[8],Missing,Dodgeball is a team dodgeball game First team to get the other team out is the winner be it through the oneshot system or a life system where the object is to lower the oppositions players health to zero If both teams are still in by the end of the game the team with the most players wins the game If teams have an equal amount of players left then the team with the least damage taken wins If equal damage has been taken by either team then the game ends in a tie,Missing,2.13,3.9,0.0,85.0,2.0,2.0
3,"[31, 34]",131410,Realize,"[6, 8]",At some point some boys and girls began to embody their own ego  through which they demonstrated their ability to directly interfere with the minds of others The unprincipled youths enjoyed playing games with each other battling their egos and absorbing the power of the other On the other hand there are those who dont like the fact that the possessor of an ego invisible to ordinary people is on the loose  Ryo Matsuura has lived his whole life without knowing what happened to him but before long he too became able to see the Ego However with the help of his best friend Shuji Fushimi who is also an egoist he is able to escape As soon as he gets used to his new environment Yae Shibaura gives him a powerful power and Ryo is forced to think about what to do with himself  Ryos understanding of ego is deepened as he helps Shuji hunt down a psychic who plays with it However he is horrified to find out that his estranged lover Hotaru Ashida is also under the spell of the psychic who is after him On the other hand Shuji continues to work alone without informing Ryo and in the process he gets to know a solitary girl Saya Miyaji  One day Yae who is supposed to be dead appears in front of Ryo and tells him that she wants to talk to Shuji Ryo is troubled and tells Shuji about it but when Shuji meets Yae he decides that what she is trying to do is dangerous Shuji challenges Yae to a fight on his own loses and never wakes up again Ryo confirms his love for Hotaru who still cares for him in spite of the danger and decides to face Yae himself Satoko and Naomi who are fascinated by her try to block Ryos way but Haruaki and Saya join them and let him go first  Yae confronts Ryo and tells him that she has taken countless egos into her body and will realise them for the sake of everyones happiness Stripped of the power she has given him Ryos ego reverts to its pregrowth form but his determination to run as far as he can finally reaches Yae But it is a path from which there is no turning back and the two disappear in a blaze of glory As Hotaru waits for Ryos return she receives a final message from him on her mobile phone,Realize is a Japanese visual novel originally released as an adult game The film tells the story of a group of young people who are awakened to their psychics powers and fight against them However the story does not escalate to the point where the fate of the entire world is at stake The protagonists situation is only one part of a larger story and the lives and movements of people who are not directly involved with him are frequently included The heros attitude to the heroine is not a factor in the story as it is in most romantic adventure games but rather the way in which he carries out his will in the midst of the psychics,Missing,,,,,,
4,"[13, 14]",123048,Derby Stallion 04,[8],Missing,A horse racing simulation game,Missing,,,,,,
5,[31],121365,Astro Boy,[8],Missing,An action sandbox game by Sonic Team with emphasis on aerial combat and vertical movement Do not confuse with the 2009 sidescrolling game based on the movie,Missing,3.25,0.0,0.0,53.0,6.0,3.0
6,[10],94366,Bomberman Kart DX,[8],Missing,Missing,Missing,,,,,,
7,Missing,92763,UFC: Sudden Impact,[8],Missing,Missing,Missing,,,,,,
8,[25],85925,Kaena,[8],Missing,Based on the 2003 FrenchCanadian CGIanimated film Kaena The Prophecy by Xilam,Missing,0.0,0.0,0.0,0.0,0.0,0.0
9,[31],80091,Tantei Jinguuji Saburo: Kind of Blue,"[8, 9]",Missing,The 9th installment of the Tantei Jinguuji Saburo series Jinguuji is bored and tired after several months without any cases He gladly returns to work when the Kanto mafia requests the investigation of a certain individual,Missing,,,,,,
