first_release_date,id,name,platforms,summary,storyline,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1135900800,269439,Flowars,[38],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1134086400,269426,Championship Manager,[38],Eidos one of the worlds leading publishers and developers of entertainment software announces a Sony PSP version of Championship Manager Developed by Gusto Games Championship Manager PSP is a fully portable version of the best known football management simulation and also boasts a wealth of new features Dealing with everything from transfers to training tactics to tabloids championship Manager is the closest youll get to reallife football,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1134604800,256625,PachiPara12: Daikai to Natsu no Omoide,[8],The 12th installment of the pachinko simulator series by Sanyo Bussan a pachinko manufacturer in partnership with Irem Software Engineering The series features pachinko machines produced by Sanyo Bussan and is known by the abbreviated title Pachipara starting from this installment transitioning from its previous title Sanyo Pachinko Paradise  The featured pachinko machine in this installment is Daikai Monogatari The Tale of the Great Sea Additionally the familiar story mode Pachipro Fūunroku Pachinko Professional Chronicles is included as the fourth installment titled Pachipro Fūunroku 4 The Silver Ball Murder Case The Pachipro Fūunroku series has been included since Pachipara 8 and is characterized by elements of gal games and oddly serious storytelling with some absurd game elements despite being a pachinko game  While the previous three installments had a topdown view this installment showcases an expanded potential for the game as it adopts the same game engine as Ponkotsu Roman Daikatsugeki Bumpy Trot a game developed and released by the same company,It was the Showa era a time when those who couldnt keep up with the waves of change were left behind and the era was rapidly transforming  The protagonist traveling across the country in pursuit of their training as a pachinko professional happened to visit a pachinko parlor in Pachipara Town on a rainy morning  Although they had casually dropped by inside the shop they found a man and a woman lying on the floor covered in blood The man was already dead while the woman had fainted  Accused of being the murderer by the store manager who appeared on the scene the protagonist was framed and embarked on an investigation to clear their own name  However as if one mystery led to another the tragedy repeated itself,Missing,Missing,nan,nan,nan,nan,nan,nan
1134691200,248542,Peter Jackson's King Kong: The Official Game of the Movie,[38],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1135987200,248495,Tiger Woods PGA Tour,[38],Missing,Missing,[14],Missing,nan,nan,nan,nan,nan,nan
1135987200,241454,The Ultimate Sports Quiz,[8],The Ultimate Sports Quiz is a Miscellaneous game developed by Mere Mortals and published by Oxygen Interactive Software which was released in Europe in 2005,In which year did Boris Becker win Wimbledon as an unseeded 17 year old  How old was Tiger Woods when he won his first US Masters  How many times has Mohammed Ali won the World Heavyweight Boxing Championship  Thousands of questions covering all of the worlds favourite sports Multiple modes of play including Top of the League Play Or Pass Shootout Multiple difficulty levels and handicaps to suit players of all levels of ability Singleplayer multiplayer and teambased options to make this the perfect party game for up to 4 teams or individuals Includes questions on Football Tennis Golf Rugby Cricket Athletics Formula 1 Snooker Olympics plus many more,"[9, 26]",Missing,nan,nan,nan,nan,nan,nan
1134604800,236628,Sugar Sugar Rune: Koimo Osharemo Pick Up!,[8],Based on the anime adaption of the manga by Moyoco Anno  Aim to become a popular witch Raise your charm and pick up the boys hearts Makeup exercise making sweets and studying at the Dollhouse will all raise your charm Use the hearts you capture to purchase clothes from the Makai Mail Order Book including outfits from the anime Includes new original illustrations and full voice over by the anime cast,Missing,"[13, 31]",Missing,nan,nan,nan,nan,nan,nan
1134604800,229545,Jikkyou Pawafuru Puroyakyu 12: Kettei-ban,"[8, 21]",Jikkyou Pawafuru Puroyakyu or Jikkyou Powerful Pro Yakyu lit Live Powerful Pro Baseball also known simply as Power Pro or Pawapuro to nonJapanese speakers is a traditionally Japanonly baseball series created by Konami,Missing,[14],Missing,nan,nan,nan,nan,nan,nan
1135987200,229451,Namco Museum Vol. 1,[38],The original Japanese versions of Namco Museum Battle Collection were released in two volumes,Missing,"[5, 33]",Missing,nan,nan,nan,nan,nan,nan
1135987200,229449,Pac-Man Arrangement Plus,[38],Originally released in Namco Museum Vol 2 for the PSP,Missing,[33],Missing,nan,nan,nan,nan,nan,nan
1135987200,229448,Motos Arrangement,[38],A remake of Motos released initially in the Japanese version of Namco Museum Battle Collection,Missing,[33],Missing,nan,nan,nan,nan,nan,nan
1135987200,213604,Echo Night: The First Voyage,[38],Echo Night The First Voyage is a fairly unknown piece of the echo night series of games that was released inside the adventure player for PSP back in 2005,Missing,[31],Missing,0.0,0.0,0.0,0.0,0.0,0.0
