,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,269433,Minna no Golf-jou Vol. 1,[38],A GPSenabled version of Minna no Golf Everybodys Golf on the PSP Plays like a traditional Everybodys Golf game but doubles as a measuring tool for real life golf courses using the PSPs GPS attachment,Missing,Missing,Missing,,,,,,
1,252202,Spider-Man 3,"[5, 8]",The PlayStation 2 and Wii version of SpiderMan 3 a videogame based on the 2007 movie of the same name  The gameplay in this version closely resembles that of its nextgeneration counterpart with the main difference being that the combat system primarily takes place on the ground  The primary features of the Wii version are motion controls By flicking the Wii Remote  Nunchuck the player can perform various actions such as combat and one of SpiderMans trademark abilities web swinging There are also certain minigames tailored to the motion controls,[8],The games storyline kicks off with a tutorial level where SpiderMan prevents the HBombers from blowing up the Carlyle building The next day he investigates strange lizardlike beings in Central Park and continues battling the HBombers thwarting their attempts to destroy the Daily Bugles Printing Plant and Regional Office That night while having a conversation with Mary Jane in Central Park an alien symbiote from a meteor attaches itself to Peters shoe After taking Mary Jane home Peter is attacked by Harry who has become the New Goblin to avenge his fathers death Peter defeats Harry takes him to the hospital and then returns home where the symbiote envelops him creating a black SpiderMan suit that enhances his abilities and increases his aggression Meanwhile an escaped convict named Flint Marko becomes the Sandman after a mishap with an experimental particle accelerator fuses him with sand  The next day the HBombers attack the Daily Bugle and kidnap J Jonah Jameson but SpiderMan rescues him He then confronts and defeats the Bombers leader Luke Carlyle a businessman turned criminal due to a story published by Jameson that ruined his company Later Peter investigates the disappearance of his science teacher Dr Curt Connors and discovers that he has transformed into the Lizard through experiments with a lizard DNA serum Pursuing the Lizard through the sewers SpiderMan finds that he has transformed others into similar creatures with plans to invade New York SpiderMan foils the plan but the Lizard escapes deeper into the sewers When SpiderMan encounters him again the Lizard is in a fight with Kraven the Hunter SpiderMan intervenes and defeats Kraven before overpowering the Lizard and returning Connors to his human form As SpiderMan cures the other victims of the lizard transformation Connors helps him investigate the symbiotes dangerous potential after fully recovering  An assignment from Jameson leads SpiderMan to face a vampire whom he defeats and takes to Connors Connors identifies the vampire as Dr Michael Morbius a renowned biochemist Morbius claims his transformation was caused by his wife Shriek whom SpiderMan tracks down and defeats However she escapes and SpiderMan later battles Shrieks gang the Waste Tribe He eventually locates Shriek and brings Morbius to her in hopes of a cure but she turns Morbius against SpiderMan instead After defeating Morbius SpiderMan confronts Shriek using the symbiote to counter her powers Defeated Shriek uses her abilities to cure Morbius before falling into a coma SpiderMan leaves her in Morbius and Connors care and departs  Later Peter learns that Eddie Brock has been impersonating a blacksuited SpiderMan to frame him as a criminal and secure a promotion After humiliating Brock as SpiderMan Peter exposes the scheme and earns the promotion leading to Brock vowing revenge against both SpiderMan and Peter As the public becomes increasingly alarmed by SpiderMans violent tendencies while wearing the symbiote suit SpiderMan plans to retire it However he spots Marko robbing an armoured van and chases him into the subway Unable to defeat Marko SpiderMan dons the symbiote suit and is ultimately consumed by its aggression Discovering water as Markos weakness SpiderMan opens a pipe releasing water that disintegrates Marko into mud  Later that night the symbiotes influence on Peter frightens Mary Jane during their date and a confrontation with robbers Peter realizes the symbiotes negative impact on his behaviour and heads to a nearby church to remove it He succeeds thanks to the church bells sonic vibrations which weaken the symbiote However the creature bonds with Brock who followed SpiderMan to the church As Venom Brock aware of Peters identity as SpiderMan blackmails Marko into helping him kill SpiderMan by threatening Markos daughter They kidnap Mary Jane to lure SpiderMan but Harry now recovered comes to their aid Harry rescues Mary Jane and Markos daughter and helps SpiderMan defeat Marko before Venom tries to kill him SpiderMan defeats Venom by using sonic vibrations to weaken him but Brock presumably dies as the symbiote leaves his body  Following these events SpiderMan reconciles with Mary Jane and Marko is reunited with his daughter He apologizes to SpiderMan and leaves peacefully The game concludes with SpiderMan resuming his ongoing battle against crime emphasizing that the best way to honour and remember his loved ones is by never giving up on being SpiderMan,Missing,8.08,12.56,17.56,63.0,177.0,83.0
2,248518,Surf's Up,"[5, 8, 21]",Missing,Missing,Missing,Missing,1.43,3.95,9.02,61.0,30.0,26.0
3,248517,Surf's Up,[38],Missing,Missing,Missing,Missing,1.43,3.95,9.02,61.0,30.0,26.0
4,204395,Love Drops,[8],A port of Love Drops Miracle Doukyo Monogatari for PlayStation 2 It censors the erotic content and adds new scenes and cgs,"[31, 34]",You always used to love listening to your grandmothers fairytales and despite her recent death her old european style mansion still remains a place of fond memories So when the opportunity arises to actually live there on your own you jump at the chanceOnly it turns out Grandmothers stories wernt quite as fictional as you thought as you accidentally unleash three demons from their fifty year prison And thus begins the Miracle Cohabitation Story as the three demons a siren a vampire and a werewolf your three schoolmates a genki underclassman an aloof senior and your childhood friend and a semisecret character all vie for your affections,Missing,,,,,,
5,204389,Little Aid Portable,[38],A port of the original Little Aid for PlayStation Portable,[34],Spring Its almost time for the cherry blossoms to bloom I come back to South Aose where my mothers grave is My fathers job is finally coming to a stable place My life of constant movement is over from now on my father me and my little brother will live together  Winter Its December close to Christmas A memorial service for the tearing down of the old Tenhou High school building is held Even though its a different kind of event from a usual culture festival the lively students plan many kinds of attractions  Me and my classmate Kushige and the Morals Committee Chairman Sawato also start preparations On that normal day I suddenly get informed that my father has been in an accident and is now in the hospital  He was in a traffic accident and is forced to stay in the hospital for a few days The doctors say that only sustaining that level of injuries is almost miraculous While I was sorting through the closet to find clothes for my father in the hospital I found it this jade pendant  Yes I remember now that was the beginning When I found this jade pendant everything started,Missing,,,,,,
6,203339,Simple 2000 Series Vol. 118: The Ochimusha - Doemu Samurai Toujou,[8],The Ochimusha  Doemu Samurai Toujou is an Action game developed by Tamsoft and published by D3Publisher which was released in Japan in 2007,Missing,Missing,Missing,,,,,,
7,203338,Simple 2000 Series Vol. 117: The Zerosen,[8],The Zerosen is a Simulation game developed by Mobile  Gamestudio and published by D3Publisher which was released in Japan in 2007,Missing,Missing,Missing,,,,,,
8,202068,Destruction Derby,[38],You probably feel like a crash test dummy when youre playing this game  its not only a racing game but you get points for wrecking your enemies The amount of points you get depends on how you hit them  eg you get more points for getting them do a 360 other than driving into their sides at high speed The game has more to offer a head to head mode with only two cars or the legendary destruction derby itself  a huge arena every car starts at the edge of it and then  have a nice crash,[10],Missing,Missing,5.18,5.5,8.0,59.0,29.0,13.0
9,177076,Battle vs. Chess,"[3, 5, 6, 9, 12, 14]",Commanders assemble your armies BATTLE vs CHESS calls for an interactive feather duster chartering the successful chess game principle into the present day multimedia world Animated fantasy figurines assemble in magical worlds and await your command As a Commander execute skillful maneuvers on the game board and catapult yourself directly into the battle with devastating attacks chessman vs chessman,"[16, 35]",Missing,Missing,16.98,25.0,0.0,48.0,6.0,3.0
