,id,name,platforms,genres,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,269529,Shinkyoku Soukai Polyphonica: 0~4 wa Full Pack,"[8, 38]",Missing,Missing,Missing,Missing,,,,,,
1,214807,Edel Blume,[8],[34],The time is the middle ages the place a remote region of Europe in a small village surrounded by mountains There is a village that is ruled by a heretic noble in an impassable region  The protagonist is a young nun named Mary who doesnt know her parents she cant remember her childhood and was raised at the church Getting closer to her 16th birthday she starts having nightmares every night They seem like memories of a person that is herself but not herself she cant remember the contents very well but she can tell they are dreams about that other self doing something frightening  And so on the night of a full moon the noble Gerald who lives in a castle at the summit of a mountain comes to the village with a request On the day of Marys 16th birthday he wants her to offer herself up to him in marriage  From that day strange things start happening in the village,Edel Blume is a otome visual novel developed by Design Factory and published by Idea Factory which was released in Japan in 2008,Missing,,,,,,
2,196855,Vantage Master Portable,[38],"[12, 15, 24]",Missing,This PSP remake of Vantage Master features new characters from The Legend of Heroes Trails in the Sky and multiplayer mode using the PSPs wireless capabilities  Falcom announced the development of Vantage Master Portable for the PSP on December 20 2007 which was released on the actual release data Unlike the original Windows version the interface is changed slightly for the PSP meaning no PC mouse functionality Otherwise the game is essentially a complete 3D clone of the original Vantage Master with remastered orchestral music and corresponding gameplay mechanics,Missing,,,,,,
3,140058,Super Stardust HD Solo Add-on Pack,[9],"[5, 33]",Missing,This is an upgrade pack for Super Stardust HD You must already own the full title to make use of this upgrade    Gargantuan asteroids are on a collision course with five planets and the evil Professor Schaumund is dishing out his interstellar revenge    Your only hope is to leave the stratosphere and stop all incoming danger Its time to go solo and blast your way through bigger and faster asteroids  Enjoy three new game modes  Endless Survival and Time Attack  plus remixed music tracks and revamped visuals Download Super Stardust HD Solo and take your cosmic battle to the next level,Missing,,,,,,
4,139952,PixelJunk Monsters Encore,[9],"[9, 11, 15]",Missing,PixelJunk Monsters Encore is an expansion pack to the popular and addictive tower defense game PixelJunk Monsters Encore includes 15 levels on a new map Toki Island as well as the ability for players to track their score across both maps Just as in the original game Encore continues the simple realtime strategy concept of building researching and base defending that made PixelJunk Monsters an instant classic  Key Features  New Maps  15 new levels on Toki Island give players plenty more addictive and strategic gameplay  Simple But Deep  Simple controls allow anyone to learn but gameplay is challenging enough for experienced players  Visually Charming  Features a unique handdrawn art style with 15 new stages and weather effects  Distinctive Music  Encore includes 5 new music tracks by Japanese ambient techno group Otograph  Online Leaderboards  For tracking both single player and coop high scores  Remote Play  Supports Remote Play for PSP system,Missing,,,,,,
5,80504,Star Ocean: Second Evolution,"[9, 38, 46, 48]",[12],Missing,Enhanced remastered of Star Ocean The Second Story exclusively for PSP New highquality animated cut scenes and character designs by Production IG Characters will now change facial expressions depending on their mood Revised game engine and improved realtime battle system keep players immersed in the action More private actions and extensive new fullyvoiced dialogue bring the story to life,Missing,31.12,35.31,56.03,82.0,64.0,83.0
6,78739,SNK Arcade Classics Vol.1,"[5, 8, 38]",Missing,Missing,A handful of SNKs NeoGeo games comprise this new collection for PlayStation 2 PSP and Wii,Missing,,,,,,
7,69399,Battle of Sunrise,[8],Missing,Missing,Battle of Sunrise is a Strategy game developed and published by Sunrise Interactive which was released in Japan in 2008,Missing,0.0,0.0,0.0,0.0,0.0,0.0
8,68950,Sengoku Basara X,"[8, 52]",[4],Missing,Sengoku BASARA X pronounced Cross is a 2D Fighting spinoff developed by Arc System Works and released by Capcom at the arcades on April 2008 featuring 10 playable characters each with their own uniqueness Later on it was ported to the PlayStation 2 adding extra contents such as 2 more playable characters and a challenge mode,Missing,2.21,0.0,13.2,70.0,6.0,4.0
9,62431,Tsuyokiss 2gakki,"[6, 8]",[34],Missing,A retelling of Tsuyokiss which takes place a few months after Otome has started living together with Leo before the game enters any routes and introduces the transfer student Celeb who joined Leos class,Missing,,,,,,
