,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[31, 34]",262494,Clannad,"[9, 12, 34, 38, 46, 48, 130]",A port for Clannad for consoles and portable devices developed by PROTOTYPE in which the game is presented in 169 resolution and contains 51 surround sound in some releases,Missing,Missing,60.21,75.29,84.27,87.0,90.0,150.0
1,[31],257214,Iron Man,[38],Missing,Missing,Missing,4.55,5.43,8.54,57.0,63.0,50.0
2,[31],257213,Iron Man,"[5, 6, 8]",Missing,Missing,Missing,4.55,5.43,8.54,57.0,63.0,50.0
3,[14],229584,Jikkyou Pawafuru Puroyakyu Portable 3,[38],Missing,Missing,Missing,,,,,,
4,[34],221609,Hanayoi Romanesque: Ai to Kanashimi - Sore ha Kimi no Tame no Aria,[8],An otome game released in 2008,The player character Kirihara Tamami is a teacher at the historical Gekka Academy where various male members of the Houshou family reside as staff and students This family has the Logos curse on them and Tamami is able to see this curse Gameplay revolves around Tamami taking various forms of the curse and hopefully releasing them in the correct way to free the guys from it,Missing,,,,,,
5,[34],165554,Aoi Shiro,"[6, 8]",The Seijou Girls Academy Kendo Club is traveling to Shoushinji for a Summer training camp Near there is an island Urashima where legend has it a demon extermination took place long ago  They arrive around the time of a festival which honors a god that is worshipped by the people of Urashima it celebrates the onitaiji and ensure another year of health for the people Around the time of the festival the weather around Urashima worsens and storms will come  A few days into their training Osanai Shouko finds a girl washed up on the shores near the location of the training camp She cannot speak and doesnt seem to know much about herself,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
6,[34],145289,Togainu no Chi True Blood,"[8, 38]",Togainu no Chi True Blood is a Japanese BL visual novel Can you help Akira numb from a lifetime of violence and isolation forge the bonds he needs to survive a ruined Tokyos deadly underworld  True Blood is a rereleased version of Togainu no Chi featuring new CGs characters and scenes,After being devastated in the third World War known as The Third Division Japan was divided in two Several years after the end of the war a crime organization called Vischio has taken control of the destroyed city of Toshima formerly Tokyo Japans capital city where they are holding a battle game known as Igura  Igura is a battle game held in Toshima that may result in the murder of participants To participate one must meet with Arbitro and tell him their reason for their decision Upon meeting with Arbitro participants are given five dog tags each engraved like a card in a standard deck of playing cards One tag must hang from the participants neck as proof of participation Participants must then put their lives on the line to collect others tags with the goal being to collect a Royal Flush If a participant collects a Royal Flush set of tags they earn the right to challenge Il Re in battle Battles end when one party either dies or lets their back touch the ground The winner takes the losers tags and is free to do as they please to the loser after that often resulting in the losers death  The games main character a young man named Akira is falsely accused of a crime Once arrested a mysterious woman appears before him offering him freedom if he agrees to participate in Igura and defeat Iguras strongest man the king or Il Re The story follows Akiras life in the harsh lawless Toshima as he fights both to survive and to unravel the mysteries developing around him,Missing,,,,,,
7,[12],144932,Penny Arcade Adventures: On the Rain-Slick,"[3, 6, 9, 12, 14, 34, 39]",Penny Arcade Adventures On the RainSlick Precipice of Darkness is an episodic actionadventure roleplaying video game series based on the webcomic Penny Arcade It is written by Jerry Holkins and Mike Krahulik with Mike drawing the concept art It is published by Hothead Games,Episode One The game begins with the narrator reading the first verse of a poem later called The Quartet for the Dusk of Man The player then designs a character of their choosing with an introduction in the 1920s suburban neighborhood of the Player A mysterious voice instructs the Player whose home is quickly destroyed by a giant robot a steampunk version of Fruit Fucker Prime while smaller steampunk Fruit Fuckers attack After a brief tutorial the player teams up with Tycho Brahe a scholar of Apocalyptic Studies turned detective and his exceedingly violent partner who fought with the devil Johnathan Gabriel in search of information on Fruit Fucker Prime  Episode Two Several months after Episode One ended the Player has rebuilt hisher house a tent and Tycho and Gabe have set out to destroy Fruit Fuckers and try to find a lead on Fruit Fucker Prime While escaping from a swarm of them they crash a truck into the Players partially rebuilt house and recruit himher to help them track down their lead A trip to AnneClaires reveals that they have found the original designer of the Fruit Fuckers Dr Jonathan Crazoir presently incarcerated in the same sanatorium as Tychos father and grandfather when they succumbed to the insanity inherent to dealing with otherworldy affairs She also demands they collect various pieces of equipment for one of her experiments Five bolts of silk thread preferably spider silk a golden bolt a truck or tractor engine and a molecule of Energite a highly unstable element They enter the sanitarium to find Crazoir who promises to give Tycho Gabe and the Player everything related to his research as well as a robot monkey card if they can free him from the madhouse After wooing the receptionist they encounter huntsmansanatorium owner Dr Wolfington who has used the millions made from the Brahe familys inevitable descent into madness to hunt down and kill every rare animal in the world He declares the Player Tycho and Gabe all unfit for society after a rigged ink blot test and has them injected with various chemicals to induce insanity  Episode 3 The main game begins with Tycho receiving a phone call which is described as 10 minutes of silence prompting Tycho and Gabe to go to the Arcadia boardwalk where they had previously defeated the mime god and members of his cult Teaming up with AnneClaire they fight past the cultists and eventually face off against a crabomancer then upon defeating it recover pins which bestow classes on whomever wears one similar to the job system in early Final Fantasy games They return to their office only to find that Dr Blood has orchestrated the theft of the Necrowombicon AnneClaire returns home Tycho and Gabe team up with Jim a former colleague who lost his body in a workrelated incident reducing him to a skull floating in a jar of green liquid Jim is unable to speak but can follow Tycho and Gabe as well as participate in combat Following leads they arrive at the museum of contemporary and ancient works where Tycho is reunited with Moira his exwife who joins the party When asked if they can rerecruit AnneClaire Tycho answers she is on vacation with her parents The party discovers that a painting has been stolen from the museum the painting being one of four representing the god of doors YogModaign a deathgod like figure  Episode 4 The fourth episode begins with Gabe and Dr Blood crashing down onto a hellscape Without other options Gabe is forced to pair with Dr Blood who gleefully explains that when they defeated Yog Modaign the apocalypse happened and the world was destroyed Those closest to the epicenter were tossed into a dimension called Underhell socalled because it resembles a massive floating continent directly below the massive floating continent of Hell Gabe reasons that Jim Moira and Tycho must have been sent to Underhell as well and bargains with Dr Blood to aid him in searching for them Dr Blood reveals his motivations in his youth he traded the soul of his lover Hestia for knowledge He since had come to regret his actions and engineered a premature apocalypse in order to send himself to Underhell where he hoped to reunite with Hestia Dr Blood also informs Gabe that since they are not of the same makeup as Underhell they cannot harm its inhabitants meaning they must use Underhell monsters to fight for them similar to Pokémon They head towards a large pillar structure where Dr Blood believes he will find Hestia,Missing,,,,,,
8,[31],90656,Death Jr: Root of Evil,"[5, 38]",Death Jr II Root of Evil is a 2008 actionadventure game developed by Backbone Entertainment the sequel to the PlayStation Portable video game Death Jr The game has various differences from the first including having a second playable character Pandora,Missing,Missing,,,,,,
9,[31],62178,Fushigi Yuugi Suzaku Ibun,[8],Fushigi Yuugi Suzaku Ibun is a simulation game for the anime and manga series Fushigi Yuugi Its story is based on the original Fushigi Yugi The game though having most of the characters as returning characters from the original series it has apparently replaced Miaka and Yui It was released on 2008 in two editions limited and full edition The game was also ported to NDS on June 25 2009 and placed on the same cartridge as Fushigi Yuugi Genbu Kaiden Kagami no Miko,Ootori Madoka falls into the hands of The Universe of the Four Gods along with her friend Himuro Masaki same as how Miaka and Yui entered While Masaki goes missing Madoka is fortunate enough and ends up in the emperors palace safe The story of the series continues allthroughout following the milestones unless the player chooses different options Depending of the player choices some characters who didnt survive in the original series can be saved,Missing,0.0,0.0,0.0,0.0,0.0,0.0
