first_release_date,id,name,platforms,genres,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1230681600,274849,Adventures to Go,[38],Missing,Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1230681600,237546,Pro Evolution Soccer 6: Apertura 2008,[8],[14],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1228348800,221457,Real Rode,[8],"[12, 34]",Nina is a high school student Like other girls she is interested in fashion and enjoys dating with her boyfriend Naoya But she also has a secret  Nina is a closet otaku who loves to play video games Her favourite game is Real Rode a game that she knows very well from completing it several times One day when playing in her room Nina is drawn into the game itself When she wakes up she finds herself in the story she knows so well but she is also disappointed to realize that she is not the heroine of the story And as times passes she notices even more inconsistencies in the world around her,Real Rode is an RPGotome game about an RPGotome game fan named Nina who gets sucked into her favorite game Rode,Missing,nan,nan,nan,nan,nan,nan
1229558400,214655,Hiiro no Kakera Portable,[38],"[31, 34]",The protagonist is a teenage girl Tamaki who revisits a small village she remembers from her childhood and gets caught up in her familys history and the supernatural dangers surrounding it,A bundle of both Hiiro no Kakera and Hiiro no Kakera Ano Sora no Shita de for PSP,Missing,nan,nan,nan,nan,nan,nan
1230681600,199877,Postman Pat,[8],"[2, 9]",Missing,Lots of fun with Postman Pat and his friendsJoin in the fun with Postman Pat and Jess his black and white cat as they deliver the post and make their way to the Greendale bike race  Encountering many adventures and helping Pats friends along the way there are many different games for to play based on the muchloved Postman Pat animation series  Play as Postman Pat handyman Ted Glen vet Amy Wrigglesworth and PC Selby in their own unique challenges  Watch the story unfold through classic clips from the BBC television series  Play hideandseek with Jess the cat find missing post and take part in the Greendale bike race,Missing,0.0,0.0,0.0,50.0,1.0,0.0
1230076800,194520,LittleBigPlanet: Metal Gear Solid Level Kit,[9],[8],Missing,Create your own homage to Metal Gear Solid with this actionpacked Level Kit Included are some additional gameplay features like the messy Paintinator gun a Paint Switch and five themed Metal Gear Solid levels Also on offer are loads of new stickers decorations and a new Gurlokovich Soldier costume,Missing,0.0,6.0,0.0,60.0,1.0,1.0
1228348800,97105,GTI Club+: Rally Côte d'Azur,[9],[10],Missing,GTI Club Rally Côte dAzur is the PlayStation 3 remake of the original GTI Club released in 1996,Missing,nan,nan,nan,nan,nan,nan
1228348800,92236,Pro Yakyuu Spirits 5 Kanzenban,"[8, 9]",[14],Missing,An updated version of Pro Yakyū Spirits 5 with many improvements over the original as a postseason version of the game For instance every player who appeared in a game in the 2008 NPB season for all 12 teams was included on each teams roster there were new player animations enhanced artificial intelligence and also small improvements to graphics foreign players for example no longer look generic and have their actual swings online play baserunning and fielding,Missing,nan,nan,nan,nan,nan,nan
1230681600,92195,Nobunaga's Ambition: Kakushin with Power Up Kit,"[5, 6, 8]",[15],Missing,An extension of the 12th release in the Nobunagas Ambition series Nobunagas Ambition Iron Triangle has appeared at the Steam Store as Nobunagas Ambition Iron Triangle wPowerup Kit,Missing,nan,nan,nan,nan,nan,nan
1230681600,91884,Singstar: SuomiHitit,[9],[7],Missing,SingStar SuomiHitit is a karaoke game exclusively released in Finland There are no changes to the gameplay formula players sing into a microphone and the game gives points based on the performance The only basis of assessment is if the correct note is hit with the correct timing the sung words or octave does not play into the result,Missing,nan,nan,nan,nan,nan,nan
