first_release_date,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
1232582400,[12],94824,Zill O'll Infinite Plus,[38],Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1233273600,[34],62647,Oretachi ni Tsubasa wa Nai - Under the Innocent Sky,"[6, 9, 46]",This might just be a what if but    A certain day Gretagards pure white sky was overrun by winged ones    Now the sky extends just about anywhere and everywhere right    So no matter how far you run you cant escape those white wings of theirs    And thats why the people without wings went looking for a sky of their own    Their prayers were listened and they are now listening to Jingle Bells in a calm country    This might just be a what if but  What we will tell you about now is such a fairytale,Missing,Missing,nan,nan,nan,nan,nan,nan
1231113600,"[9, 26, 35]",44587,Brain Challenge Deluxe,[9],Released in Europe in 2008 and for the PSN in 2009,Missing,Missing,nan,nan,nan,nan,nan,nan
1233187200,[4],44527,Soul Eater: Battle Resonance,"[8, 38]",Wrought your weapon into a death scythe in the fighting game Soul Eater Battle Resonance find 99 souls born from the egg of the kishins and one witchs soul Maka and Soul Eater have failed this task once by mistaking the soul of Blair the cat as a witch and could not bear to fail again  Following the plot of the first 24 episodes of the anime you get to take part in the fights Maka and gang participated in and experience the coolness of the characters at first hand  For those who have never seen the anime be amazed at the comical situations the characters managed to get themselves into for the long time fans this game is filled to the brim with new story elements and costumes as well as items Get a rare insight into the characters minds and their wardrobes,Missing,Missing,0.0,0.0,0.0,60.0,1.0,0.0
1231459200,[8],43512,Agent Hugo: Hula Holiday,"[5, 8]",Agent Hugo Hula Holiday is a 3D Platformer created by NDS Software,Missing,Missing,4.5,5.5,7.0,75.0,2.0,3.0
1231459200,"[12, 13, 15]",42765,Dungeon Maker II: The Hidden War,[38],The Grand Architect master plan bought the human race close to extinction Although you can believe what history lore tell you A war between Gods and Demons Unlock the truth by becoming the previous genocidal Grand Architect build dungeon and labyrinths lure and kill Demons that felt to your trap Prove that it was not a war of the immortal that cause destruction by causing the second human extinction in yet another hackandslash dungeon maker tycoon,Missing,Missing,0.0,0.0,0.0,70.0,2.0,0.0
1232582400,[4],38476,Hokuto no Ken: Raou Gaiden - Ten no Haou,[38],This is a cellshaded 3D fighting game featuring 13 playable characters based on the Manga and Anime of the same name All the characters are voiced by their voice actors from the Anime series with the exception of Raoh who is voiced by Rikiya Koyama Jagi and Amiba who were in the original Manga but not in the Anime are voiced by Tsuyoshi Aoki and Kazuyuki Okitsu respectively while Kenshiro who is a hidden character in the game is voiced by Hideo Ishikawa,Missing,Missing,nan,nan,nan,nan,nan,nan
1231977600,[9],27002,Magic Orbz,[9],Get Magic Orbz Puzzle game for PS3 console from the official PlayStation website Know more about Magic Orbz Game,Missing,Missing,8.28,9.5,12.62,65.0,13.0,8.0
1231372800,[9],23024,Cuboid,[9],In this puzzle game you move a block along a puzzling path trying to push it to and fit it into the exit Cuboids 66 twisted levels will bend your mind with their addictive puzzles and engage the senses with amazing graphics and soothing music immersing you in a surrealistic puzzle world,Missing,Missing,5.92,6.5,9.94,69.0,9.0,11.0
1232928000,"[13, 14]",7073,MLB Front Office Manager,"[6, 9, 12]",MLB Front Office Manager allows a player to take the role of a baseball general manager over the course of a thirtyyear career the goal is to perform well enough to become inducted into the Baseball Hall of Fame The players GM is rated on eight disciplines including North American scouting international scouting proleague scouting player development trades contract negotiation owner confidence and leadership GMs also have former career backgrounds ie exmanager lawyer business person former player or talent scout that affect the GMs disciplines A GMs ratings improve or regress over his career depending on their performance and will have seasonal goals depending on the club theyre hired by The player will be faced with decisions such as spring training evaluation initiate and respond to trades develop rookies and even bid for Japanese baseball players The game also promises advanced AIcontrolled GMs who have unique motivations,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1233014400,"[14, 31]",4771,Coraline,"[5, 8]",Coraline lets players take on the role of the adventurous heroine Coraline and interact with the wondrous characters from the movie while navigating the scheming Other Mothers web of deceit in a fantastical adventure through two distinct and interactive worlds Players engage in unique minigames and adventures with Coralines friends Wybie and Cat as they collect items that will unlock the mysteries of the Other World,Missing,Missing,3.15,4.5,4.66,46.0,9.0,9.0
1232496000,"[10, 13, 14]",2586,Skate 2,"[9, 12]",Its been five long years since your mysterious disappearance from the skate scene and much has changed in the wake of the disastertoognarlytobenamed The massive devastation left large swaths of San Vanelona completely destroyed After the mass evacuation one company Mongocorp won the bid to rebuild New San Vanelona and their zealous protection of their private property has put a damper on the once thriving skate population Your mission is to rebuild your career and revive the New San Van skate scene To help you get the job done youll have double the tricks and the new ability to get off your board to move stuff and create the sickest lines Theres even a crew of locals you can call on to help take care of business Skate 2its time to take back the city  one spot at a time,84.90608382059875,Missing,18.1,25.27,57.64,82.0,75.0,43.0
1231459200,"[25, 31]",7056,The Lord of the Rings: Conquest,"[6, 9, 12, 20]",Play as Evil characters in a brand new Evil campaign Battle through scenarios after Frodo failed to destroy the One Ring its good to be bad Battle online in a coop campaign or offline in splitscreen,70.08934865646617,In this exciting action strategy game players fight on the side of both Good and Evil in all the biggest battles from The Lord of the Rings movies The Battlefront format allows them to switch between characters at will to suit the circumstance or their style reliving  and even reinventing  the chaotic and engrossing conflicts from the films as they choose how best to tackle their objectives and defeat their enemies,5.91,7.91,10.52,64.0,91.0,59.0
1231891200,[5],497,Resident Evil: The Darkside Chronicles,"[5, 9]",Resident Evil The Darkside Chronicles is an onrails shooting game and the second title exclusive to the Wii platform in the Resident Evil series The player do not control the characters movement but only the shooting aspect shown from a firstperson perspective The players partner is also shown on the screen and there is an cooperative option for two players,67.09434949722856,The games plot is retelling the events of Resident Evil 2 and Resident Evil CodeVeronica with a third act which ties the two together For the Resident Evil 2 segment the player takes control of protagonists Leon S Kennedy and Claire Redfield with Sherry Birkin acting as an escort character in one chapter The Code Veronica chapter features Claire accompanied by fellow Rockfort Island prisoner Steve Burnside and later her brother Chris Redfield,8.22,11.41,16.38,70.0,111.0,89.0
1233014400,"[5, 12]",10301,Fallout 3: Operation Anchorage,"[6, 9, 12]",Enter a military simulation and fight in one of the greatest battles of the Fallout universe  the liberation of Anchorage Alaska from its Chinese Communist invaders,65.53457601668964,Missing,nan,nan,nan,nan,nan,nan
1233100800,[14],52232,Hustle Kings,"[9, 46, 48, 165]",VooFoo Studios acclaimed PlayStation Network game Hustle Kings is coming to Vita with intuitive touch screen controls and more,62.5974625173952,Missing,6.6,0.0,0.0,57.0,10.0,3.0
1230940800,"[5, 33]",21250,R-Type Dimensions,"[9, 12]",The coinop classics RType  RType II are together on the PlayStationNetwork Fight through all 14 Bydoinfested stages in retro 2D graphics or shiny 3D graphics  and swap back and forth with the touch of a button onthefly The new 3D graphics are accompanied by fully reimagined arrangements of the timeless RType music tracks The classic gameplay remains untouched while the new Infinite game mode allows continuous progression from game start to final boss the Bydo will not evade you this time Both game modes can be played as single player or local multiplayer Pull yourself together save the earth and strike down the Evil Bydo Empire,62.09149149000537,Missing,1.48,1.48,0.0,66.0,12.0,11.0
1233014400,[25],5478,Afro Samurai,"[9, 12]",Afro Samurai is a 3D brawler with platforming elements loosely based on the manga and anime series of the same name Using light hits power hits kicks and blocks the player fights various enemies Most levels culminate in a boss fight and inengine cutscenes advance the story  The game features a celshaded animation style Though it is a hack and slash game the fighting is a bit more strategic and the player will be able to block and use combos The enemies will respond by rolling ducking and hopping over the players blade and occasionally using body orifices to catch the weapons the combat system was worked on by Monty Oum,49.99226518724957,Gianlucas cousin said that the one who becomes Number One will rule the world wielding powers akin to a god Someone becomes Number One by killing the previous Number One and taking his ceremonial headband However only the Number Two is allowed to challenge the Number One Because of this few people ever reach the Number One because the Number Two headband is constantly changing owners Afros father was the old Number One until he was brutally killed by a gunman named Justice an event witnessed by Afro as a child Now an adult Afro Samurai is the current Number Two and a master swordsman he travels the road seeking revenge on Justice Lengthy flashbacks interspersed throughout the story detail how Afro rose from frightened boy fleeing the death of his father to master swordsman and eventually to become the current Number Two while the story in the present deals with the adult Afro making his way to the mountain top keep of the Number One to duel Justice while at the same time the mysterious cult known as the Empty Seven Clan sends various agents to kill Afro and take his Number Two headband,7.13,7.93,11.32,63.0,37.0,36.0
