,id,name,platforms,genres,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,241437,"Taiheiyou no Arashi: Senkan Yamato, Akatsuki ni Shutsugeki su!",[9],Missing,Missing,Missing,Missing,,,,,,
1,222630,Koi wa Rule ni Shibararenai!,[38],[34],Manabe Aya is in her second year of high school One day she gets called by the board chairman of the school her uncle It turns out that he had decided to retire as board chairman and is giving her the position in his place So now she has to work hard with the student council members in order to succeed in her duties as the new board chairman of the school,The protagonist is an ordinary high school girl who goes to Yuurin Secondary High School Suddenly one day her uncle who is the schools Board Chairman leaves his duties up to her as the next Chairman of the School Board  The power of the Board Chairman is great they can change the school rules at any time However at this school the approval of the Student Council is also needed  The five members of the Student Council appear in front of the protagonist Sometimes fighting against them sometimes cooperating with them the protagonist has to overcome various problems while running the school  Its time to start this year full of troubles,Missing,,,,,,
2,219130,Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,[38],[34],Bell the fairy of time gives Lulu the fragment of time With it she can choose to go back to the past where challenges have overcome her With her new insight she might be able to conquer her old troubles  She can also visit the future where she has chosen her magic and the boy whod be her partner She can also choose go to the distant past where she was only a child when every little trip looks like a huge adventure,This fandisk gives gamers the epilogue the final happy ending to Wand of Fortune 2 and new episodes,Missing,,,,,,
3,218785,School Wars,[38],[34],Ichijou Shiori is a student at Seiran High School and the head of the morality club A case of arson at their rival school Suzushiro results in Suzushiro students attending Seiran Shiori investigates the arson while trying to keep the two groups of students from killing each other,School Wars was released in 2012 for the PSP In 2015 it was released on the PSVita in a double pack with its fandisc called School Wars Zenkan Pack Honpen  Sotsugyou Sensen,Missing,,,,,,
4,200894,Fighting Vipers,"[9, 12]",[4],Missing,Electric fences Barb wire cages Nomercy skate punks Axewielding rockers Rollerbladers who take the term seriously Fighting Vipers is street fighting in its rawest form Furious walltowall combat brought to life with a visual intensity and relentless game play so superior so brutal beyond comparison nothing can prepare you for what youve got coming NOTHING,Missing,0.78,1.86,1.91,65.0,27.0,36.0
5,166007,Sleeping Dogs: Drunken Fist Pack,"[6, 9]",[31],Missing,With the Drunken Fist outfit Wei unleashes this exclusive fighting style While in combat filling the face meter will enable you to drink from your flask and perform special moves and unique counters Sway like a drunkard hit like a mule,Missing,,,,,,
6,166004,Sleeping Dogs: Police Protection Pack,"[6, 9]",[31],Missing,Catch criminals like a true SWAT with the Police Protection Pack Unlocks exclusive High Speed police mission SWAT outfit SWAT police cruiser car and SWAT assault rifle,Missing,,,,,,
7,148657,Invizimals: The Trilogy,[38],Missing,Missing,Missing,Missing,,,,,,
8,148202,Monster Radar Plus,[46],[13],Missing,ver 200 of Monster Radar,Missing,,,,,,
9,142163,Far Cry 3: Insane Edition,"[6, 9, 12]",[5],Missing,The Insane Edition will include all the following content in Exclusive Survival Kit Packaging an Insane Vaas Wahine a 12cm Wahine with Vaas bobble head a survival guide with a unique artwork and inside information to help you survive the insanity of the island and all digital content to discover all the secrets,Missing,,,,,,
10,142159,Far Cry 3: The Lost Expeditions Edition,"[6, 9, 12]",[5],Missing,Far Cry 3 The Lost Expeditions Edition features two additional missions that allow you explore the WW2 forgotten ruins of the island Find the way out to escape the research complex and the pirates standing between you and freedom Also included is an extra multiplayer weapon the Type 10 Japanese flare gun  a modified singlehanded destructive shotgun,Missing,,,,,,
11,119189,Sonic & All-Stars Racing Transformed: Metal Sonic & Outrun Pack,"[6, 9, 12, 41]",[10],Missing,Sonic  AllStars Racing Transformed Metal Sonic  Outrun DLC  Download the Metal Sonic  Outrun DLC for Sonic  AllStars Racing Transformed Featuring Metal Sonic in his unique transforming vehicle  handling mods Outrun Bay track based on the iconic arcade game  time trials Exclusive emoticon stickers for your in game license,Missing,,,,,,
12,118467,Dream C Club Complete Edipyon!,[9],Missing,Missing,Missing,Missing,,,,,,
13,114944,The Walking Dead: Season One - Episode 5: No Time Left,"[6, 9, 12, 14, 34, 39, 46, 48, 49, 130]",[2],Missing,Just like the first episode it consists of eight chapters and it picks up after the events of the previous episode Clem disappeared and Lee is in contact with her through the walkietalkie but she is not alone,Missing,,,,,,
14,112745,Doors & Rooms,"[6, 34, 39, 48]","[15, 31, 32]",Missing,The game that will awaken and stimulate your brain development Everything is perfect All you need is your reasoning power Test and challenge your deduction skills through much more elaborate and solidified stages  Discover the hidden items located in various rooms and uncover clues to escape You may occasionally find items that will unveil secret rooms Of course you must identify the correct ways to use them The doors to secret rooms arent that easy to open,Missing,0.0,0.0,0.0,0.0,0.0,0.0
15,112296,Kokoro Connect: Yochi Random,[38],[34],Missing,Kokoro Connect Yochi Random is a visual novel adaption of the light novel series Kokoro Connect which features an alternative storyline based on the original novels and features multiple routes and endings determined by the players choices during their playthrough,Missing,,,,,,
16,110398,007 Legends: Skyfall,"[6, 9, 12, 41]",[5],Missing,Take on the role of James Bond as played by Daniel Craig in all new SKYFALL levels Unlock three new single player levels following the storyline of the SKYFALL movie Levels take place in Istanbul and Shanghai as the player Bond attempts to track down the villain Patrice,Missing,,,,,,
17,102600,Angry Birds Star Wars HD,"[5, 6, 9, 12, 14, 34, 37, 39, 41, 46, 73]","[9, 33]",Missing,Angry Birds Star Wars is a video game that is part of the Angry Birds series It serves as an adaptation of the original trilogy of the Star Wars series,Missing,,,,,,
