first_release_date,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1410998400,263922,Disney Infinity 2.0 Spider-Man Playset,"[6, 9, 12, 48, 49]",Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1411430400,250377,Velocity 2X: Dual Core DLC Pack,"[46, 48]","[5, 9, 33]",So those last few levels tickled your gamer hindbrain Then its time for Dual Core  Control two Quarp Jets at once to weave blast and race through 10 mindmelting levels at the heart of Paroika Prime the Vokh Citadel  Master these levels to upgrade your essential motor neurons enhance your stimulus processing and gain a deeper capacity for intense spatial challenge,Missing,Missing,nan,nan,nan,nan,nan,nan
1409616000,250375,Velocity 2X: Critical Urgency DLC Pack,"[46, 48]","[5, 8, 9, 33]",So youve perfected the art of teleporting at high speed Then youre ready for the Critical Urgency Pack  Six obsessively finetuned speed run levels that will push your teleporting skills beyond the limits of your imagination and into the realm of gaming magic  Master these levels to dazzle your friends and scare your family with freakish talent,Missing,Missing,nan,nan,nan,nan,nan,nan
1411430400,240426,FIFA 15,"[9, 12]",[14],Oldgen version of FIFA 15 running on the Impact Engine,Missing,Missing,61.14,134.42,256.24,71.0,142.0,52.0
1411430400,240424,FIFA 15,[46],[14],PlayStation Vita port of FIFA 15,Missing,Missing,61.14,134.42,256.24,71.0,142.0,52.0
1409616000,223125,Muramasa Rebirth: Genroku Legends - Hell's Where the Heart Is,[46],[25],The fourth of the Genroku Legends additional scenarios for Muramasa Rebirth This addon follows the story of Rajyaki the daughter of the Lord of Hell A former monk named Seikichi accidentally proposes to Rajyaki Already on a mission to recover the sacred treasures of the Seven Gods of Fortune that she misplaced Rajyaki stuffs Seikichi in a magical bag and continues her mission all while being the best fiancée she can be,Missing,Missing,nan,nan,nan,nan,nan,nan
1411603200,221325,Kiniro no Corda 3 AnotherSky feat. Amane Gakuen,[38],[34],AnotherSky allows players to view the narrative from one of the three main rival schools introduced in the third title,One day the protagonist and her childhood friend Kyouya receive a mysterious letter with admission papers for Amane Gakuen The protagonist faintly recalls the boy who gave her the golden violin string seven years prior upon seeing the invitation and has a hunch that she may meet the boy at the school After transferring to Amane Gakuen with Kyouya in tow the pair are soon challenged by Myouga to improve themselves as worthy additions to the school,Missing,nan,nan,nan,nan,nan,nan
1411603200,220574,Satomi Hakkenden Hamaji Hime no Ki,[38],[34],The sequel of Satomi Hakkenden Hachitama no Ki,Where will the demon sword lead To battle or to love  It is a time of war  Inuzuka Shino the protagonist serves the Satomi clan as a warrior Just as she was about to move on from the sadness of losing her childhood friend Hamaji the said childhood friend who was supposed to have died returns as the fiancé of the House of Satomis fifth princess Princess Hamaji  But Im sure Hamaji died  That night Murasamemaru and the Filial Piety bead was stolen Hamaji and the princess disappeared  Who stole the Murasamemaru What is the meaning behind this incident  In order to retrieve Murasamemaru and the bead Shino once again journeys forth with the Hakkenshi  What awaits them as they chase after the two Hamaji,Missing,nan,nan,nan,nan,nan,nan
1410220800,147720,Destiny: Digital Guardian Edition,"[9, 12, 48, 49]","[5, 12]",The Destiny Digital Guardian Edition is an edition of Destiny that can only be obtained as a digital download It is available for PlayStation 4 PlayStation 3 Xbox One and Xbox 360  The Digital Guardian Edition includes the following  Digital download of Destiny  Preorder bonus of early access to several pieces of Vanguard armor and weapons and Vanguard player emblem  Collectors Edition Digital Content The City has provided you with a cache of items to start you on your journey including  A Unique Ghost Casing  An Exclusive Player Emblem  An Exclusive Player Ship Skin  Includes the Destiny Expansion Pass a season pass for two future Destiny expansion packs including The Dark Below and House of Wolves,Setting Destiny is set in the distant future after an event referred to as the Collapse ended the Golden Age that was started by the discovery of The Traveler and pushed humanity to the brink of extinction The force responsible for the Collapse is known as The Darkness and indirectly acts as the primary antagonist Battles against the forces of The Darkness are fought at various locations throughout the Solar System  Plot The game begins with the players Ghost resurrecting them as a Guardian after having been dead for an unknown length of time The Guardian is quickly forced to fight Fallen who have inhabited the ruins of the nearby Cosmodrome in Old Russia The Guardian with the aid of their Ghost is able to secure a jumpship and escape to The Tower that houses the Guardians on The City border  After being outfitted and introduced to the Vanguard and Gunsmith the duo learn from Amanda Holliday that their Arcadia Class Jumpship is missing its Warp Drive a component necessary for interplanetary travel Due to the scarcity of the part and flyable jumpships in general the Guardian is forced to return to where they found the ship in an attempt to find the part,Missing,nan,nan,nan,nan,nan,nan
1410220800,147699,Destiny: Limited Edition,"[9, 12, 48, 49]","[5, 12]",The Limited Edition includes everything thats in the Ghost Edition minus the Ghost replica letter of introduction and Golden Age Relics pack The contents is as follows  Limited Edition SteelBook Case and Game Disc  Guardian Folio containing  Arms and Armament Field Guide Many believe the weapons and armor featured in this record are a myth You will learn the truth  Postcards from the Golden Age Our worlds have been claimed by our enemies Now its time to take them back  Antique Star Chart Explore the wild frontiers of our solar system Discover all that we have lost  Collectors Edition Digital Content The City has provided you with a cache of items to start you on your journey including  A Unique Ghost Casing  An Exclusive Player Emblem  An Exclusive Player Ship Skin  Destiny Expansion Pass  The Destiny Limited Edition also includes the Destiny Expansion Pass  Vanguard Armory  As an added incentive to preorder players will gain early access to the Vanguard Armory which includes nine weapons three helmets and an emblem According to the Bungie these items will be attainable through gameplay for those that choose not to preorder,Setting Destiny is set in the distant future after an event referred to as the Collapse ended the Golden Age that was started by the discovery of The Traveler and pushed humanity to the brink of extinction The force responsible for the Collapse is known as The Darkness and indirectly acts as the primary antagonist Battles against the forces of The Darkness are fought at various locations throughout the Solar System  Plot The game begins with the players Ghost resurrecting them as a Guardian after having been dead for an unknown length of time The Guardian is quickly forced to fight Fallen who have inhabited the ruins of the nearby Cosmodrome in Old Russia The Guardian with the aid of their Ghost is able to secure a jumpship and escape to The Tower that houses the Guardians on The City border  After being outfitted and introduced to the Vanguard and Gunsmith the duo learn from Amanda Holliday that their Arcadia Class Jumpship is missing its Warp Drive a component necessary for interplanetary travel Due to the scarcity of the part and flyable jumpships in general the Guardian is forced to return to where they found the ship in an attempt to find the part,Missing,nan,nan,nan,nan,nan,nan
1410998400,146062,Fate/stay night [Realta Nua],[46],[34],The complicated threads in Fate Stay Night unravels in Realta Nua The series tells some of the most bloody and brutal love stories ever The three heroines Saber Rin and Sakura each has a tale to tell and depending on which path Emiya Shirou takes he can either become the saviour who ends the Holy Grail wars for good or become another heroic spirit bound to be called out when the flames of war start again,Missing,Missing,nan,nan,nan,nan,nan,nan
1409788800,99564,Arcade Archives: Solomon's Key,"[48, 130]","[31, 33]",Arcade Archives Solomons Key is a port of the action game Solomons Key Players make full use of the magic of the main character Dana to collect items in various stages and get the book called Solomons key Unusual for a game in its time an arcade and consumer version were both developed at the same time,Missing,Missing,nan,nan,nan,nan,nan,nan
1410998400,85556,Darts Up,"[41, 130, 167]","[13, 14, 33]",Darts Up is a fun game of darts in which you will have complete control over aiming thanks to the motion sensor You can play with your friends and family up to a maximum of 4 Players,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1411603200,75701,Arcade Archives: Nova 2001,"[48, 130]","[5, 33]",Arcade Archives Nova 2001 is a port of the shooting game Nova 2001 Players control a fighter which can shoots in all directions And its main purpose is to continue to defeat a variety of enemies that appear in each stage,Missing,Missing,nan,nan,nan,nan,nan,nan
1410912000,68979,Legend of Ixtona,"[6, 34, 39, 48, 49, 167, 169]","[12, 13, 15, 16, 31]",A fullscale Strategy RPG shown at an isometric view Your aim is to change the course of history Utilize a number of different classes and skills to crush your enemies  Story Ixtonas long fight has finally come to an end  Many believed that the leadership of the wise king Lefante would pave the way for an era of peace for Prince Kyle and the people of Ixtona but now  Kyle the compassionate young prince caught up in plots and conspiracies that have thrown him headfirst into a battle that will ultimately decide the fate of his kingdom  The one who waits beyond your battles with powerful adversaries And the future that you and your allies so dearly desire  Character Creation The main character and hired characters Face graphics Battle voice Class can all be assigned andor changed by the player  Strategy Powerful melee and ranged attacks restorative and destructive magic Players can use their skills to the best of their abilities to execute strategies and achieve victory  Village Expansion Players can invest in the village that will serve as their base to research and develop new weapons and armor  Create powerful weapons that will give you an edge in battle  ClassAbility System Increasing your class level will allow you to take on higherlevel classes Equip up to three Abilities onto each character to ensure that youre sending your strongest possible party into the field  Special MovesCombo Attacks Save up SP to unleash a characters Special Move or pair them with another character to unleash a Combo Attack  A splendid cutin will mark the beginning of the end for your enemies,Missing,Missing,8.98,0.0,0.0,0.0,0.0,1.0
1409788800,61944,Binary Star,[46],[34],When she was seven years old what Sorano Fuu the protagonist saw in her living room were the lifeless bodies of her beloved parents who had died at the hands of an unknown culprit  Taken in by a group of people known as Tenshi Fuu asks them why her parents were killed One of the Tenshi said to the young Fuu Your parents were Dealers who are people that sell Hoshi That is why they were killed  Her parents were criminal vendors of the illegaltosell taboo Hoshi on a large scale This truth greatly troubled Fuu and so she made a vow  to atone for her deceased parents crimes  Now the 20yearold Fuu is a Tenshi who protects Akatsuki a town in Cloud  There was something she saw through the many missions she completed with her colleagues That something is their sad pasts all of which revolve around Hoshi  They are still bound by the past will they be able to break free of the curse of their pasts,When she was seven years old what Sorano Fuu the protagonist saw in her living room were the lifeless bodies of her beloved parents who had died at the hands of an unknown culprit  Taken in by a group of people known as Tenshi Fuu asks them why her parents were killed One of the Tenshi said to the young Fuu Your parents were Dealers who are people that sell Hoshi That is why they were killed  Her parents were criminal vendors of the illegaltosell taboo Hoshi on a large scale This truth greatly troubled Fuu and so she made a vow  to atone for her deceased parents crimes  Now the 20yearold Fuu is a Tenshi who protects Akatsuki a town in Cloud  There was something she saw through the many missions she completed with her colleagues That something is their sad pasts all of which revolve around Hoshi  They are still bound by the past will they be able to break free of the curse of their pasts,Missing,0.0,33.33,0.0,50.0,1.0,1.0
1411430400,61822,Disney Infinity: Marvel Super Heroes,[48],Missing,Disney Infinity 20 also known as Disney Infinity Marvel Super Heroes is an actionadventure sandbox toystolife video game developed by Avalanche Software and Heavy Iron Studios and published by Disney Interactive Studios The game features additional work by Studio Gobo and Ninja Theory It is the sequel and successor of the 2013 video game Disney Infinity  Featuring original story material by Brian Michael Bendis Marvel Super Heroes includes three plots and includes characters from both Marvel and Disney properties,Missing,Missing,nan,nan,nan,nan,nan,nan
