,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,[13],233301,Bento Fujiyama Tamagoyaki,[46],Missing,Missing,Missing,,,,,,
1,[25],218606,Spear of Destiny: The Kaiseki,[48],This fantastic ancient world has been Invaded by powerful enemies who rule in the dark Several centuries have passed since Lights Lords defeated them with the spear of destiny  Now monsters and orcs dominate these lands with complete freedom without anyone to confront them Only a remnant member of the Lights Lords believes in this ancient story he travels through different places in search the legendary spear of destiny  To liberty again this world of powerful enemies as their yours ancestors did several centuries ago The great and eternal epic battle begins,Missing,Missing,,,,,,
2,[5],168155,Call of Duty: Modern Warfare Remastered - Variety Map Pack,"[6, 48, 49]",The Variety Map Pack DLC for Call of Duty Modern Warfare Remastered includes four remastered multiplayer maps from the original game,Missing,Missing,,,,,,
3,[12],167115,Persona 5: Steelbook Edition,[48],Missing,Missing,Missing,,,,,,
4,[32],164637,Bendy and the Ink Machine: Chapter Two,"[6, 34, 39, 48, 49, 130]",Bendy is back Experience the heart pounding second chapter of Bendy and the Ink Machine,Missing,Missing,,,,,,
5,"[31, 34]",148655,A Clockwork Ley-Line: Kagerou ni Samayou Majo,"[46, 130]",A Clockwork LeyLine The Borderline of Dusk  In a mysterious school where day and night are two separate worlds a mismatched trio works to resolve magicrelated incidents  Michiru is a newly enrolled firstyear student at a boarding school with a notably large clock tower located deep in the mountains Unfortunately on his first day of school he gets caught up in some sudden trouble and accidentally breaks an expensivelooking statue  In order to compensate for the broken statue the principal orders him and the boy who caused the incident to work for the schools Bureau for the Investigation of Special Affairs  When they arrive at the Bureaus headquarters a room situated in the schools enormous underground library a girl is waiting for them there with an apathetic look on her face  The girl informs the confused pair of the situation Magic exists in this school  When the clock tower chimes the Realm of Night appears and merges with the school building The Bureaus job is to take care of the supernatural problems that arise And so Michiru struggles to protect the school from troublesome magical items known as Mists  A Clockwork LeyLine Zanei no Yoru ga Akeru Toki  Michiru and Ushio continue to spend their days solving problems at Tenbinruri Academy as part of the special investigation office otherwise known as Tokusa One day a foreign girl named Adelheid came to seek their help in looking for her grandmothers memento Along the way will they find out more about the link between the day and night worlds  A Clockwork LeyLine Asagiri ni Chiru Hana  This is the third game and finale of UnisonShift Blossoms magic mystery LeyLine series The night world crumbled and their students vanished Mitsuyoshi thought that the cause might have been a fire that happened at the school 20 years ago and began to investigate this incident in order to reunite with his friend Kotarou who had disappeared as a night school student Meanwhile the school principal who had also vanished secretly planned to bring back the night world from the other side All of the remaining mysteries of the school will finally be brought to light,Missing,Missing,,,,,,
6,[34],143444,Repkiss,"[46, 48]",Repkiss is a romantic visual novel,Souji moved back to his hometown and was excited at starting a new life there even though he was a bit saddened that it wasnt the same as before He went out to the convenience store to do some shopping after moving in and met a pretty girl at the entrance She called him Soukun a nickname which he hadnt heard in a long time and he realized that she was his childhood friend Kanade He was surprised by how beautifully she had grown up Their chance meeting spurred the revival of halfforgotten feelings,Missing,,,,,,
7,"[5, 31]",141038,Sniper Elite 4: Deathstorm Part 2 - Infiltration,"[6, 48, 49, 130]",The second of a 3 part minicampaign that takes place after the main games story,Missing,Missing,,,,,,
8,[34],140164,End Sleep,[46],Missing,Missing,Missing,,,,,,
9,"[2, 31]",127065,The Walking Dead: A New Frontier - Episode 4: Thicker Than Water,"[6, 34, 39, 48, 49]",When the community is threatened from within Javier manages unlikely alliances for the safety of his loved ones  Thicker Than Water retitled Episode 14 is the fourth episode of Telltale Games The Walking Dead A New Frontier,Missing,Missing,1.51,1.57,1.66,74.0,49.0,68.0
10,"[2, 31]",127039,Marvel's Guardians of the Galaxy: The Telltale Series - Episode 1: Tangled Up in Blue,"[6, 34, 39, 48, 49]",Marvels Guardians of the Galaxy The Telltale Series delivers a brand new story of the universes unlikeliest heroes the ragtag band of outlaws who go by the names StarLord Gamora Drax Rocket and Groot In the wake of an epic battle the Guardians discover an artifact of unspeakable power    From Earth to the Milano to Knowhere and beyond and set to the beat of awesome music this fivepart episodic series puts you in the rocketpowered boots of StarLord in an original Guardians adventure told in the unique and awardwinning Telltale style where your decisions and actions will drive the path of the story you experience,Missing,Missing,,,,,,
11,"[31, 32]",124810,The Final Station: The Only Traitor,"[3, 6, 14, 48, 49]",While the train is heading to the Final Station you are going on a road trip through the dying world with the ultimate goal of finding the last remaining shelter Youll discover new locations revisit familiar places encounter new dangerous enemies and find more clues about the mystery of Visitations,Missing,Missing,,,,,,
12,Missing,111649,Hana Saki Work Spring!,"[46, 48]",In the midst of spring the season of first encounters and love Yuuma was content to waste his time away However these dog days began to change with his chance meeting with the mysterious Inori the Yukionna of Suzugaoka Gakuen Soon after he was invited by Ayano to the ghost club which is actually not related to the occult but rather a gathering place for people with regrets He was made the new leader of the club despite his reluctance  Before long he was surrounded by peculiar girls left and right cool lone wolf Inori carefree repeater Ayano smitten kouhai Hikari and pushy bro Wakaba Who will he end up in this irreplaceable youth story,Missing,Missing,,,,,,
13,"[4, 33]",103848,ACA Neo Geo: Samurai Shodown IV,"[6, 39, 48, 49, 130]",Samurai Shodown IV is a fighting game released by SNK in 1996 Warriors with their own respective goalsspeculations will challenge Amakusa who has returned to life again and plans to conquer the modern world Attacks using the Anger Gauge can lead to unexpected outcomes and make battles even more intense,Missing,Missing,,,,,,
