,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[34],203814,Starry Sky: Winter Stories,[46],Starry Sky takes place at Seigatsu Gakuen a school which specializes in horoscopes astronomy and other related topics The main characters are all based on horoscopes  Starry Sky Winter features Kazuki Shiranui Aries Hayato Aozora Virgo and Tsubasa Amaha Aquarius,Starry Sky Winter Stories is a bundle of both Starry Sky Winter games,Missing,,,,,,
1,[13],187762,Firefighters: Plant Fire Department,[48],Missing,Missing,Missing,,,,,,
2,Missing,168781,LEGO Marvel Super Heroes 2: Classic Guardians of the Galaxy Character Pack,"[6, 14, 48, 49, 130]",Missing,Before StarLord Gamora Drax Rocket and Groot another team held the mantle of Guardians of the Galaxy Add the Classic Guardians Of The Galaxy to your roster now This Character pack includes Charlie27 Major Astro Martinex Yondu Starhawk Aleta Ogord and Nikki,Missing,,,,,,
3,"[12, 13, 31]",159336,"The Sims 4: Bundle - City Living, Vampires, Vintage Glamour Stuff","[6, 14, 48, 49]",Missing,Add more ways to play at a great price when you bundle Includes The Sims 4 City Living Expansion Pack The Sims 4 Vampires Game Pack and The Sims 4 Vintage Glamour Stuff Pack,Missing,,,,,,
4,"[4, 25]",154718,For Honor: Season 4 - Order & Havoc,"[6, 48, 49]",Missing,This season get ready for two new Heroes two new free Maps new gear and a brand new game mode just around the corner,Missing,,,,,,
5,[31],150905,Syberia 3: An Automaton with a Plan,"[6, 14, 48, 49]",Missing,Discover An Automaton with a Plan a new adventure that takes place in the enchanted world of Syberia 3 Play as Oscar the famous automat and unravel the mystery of Kate Walkers disappearance,Missing,,,,,,
6,[24],147317,Taiheiyou no Arashi: Shijou Saidai no Gekisen Normandy Koubousen,[46],Missing,Missing,Missing,,,,,,
7,[12],140841,.Hack//G.U. Vol. 4: Reconnection,"[6, 48]",Missing,New chapter included in hackGU Last Recode,Missing,2.79,2.88,3.05,79.0,23.0,24.0
8,[12],136818,"Dragon Quest X: 5,000-Nen no Tabiji Harukanaru Kyuuri he Online","[6, 41, 48, 130]",Missing,The third major expansion for Dragon Quest X online known among the community as Version 4,Missing,,,,,,
9,[34],136524,Chouchou Jiken Rhapsodic,[46],Everybody this girl is my younger sister Please get along with her Im sorry Because she has a very nice scent  Hey you have a really sweet smell Fufu when I touch you that sweet smell gets stronger  The 5th year of the Shouwa era 1930 A girl descends into the blossoming Yokohama a cosmopolitan town brimming with an exotic atmosphere  An aesthetic mystery delivered to you by 3 companies Aria Kodansha Red Entertainment and Otomate  Your scent will drive them wild  That look on your face Maybe youve met those guys already  Bad things will definitely happen,Chouchou Jiken Rhapsodic is an otome visual novel with both romance and drama elements,Missing,,,,,,
