,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,270606,PieceFall VR,[165],Missing,Missing,Missing,Missing,,,,,,
1,263934,Higurashi no Naku Koro ni Hou: Hinamizawa Teiryuujo,"[48, 130]",[34],A remade version of Outbreak that was initially included in the PC release of Hou with improved graphics and full voice acting,Missing,Missing,,,,,,
2,263932,Higurashi no Naku Koro ni Hou: Kamikashimashi-hen,"[48, 130]",[34],A remade version of Outbreak that was initially included in the PC release of Hou with improved graphics and full voice acting,Missing,Missing,,,,,,
3,263931,Higurashi no Naku Koro ni Hou: Outbreak,"[48, 130]",[34],A remade version of Outbreak that was initially included in the PC release of Hou with improved graphics and full voice acting,Missing,Missing,,,,,,
4,263930,Higurashi no Naku Koro ni Hou: Batsukoishi-hen,"[48, 130]",[34],An extra arc initially included as an epilogue to the original PC release of Meakashi where Keiichi Maebara loses several club games in a row the Soul Brothers help him regain his will to fight by imagining the other club members in perverted fantasies,Missing,Missing,,,,,,
5,251461,Higurashi no Naku Koro ni Hou,"[48, 130]","[26, 31, 34]",Higurashi no Naku Koro ni Hou is an expanded port of the 2014 collection with all nineteen console arcs the three Hou exclusive arcs Hajisarashihen and the Oyashiro Quiz,Missing,Missing,81.3,265.0,313.08,85.0,4.0,3.0
6,226822,Crossout: Corrida Pack,"[6, 48]",[10],This pack includes Unique armored car Corrida Weapons Cricket 1M Unique cabin Torero Unique hero portrait Jose Ortega Unique decor Muleta Wing Corno Destro Corno Sinistro Unique sticker Mad bull Unique paint can El Dorado Increases the maximum number of parts used to 551500 ingame coins,Missing,Missing,,,,,,
7,222778,No Man's Sky: Next,"[6, 48, 49]",Missing,Update 15 NEXT introduces a full multiplayer experience nearunlimited base building command of freighter armadas a graphical overhaul and more  This update marks the two year anniversary of No Mans Sky and a lot has changed Please see Atlas Rises Pathfinder and Foundation for previous major updates  This is an important next step on our journey,Missing,Missing,,,,,,
8,221879,Minecraft: Update Aquatic,"[3, 6, 9, 12, 14, 34, 39, 41, 46, 48, 49, 74, 130, 132, 388]","[13, 31]",Minecraft Update Aquatic is a major update to Minecraft that focuses on revamping the oceans in the game adding many new aquatic mobs blocks items and structures,Missing,Missing,,,,,,
9,178308,Lady in a Leotard With a Gun,"[6, 48, 49, 167]","[5, 31]",Short thirdperson shooter where you shoot all the enemies and go to the exit,Missing,Missing,0.86,0.0,1.17,10.0,2.0,5.0
10,175654,Loonies 8192,"[6, 7, 13, 14, 20, 24, 34, 37, 38, 39, 46, 82]",[9],A simple puzzle game where the goal is to match 2x2 blocks of the same color The sweeper will mark and remove matched blocks scores are awarded for matching as many blocks as possible per sweep This game is available for multiple platforms,Missing,Missing,,,,,,
11,168783,LEGO Marvel Super Heroes 2: Marvel's Ant-Man and the Wasp Level and Character Pack,"[6, 14, 48, 49, 130]","[9, 25, 31]",Download now to get access to the Marvels AntMan and the Wasp Character and Level Pack This actionpacked level takes AntMan and the Wasp to Hank Pyms forgotten research lab Players are tasked with battling Eggheads goons in an unforgettable adventure,Missing,Missing,,,,,,
