first_release_date,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1608854400,274887,M-PS2Craft,[8],MPS2Craft is an unofficial version of Minecraft for the PlayStation 2,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1608854400,267174,Carrion: Greatest Time of Year,"[3, 6, 14, 48, 49, 130, 167]",In honor of the December holidays developers Phogia Game Studio released a special holiday update for the monster game Carrion called the Greatest Time of the Year This update is free for players and features a brand new level for players to complete ingame This DLC level tasks players with taking the monster through a base that has been decorated for the holidays,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1608681600,256965,Genshin Impact: The Chalk Prince and the Dragon,"[6, 34, 39, 48]",Version 12 of Genshin Impact which included  New characters Albedo and Ganyu  New area Dragonspine  New story quests for Albedo and Ganyu  New main event The Chalk Prince and the Dragon  and more,"[12, 31]",This is Dragonspine an enormous mountain that holds the remains of the venomous dragon Durin who fell here after the battle with Dvalin Few adventurers dare attempt to conquer this unforgiving environment marked by deep snow sheer cold poisonous blood and monsters But such things will not dissuade the starfaring Traveler from journeying here,Missing,nan,nan,nan,nan,nan,nan
1607644800,249916,Sakeworld,"[34, 39, 48, 167]",Welcome to Sakeworld Treat the ladies nice and you will be rewarded Run and gun to get those weapons and ammo or youre done Punch your way out of a crowd and then empty your clip Throw a grenade or use a special attack to help keep a cool and level head Use the foreground and background to your advantage or you will get smoked Beat em up but be smart the Mysterious Dr Sake awaits Sakeworld is an alternate dimension so you know things are about to get weird Only you can set things right and clean up these streets,"[4, 25, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1607385600,243808,The Solitaire Conspiracy: Return of the Merry,"[6, 14, 130, 167, 169]",Missing,"[32, 35]",Missing,Missing,nan,nan,nan,nan,nan,nan
1607040000,243663,Madden NFL 21,"[167, 169]",Missing,[14],Missing,Missing,20.25,56.32,62.64,60.0,41.0,27.0
1608163200,234928,Generation Zero: US Weapons Pack,"[6, 48, 49]",Since the fateful day of the Cataclysm NATO and the USSR have each been closely monitoring the situation in Sweden raising their preparedness levels and weighing options  When proof was obtained that there were survivors hiding in multiple locations in Östertörn resolution Reaction Phase 1 was passed at NATO as an urgent temporary solution large quantities of standardissue weapons used in the American military were to be dropped all over Östertörn in order to offer immediate assistance and support to the various groups of survivors,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1607385600,221546,Final Fantasy XIV: Futures Rewritten,"[6, 48]",Patch 54 follows the Scions of the Seventh Dawn as they resume their adventures in the Source This patch also brings a conclusion to Ryne and Gaias journey in Edens Promise Other additions and refinements to the game include the next installment of the Sorrow of Werlyt quest series the new Explorer Mode and more,"[12, 31]",With Elidibus defeated and the fate of the First secured the Scions make their longawaited return to the Source But in the new future they now look towards will that which is written upon the pages of history be an anthem of hopeor a dirge of despair,Missing,4.35,6.49,0.0,82.0,15.0,17.0
1607385600,217531,Tom Clancy's The Division 2: Warlords of New York - Season 4: End of Watch,"[6, 48, 49, 170]",End of Watch is the fourth season in Tom Clancys The Division 2 This season includes the Faye Lau Manhunt four leagues four Global Events two Apparel Events and a new mission variant,"[5, 24]",Missing,Missing,nan,nan,nan,nan,nan,nan
1607558400,215436,Darts,[48],Darts is based on the classic 501 dart game starting with a score of 501 your goal is to 0 with the minimum number of dart throws and just like the classic game you can score doubles and triples There are 15 rounds and in each round you throw 3 darts the player to either reach 0 or has the lowest score wins the game  Play against family and friends or play against the computers smart artificial intelligence AI player either way winning wont come easy,[14],Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
