first_release_date,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1612310400,"[12, 31]",256967,Genshin Impact: All That Glitters,"[6, 34, 39, 48]",On this marvelous Lantern Rite we pray that the fallen heroes may be guided home Every single wish no matter how small is worth seeing to fruition We will finally reunite with those we long for on a dreamlike night,Version 13 of Genshin Impact which included  New characters Xiao and Hu Tao  New story quests for Xiao and Hu Tao  New world quest Bough Keeper Dainsleif  New main event Lantern Rite  and more,Missing,nan,nan,nan,nan,nan,nan
1613606400,Missing,229861,Blasphemous: Strife & Ruin,"[3, 6, 14, 48, 49, 130]",Missing,Join forces with Miriam from Bloodstained Ritual of the Night as you seek to solve the mystery of her summoning to the nightmarish lands of Cvstodia,Missing,2.53,3.42,0.0,68.0,6.0,6.0
1613433600,[12],228704,Assassin's Creed Valhalla: River Raids,"[6, 48, 49, 167, 169, 170]",It all starts with the construction of the River Incursions Dock where we recruit specific Jomsvikings for these navigations Vagn a darkskinned Viking is our guide in this expansion We chose one of the six rivers on the map to navigate and we went on the attack The new maps are all based on river systems which consist of a meandering main course with islands and interconnecting side channels Scattered along the banks of the river are civilian settlements military compounds monasteries and druid camps Each of these location types offers different challenges and rewards The maps are River Exe River Severn River Dee River Erriff River Berbha and my favorite the River Rhine its in France and it has a very big city I was impressed,River Raids is a free update for Assassins Creed Valhalla Released as part of Title Update 112 the update adds the replayable river raiding mode based on the existing raiding feature in the base game and introduces three distinct maps of rivers for players to explore namely the River Exe the River Severn and the River Dee The update also added new quests and a set of armor and weapon to obtain through the new map  An additional update in conjunction with the Ostara Season content added a second armor set to be obtained  A third update introducing the River Erriff the River Berbha and the River Rhine was released on 7 September 2021 featuring new questlines to obtain Lughs Spear and the Ulfberht Sword,Missing,nan,nan,nan,nan,nan,nan
1612569600,"[32, 33]",222913,Fromage,"[6, 7]",Missing,Fromage is a sandbox game engine for the PS1 inspired by the classic 2009 release of Minecraft developed between 2017 and 2019,Missing,nan,nan,nan,nan,nan,nan
1613520000,Missing,221636,No Man's Sky: Companions,"[6, 48, 49]",Missing,Adopt an alien creature and explore the universe sidebyside in the Companions update Take care of your new friend as they find hidden resources and protect you from hostile aliens or genetically modify their eggs and breed unique neverbeforeseen creations,Missing,nan,nan,nan,nan,nan,nan
1614211200,Missing,214514,Gods of Almagest,"[46, 48]",Missing,Gods of Almagest is a 2d3d shooterstrategy game it mix the action of a classic arcade shooter with the strategy of a table game as dots and boxes  There will be enemies with different shapes but the area bosses are 10 times bigger than the player spaceship every boss represent a constellation from the book Almagesto written by Ptolomeo,Missing,nan,nan,nan,nan,nan,nan
1613088000,[33],210695,Valentine Candy Break,"[6, 48]",Missing,Valentine Candy Break is an arcade game that lets the user break Valentine candy with a unique heart paddle and ball Unique animated candy levels Cupid MiniBosses and powerups to collect while you progress through the levels,Missing,nan,nan,nan,nan,nan,nan
1612396800,"[4, 12, 31]",198092,Werewolf: The Apocalypse - Earthblood Champion of Gaia Edition,"[6, 48, 49, 167, 169]",Missing,You are Cahal a powerful Garou who chose to go into exile after losing control of his destructive rage On his quest for redemption and blood Cahal plays a crucial role in the great war between the Garous and Endron a powerful oil company that serves the Wyrm whose destruction is ravaging the planet He can transform into a wolf and a Crinos a huge ferocious beast Each form has its advantages the wolf can sneak around undetected Cahal as a human can interact with other people and the Werewolf can unleash its rage to tear enemies apart  The Champion of Gaia edition includes  Full game  3 outfits for Cahal  4 exclusive furs for the Wolf and Werewolf  A nature spirit to help you in combat  A unique finishing move,Missing,nan,nan,nan,nan,nan,nan
1612396800,Missing,188150,Tanks vs Tanks,"[48, 167]",Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1613606400,Missing,187675,Run Little Hero,[48],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
