first_release_date,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1655942400,[9],263007,Echochrome,"[48, 167]",Missing,Missing,Missing,6.44,7.75,12.2,63.0,15.0,10.0
1655942400,Missing,254492,Sonic Origins: Premium Fun Pack,"[6, 48, 49, 130, 167, 169]",The Sonic Origins Premium Fun Pack features Hard Missions Letterbox Background Bonus Character Animations inmenu  music player and additional remastered music tracks,Missing,Missing,nan,nan,nan,nan,nan,nan
1655424000,"[13, 31]",254263,Minecraft: Lightyear,"[6, 34, 39, 48, 49, 130, 169]",Step into Buzz Lightyears shoes and journey to the far reaches of space in an actionfilled adventure to save your friends and crew from Zurgs evil plans With the help of your trusty Star Command gadgets and Space Ranger vehicles face the dangers on the alien planet TKani Prime and steer your spaceship to victory,Missing,Missing,nan,nan,nan,nan,nan,nan
1656374400,[8],243661,Fall Guys: Popping Whizzbanger Pack,"[6, 48, 49, 130, 167, 169]",Dazzle your opponents with this candied apple perfect for any sweettoothed stumbler  Bundle Includes Popping Whizzbanger Whole Costume 600 x ShowBucks,Missing,Missing,nan,nan,nan,nan,nan,nan
1655769600,[8],243660,Fall Guys: Starter Pack,"[6, 48, 49, 130, 167, 169]",New to the Blunderdome Grab two delectable costumes and 1000 ShowBucks to start in style,Missing,Missing,nan,nan,nan,nan,nan,nan
1655337600,[31],241760,Baldo: The Three Fairies,"[6, 48, 49, 130, 167, 169]",During a visit to his aunt in Forra a while before his main adventure in Guardian Owls Baldo finds himself in a quest to rescue three fairies and with their help stop a terrible evil that lurks in the shadows,Missing,Missing,nan,nan,nan,nan,nan,nan
1655769600,"[10, 13, 14]",239593,GRID Legends: Valentin’s Classic Car-Nage,"[6, 48, 49, 167, 169]",Buckle up and prepare for adrenalinefueled chaos as Demo Derbystyle game mode Classic CarNage smashes its way into GRID Legends to rewrite every racing rule Join Valentin Manzi played by Ncuti Gatwa to cause havoc and bash bumpers with your nemesis in GRID Legends epic new game mode With the packs 8 new Story Experiences 5 eclectic new Vehicles 4 new Tracks and 3 fresh Career Events youll have all you need to claim bragging rights and cause optimum carnage,Missing,Missing,2.18,4.0,10.0,50.0,3.0,8.0
1655942400,Missing,234937,Generation Zero: Base Warfare Starter Bundle,"[6, 48, 49]",The Generation Zero Base Warfare Starter Bundle includes the main game and five DLCs that gives you everything you need to fortify your base as well as expanding your arsenal with a wide range of new weapons,Missing,Missing,nan,nan,nan,nan,nan,nan
1655942400,[5],234919,Generation Zero: Tactical Equipment Pack,"[6, 48, 49]",The Resistance fighters have gotten craftier with their combat techniques trying out both established and improvised equipment for battle purposes This particular batch brings both explosive and defensive elements to the battle and can be crafted using materials collected across Östertörn Additionally a small amount has been put into your Plundra storage box for experimentation purposes So head out there and wreak some havoc,Missing,Missing,nan,nan,nan,nan,nan,nan
1655942400,"[5, 8, 31]",234733,Jumping Flash!,"[48, 167]",Experience Jumping Flash originally released on the PlayStation console enhanced with uprendering rewind quick save and custom video filters,Missing,Missing,1.61,2.17,2.22,68.0,64.0,67.0
1655942400,"[5, 33]",234021,Super Stardust Portable,"[48, 167]",Experience Super Stardust Portable originally released on the PSP system enhanced with uprendering rewind quick save and custom video filters  Defend five vulnerable planets from incoming danger as you explode into some manic shoot em up action Take out entire space fleets across two exciting game modes Arcade and Planet,Missing,Missing,nan,nan,nan,nan,nan,nan
1654128000,"[12, 31]",227890,Horizon Forbidden West: Major Update 1.14,"[48, 167]",This update includes the muchrequested New Game feature and Ultra Hard mode for those who want to challenge themselves further but also a host of qualityoflife features the transmog feature allows players to easily customize the cosmetics of their equipped outfit to look like any other owned outfit and with respec players are enabled to reset their skill points and redistribute them freely,Missing,Missing,nan,nan,nan,nan,nan,nan
1654560000,"[13, 31]",223161,Minecraft: The Wild Update,"[6, 34, 39, 48, 49, 130]",Minecraft The Wild Update is a major update to Minecraft Bedrock Edition themed around scary things and natural wilderness It introduces the deep dark and mangrove swamp biomes ancient cities mobs such as the allay the frog the tadpole and the warden as well as new items obtainable only in these new biomes,Missing,Missing,nan,nan,nan,nan,nan,nan
1655856000,"[5, 12, 13, 31]",222933,Chernobylite: Season 2 - Red Trees,"[6, 48, 49, 167, 169]",Dive into the free Red Trees update presenting 6 new story missions with Tatyana as a narrator and more Take on the VR Games roguelikeinspired challenge and face enemies in the fractal world with your equipment and skills assigned randomly In addition you can now improve your base with a postsoviet gaming station cosmetic item,Missing,Missing,nan,nan,nan,nan,nan,nan
1656374400,"[13, 15, 31, 32]",219930,Jumbo Airport Story,"[6, 34, 39, 48, 130]",Make your fledgling airport into a worldfamous international landmark jampacked with entertainment First build facilities such as Bistros and Bookstores to make visitors comfortable Satisfied customers make your airport more popular and will attract even more visitors But the bigger your airport gets the more tired visitors will be from walking around Still never fear Simply place seating like Benches and Sofas near facilities and visitors will be able to rest up,Missing,Missing,12.2,0.0,0.0,70.0,2.0,1.0
1655337600,"[4, 25]",217523,For Honor: Season 22 - Curse of the Scarab,"[6, 48, 49]",Includes Testing Grounds Justice of Pharaohs Seasonal Event Bolthorns Curse Raider Skin New Seasonal Customization and a new Battle Pass,In the aftermath of the Great Cataclysm the fearless Raider Bolthorn RavenHands embarked on a quest to restore his clans glory Long had his people known hardship and he journeyed to distant lands in search of treasure that might ease their suffering No prize was so great as the Scarab Bracelet The crowning jewel of a lost civilization the relics magic promised to fill Valkenheims tables with meat and mead once more And so Bolthorn betrayed a friend to steal it  On his return an odd sickness took hold of the Viking Fell omens seemed to stalk his every step Strange weather ravaged Valkenheim and the lands meagre harvest withered The phenomena spread across Heathmoor its people falling like grass before the scythe Doomed to deliver death rather than salvation Bolthorn tried to cast off the Scarab Bracelet to no avail It had found a new home,Missing,nan,nan,nan,nan,nan,nan
