first_release_date,id,name,platforms,storyline,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1681948800,274255,Ghostbusters: Spirits Unleashed - Free Update #2,"[6, 48, 49, 167, 169]",Strange activity reported over at the Sebastian C Yarborough County Courthouse has made it difficult to conduct legal proceedings It would seem that decades of dark activity and paranormal contact have made the courthouse a hotbed for ghostly activity,The second free update for Ghostbusters Spirits Unleashed added the SCY County Courthouse map the Possessor ghost type with 3 new ghosts Trap Minions that can be placed in objects or on the ground and Dredges that can be summoned to help distract the Busters  Alongside the general rebalancing and bug fixes it also added more customization options with new Gear Shells and cosmetics based on the Extreme Ghostbusters Cartoon series makeup styles with numerous color options shirt logos for compatible tops gear tints and new Ghostbuster cosmetics including footwear a skirt and kilt bottom,Missing,Missing,nan,nan,nan,nan,nan,nan
1680652800,259965,Try to Fit,"[48, 167]",Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1680825600,257831,Path of Exile: Crucible,"[6, 48, 49]",Missing,In Path of Exile Crucible youll learn about the ancient titans who once shaped the primordial surface of Wraeclast If youre powerful enough you will earn the ability to forge their power onto your weapons  Our April expansion introduces the Crucible challenge league nine new Vaal Skills Atlas Gateways over ten new Unique Items and improvements to Breach Abyss Passive Tree Masteries the Saboteur the Pathfinder Ruthless and much more,Missing,Missing,nan,nan,nan,nan,nan,nan
1681257600,257479,Genshin Impact: A Parade of Providence,"[6, 34, 39, 48, 167]",Joy and sorrow are constant companions to life and the endless flow of historys long river runs ever unceasing Life is but a journey with love and beauty as its salves and wisdom as its balm,Version 36 of Genshin Impact which included  New characters Baizhu and Kaveh  New areas Gavireh Lajavard and Realm of Farakhkert  New hangout events for Layla  New story quests for Baizhu and Nahida  New main event A Parade of Providence  and more,"[12, 31]",Missing,nan,nan,nan,nan,nan,nan
1680739200,254564,Guilty Gear: Strive - Additional Battle Stage: Fairy's Forest Factory,"[6, 48, 49, 167, 169]",Missing,The additional battle stage Fairys Forest Factory becomes selectable ingame,[4],Missing,nan,nan,nan,nan,nan,nan
1680739200,250309,Guilty Gear: Strive - Additional Character 8: Bedman?,"[6, 48, 49, 167, 169]",The bed can continue to act independently after Bedmans death due to the program he entered in his last moments Delilah recovers it after it plays a part in stopping her when she loses control It mainly takes action to protect Delilah Although capable of simple communication complex conversation taking the other party into consideration and storage of daily memories is out of the scope of its abilities,Adds Bedman to the roster of playable characters,[4],Missing,nan,nan,nan,nan,nan,nan
1681948800,248600,DC Universe Online: Episode 45 - Shock to the System,"[6, 48, 49, 130]",Missing,Shock to the System is tier 6 playable content that contains the open world Dakota City the duo Shock Abandoned Subway the alert Shock MetaTherapy Clinic and the raid Shock The Terrorium,[12],Missing,nan,nan,nan,nan,nan,nan
1680652800,248094,Infernax: Deux or Die,"[6, 48, 49, 169]",Missing,The update will bring a new playable character into the fray Cervul the Squire a wellrounded lad who sports deadly talents in both axe throwing and toolassisted combat  It also incorporates coop play in Infernaxs fanfavorite gun mode perfect for players keen on wielding maximum firepower against the games monstrous beasts,"[8, 12, 31, 32, 33]",Missing,nan,nan,nan,nan,nan,nan
1680566400,248093,Meet Your Maker: Scorched Necropolis,"[6, 48, 49, 167, 169]",Missing,Meet Your Makers Scorched Necropolis Collection invites players to build and raid Outposts worthy of the Pharaohs themselves Use ancientEgyptianinspired blocks props weapons and Custodian Suits to create and infiltrate monumental tombs unlike any in the wasteland,"[5, 15, 24]",Missing,nan,nan,nan,nan,nan,nan
1682553600,247653,Chef,"[48, 130]",Missing,Chef is a fun easy to play tycoon cooking game with 48 levels to complete  The aim of the game is to prepare and serve the customers their orders You will need to be quick  efficient and most importantly accurate wrongly created orders go into the bin losing you money and serving a customer too slow will lose you much needed income  In low levels this may not be a deal breaker but pretty soon it will get very challenging as you advance your career and move to higher levels,"[9, 13, 33]",Missing,nan,nan,nan,nan,nan,nan
1682640000,247441,Unalive 010,"[6, 48, 130]",Missing,Welcome to the captivating world of Unalive  a game where the hero must battle fierce monsters using their shooting skills You will navigate randomly generated room labyrinths and face challenging bosses while mysterious events unfold throughout the game Be prepared for unpredictable challenges and tests at every turn creating an immersive atmosphere that draws the player deeper into the worlds mysteries and enigmas Will you be able to unravel all the secrets of Unalive Only time will tell,"[5, 12, 31, 32]",Missing,nan,nan,nan,nan,nan,nan
1682553600,247421,Arcade Archives: Galaga '88,"[48, 130]",Missing,Win the decisive battle in a massive galactic war,"[5, 33]",Missing,nan,nan,nan,nan,nan,nan
1682380800,247140,TramSim: Console Edition,"[48, 167, 169]",Missing,Urban Transport comes to life in TramSim Console Edition Experience photorealism in two European cities Vienna  Munich no matter where you are in the world and drive realistic trams on a variety of lines Run to the timetable and face unique challenges there is gameplay for every taste,[13],Missing,nan,nan,nan,nan,nan,nan
1682380800,247139,TramSim: Console Edition - Deluxe,"[48, 167, 169]",Missing,Urban Transport comes to life in TramSim Console Edition  Deluxe Experience more with Munich and Vienna including additional content for the city of Vienna the ULF Type Tram and the detailed Vienna Depot Run to the timetable and face unique challenges there is gameplay for every taste,Missing,Missing,nan,nan,nan,nan,nan,nan
1681776000,246901,PowerWash Simulator: The Muckingham Files,"[6, 48, 49, 130, 167, 169]",Missing,The Muckingham Files will take you to neverbeforeseen places from the original universe of the base game with new characters locations and stories Get to know more about your stomping ground and its inhabitants as the most indemand power washer in town,Missing,Missing,nan,nan,nan,nan,nan,nan
1681862400,246892,B Cannon,[48],Missing,B Cannon is a fastpaced onebutton game  You are moving around the screen and can reverse your direction by pressing a button Your goal is to shoot the circles that are bouncing around You aim automatically and shoot at the current aim position Hold a button to shoot The circles break up into smaller ones and you have to shoot them until they can no longer be broken down  The game is over when you touch any circle,[33],Missing,nan,nan,nan,nan,nan,nan
1682553600,246880,Cyber Neon Bundle,"[48, 130]",Missing,Step into the neonsoaked world of Cyber Vibes with Cyber Neon Bundle  where youll hunt slash and survive your way to victory in two adrenalinefueled games Cyber Neon Bundle is a collection of two cyber theme games Cyberhunt and Razortron 2000 Both are frenetic action games where youll use your skills to win everything,"[10, 33]",Missing,nan,nan,nan,nan,nan,nan
1681948800,246874,Arcade Archives: Cosmo Gang The Video,"[48, 130]",Missing,Clear the stage by defeating all the Cozmo Gangs in the Gang If you hit the enemys attack you will lose one Hyper Beat and if you lose everything the game will be over,[33],Missing,nan,nan,nan,nan,nan,nan
1682640000,246648,Amaze!,"[48, 130]",Missing,Lets pop  move the ball and paint  youve got to color and paint your way across the AMAZE maze puzzles  Watch out AMAZE gets harder as you play color and paint the maze and fill in puzzles  Painting the maze puzzles sounds easy but you have to be super strategic to color and fill every square,"[9, 15]",Missing,0.71,0.0,0.0,0.0,0.0,2.0
