,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
0,"[12, 13, 31, 32]",275677,Bem Feito,"[6, 48, 49, 130, 167, 169]",Bem Feito is a Life Sim where players follow Reginaldo a charming and almost silent protagonist Reginaldos simple life revolves around his daily household tasks captivating friends and perhaps unexpected choices that subtly shape the course of the game,Missing,1.5,1.75,2.25,90.0,2.0,4.0
1,[33],275201,DarkGems,[48],DarkGems is a cartoony mining roguelite game set in the deep gemstone caverns Journey through three randomly generated map kinds filled with zombies ghosts and demons Keep an eye on your rapidly ending energy supply  one cannot survive in the dark dungeon without a light,Missing,,,,,,
2,"[5, 12, 15]",275141,Fortnite: Chapter 4 - Season OG,"[6, 34, 48, 49, 130, 167, 169]",Drop in the original Island once again in Fortnite Battle Royale Chapter 4 Season OG Throughout Fortnite OG each major update will bring a different phase of Battle Royales past starting with Chapter 1 Season 5 That means Shopping Carts ATKs the Assault Rifle Pump Shotgun and more in both Battle Royale and Zero Build  Go back in time Season by Season Some of the unvaulted gear in each update will remain for that update be in more than one update or stay for the rest of Fortnite OG,Missing,,,,,,
3,"[5, 33]",274896,Arcade Archives: Daioh,"[48, 130]",Enemy down Enemy down Take them all down,Missing,,,,,,
4,"[12, 16]",274834,Honkai: Star Rail - The Crepuscule Zone,"[6, 34, 39, 167]",Version 15 of Honkai Star Rail which includes  New characters Huohuo Argenti and Hanya  New area Fyxestroll Garden  New trailblaze mission  New companion mission for Argenti  Simulated Universe update World 8 and new enemies  New main event A Foxian Tale of the Haunted  and more,Greet an envoy of wraiths and guests of a stranger nature While sailing across a firmament enshadowed by night the unseen and eerie will descend between lapses of expectation,,,,,,
5,"[12, 31]",274832,Remnant II: The Awakened King,"[6, 167, 169]",The One True King has awakened and is out for blood Corrupted by the Root during his neardeath slumber the mad king sees betrayal at every turn and is on a rampage of revenge,Missing,,,,,,
6,[31],274738,Whispered Flight,[48],Embark upon a whimsical voyage as a radiant sphere of luminescence gracefully soaring over the placid waters of a lake cradled within the ancient boughs of a mystical woodland In pursuit of ethereal lumens gather your scores under the watchful eyes of the stars whilst evading the malevolent dark skulls seeking to quench your luminous essence With a trinity of cherished lives navigate through the verdant whispers of the old trees to the gentle cadence of tranquility that accompanies your flight Delight in the quaint animated tapestry of natures hues as you partake in a casual contest of valor with fellow wanderers upon the leaderboard in this gentle ballet of light against the encroaching shadow,Missing,,,,,,
7,"[12, 31]",273864,Genshin Impact: Masquerade of the Guilty,"[6, 34, 39, 48, 167]",Version 42 of Genshin Impact which includes  New characters Furina and Charlotte  New areas Erinnyes Forest and Morte Region  New main story quests Chapter IV Act V  Masquerade of the Guilty  New story quest for Furina  New main event Thelxies Fantastic Adventures  and more,Now that my magic is spent please O judge lift the chains from my soul Never again consign me to dance alone upon this lonely isle My last glimmer of hope I offer up to you,,,,,,
8,"[13, 31]",272800,Minecraft: Star Wars - Path of the Jedi,"[6, 34, 39, 48, 49, 167, 169]",For Minecraft players who want to experience the thrill of being a Jedi Knight Minecraft Star Wars Path of the Jedi offers an immersive experience that lets you train as a padawan battle monsters duel other Jedi and master the force Support the Jedi council during the clone wars and join on a special mission with Yoda to uncover the mysteries of an uncharted planet The experience is complete with your droid companion by your side and lightsaber at the ready,Missing,,,,,,
9,Missing,271400,The Silent Swan: Rising in the Mist Edition,[167],Missing,Missing,,,,,,
