first_release_date,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
828230400,267526,The Appointed Station,[7],Net Yaroze shooting game,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
828230400,267523,Unread,[7],Net Yaroze shooting game,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
828057600,166549,Daisenryaku: Players's Spirit,[7],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
826243200,166396,Sotsugyou R: Graduation Real,"[7, 274]",Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
827971200,159155,Mobile Suit Gundam Version 2.0,[7],Mobile Suit Gundam 20 is an upgraded doover of the previous PlayStation game based on the original animes storyline Mobile Suit Gundam This version retains the same storyline firstperson cockpit perspective and control scheme but has upgraded the experience across the board 3D objects now appear in stages which are newly designed,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
827452800,133238,Choro Q,[7],The first in the Choro Q series of racing games Released on the original Sony PlayStation in 1996 known as Penny Racers in Europe,[10],Missing,Missing,0.0,0.0,0.0,40.0,1.0,0.0
828057600,106285,NuPa,[7],Just like Picross use the numbers as hints to complete the picture Expresses a unique worldview through exquisite performances featuring movies of futuristic images and game narration by voice actors,[31],Missing,Missing,nan,nan,nan,nan,nan,nan
828057600,83284,Gradius Deluxe Pack,"[6, 7, 32]",Gradius and Gradius II on a single disc,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
828057600,80267,Asuka 120% Special Burning Fest.,[7],Special Burning Fest marks the first time the Asuka 120 series appeared on the PlayStation,[4],Missing,Missing,nan,nan,nan,nan,nan,nan
827452800,61245,Hyper Final Match Tennis,[7],Hyper Final Match Tennis is the final installment of the Final Match Tennis series and the only one to be released outside of Japan,[14],Missing,Missing,nan,nan,nan,nan,nan,nan
827452800,60977,Meltylancer: Ginga Shoujo Keisatsu 2086,[7],Training simulation game where the player is given control of the Galaxy Police Organizations all female Meltylancer unit and charged with training them to handle challenges ahead,[31],Missing,Missing,nan,nan,nan,nan,nan,nan
826243200,45457,Bishoujo Senshi Sailor Moon SuperS: Shin Shuyaku Soudatsusen,"[7, 32]",Bishoujo Senshi Sailor Moon SuperS Various Emotion is a 1996 Fighting video game developed and published by Angel for the PlayStation and Sega Saturn It is based upon Naoko Takeuchis Sailor Moon shōjo manga and anime series Loosely following the fourth season of the anime series which adapted the fourth arc of the manga1 the players control either one of the five original Inner Senshi or one of the four Outer Senshi as they enter a tournament to fight against each other and become the winning victor The game was created by most of the same team who worked on previously released fighting titles in the Sailor Moon franchise for the Super Famicom at Angel,[4],Missing,Missing,nan,nan,nan,nan,nan,nan
827452800,45431,Air Management '96,"[7, 32]",Missing,[13],Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
827452800,44808,Ganbare Goemon: Uchuu Kaizoku Akogingu,[7],Ganbare Goemon Uchuu Kaizoku Akogingu is a Ganbare Goemon game released for the PlayStation on March 22 1996  One night Goemon awakens from his sleep to some huge noise so he and Ebisumaru decide to go and investigate The pair find out that its an alien and that Edos being invaded  This is the first Goemon game since Sasuke and Yaes appearance as playable characters that doesnt include either on the playable roster Instead they are replaced by the new characters Goroku and Baban Although Sasuke and Yae are playable characters again in most future games and Goroku and Baban are never seen mentioned or heard from again after this game Its unknown why they never appear again but it is assumed that many fans were upset over Sasuke and Yae being replaced  Gameplay is rather similar to Ganbare Goemon 3 as theres a main map in topdown perspective which leads to various 2D sidescrolling levels,[31],Missing,Missing,0.0,6.47,0.0,70.0,1.0,1.0
826848000,44762,Fire Pro Wrestling: Iron Slam '96,[7],Fight in exciting battle with a roster of 10 powerful grapplers as Fire Pro wrestling comes to life in real 3D Enhanced soundtrack better moves greatest action Fire Pro Wrestling has never felt so good,"[4, 14]",Missing,Missing,nan,nan,nan,nan,nan,nan
827539200,43796,Expert,"[7, 9, 38, 46]",Uncover the truth of the incident that struck the intelligent building that has been occupied by the terrorists as a member of the Expert Special Forces  3D gun shooting game that captures the action in a first person perspective Explore the building freely but be careful and take out the enemy before they take you out,"[5, 9]",Missing,Missing,nan,nan,nan,nan,nan,nan
828057600,43727,Tetris X,[7],Tetris X is a tetris game with 2 game modes Battle  Classic mode In the battle mode you can play up against 3 human players or against the computer,[9],Missing,Missing,nan,nan,nan,nan,nan,nan
828057600,20596,Killing Zone,[7],In a mythical realm in some unheard of dimension all of the worlds greatest monsters and mythological creatures have gathered to battle it out through this oneonone 3D fighting game Frankenstein Medusa Wolfman the Minotaur and a halfdozen others join this cast of classic monsters  Fighting mechanics mix elements from both Street Fighter II and Virtua Fighter with directional combinations and buttontap sequences used for all of the special moves,[4],Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
825984000,4292,Olympic Soccer,"[7, 32, 50]",While the soccer tournament is often downplayed not only inside the Olympic movement but also by the soccerfollowing community in 1996 by the occasion of the Games of the XXVI Olympiad in Atlanta US Gold decided to release a game representing the tournament,[14],Missing,Missing,nan,nan,nan,nan,nan,nan
828230400,1483,Salamander 2,"[7, 32, 52]",Like the original Salamander and as opposed to the Life Force releases Salamander 2 abandons the selectionbar based powerup system in favor for a simplified system that focuses on powering weapons up based on specific icons For example the player cannot increase his ship speed until a speed icon is picked up additional speed icons further increase the ship velocity  Several weapons when additionally upgraded turn into a super weapon for approximately ten seconds If the player has the ripple laser and then gets another icon for it the player will receive the highpowered Buster ripple for a short period of time Options have been slightly changed with the arrival of option seeds which are small options that orbit the ship firing only the basic initial shot Two option seeds can combine into one full option Moreover options can also be sacrificed to utilize a shortterm homing beam weapon  Several enemy bosses typical to Gradius games return including the Brain Golem the first level boss and the Tetran the second level boss There are a total of six levels Since the game is similar to its prequel Salamander 2 does not use the Revival Start feature from Gradius which pushes the player back to a predetermined checkpoint if a life is lost many people consider this title to be easier than other titles in the Gradius series due to this Once the game has been completed it starts its secondloop at a much higher difficulty The music is also changed to remixed versions of Salamanders music in some stages The first players ship is called Vic Viper while the second players ship is Super Cobra,[5],Missing,Missing,0.41,0.0,0.0,63.0,4.0,3.0
828057600,2968,Dragon Force,"[9, 32]",Step forth brave warrior The destiny of the world of Legendra lies solely in your hands Play as one of eight warlords each with a unique storyline to conquer the evil forces of Madruk in this incredible role playingstrategy game,"[11, 12, 15, 24]",87.51065251284659,Missing,29.78,30.44,32.5,84.0,13.0,12.0
