first_release_date,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
869097600,"[12, 35]",263672,Kaibutsu Para-Dice,[7],Kaibutsu ParaDice  Monster Paradise put the player in the role of a treasure hunter that goes to Charles the Pudding the 13th also known as the Monster Paradise for the monsters that guard them and try to get the treasure that are inside it  The gameplay is the classic board game with 4 different characters to choose from 3 male and one female one,A RolePlaying game developed and published by Make which was released in Japan in 1997,Missing,nan,nan,nan,nan,nan,nan
870307200,"[12, 15, 24]",261299,Shinseiden Megaseed: Fukkatsu-hen,[7],When small meteorites fall to earth some people gain the ability to mutate using the megaseed And the main character Yuuki have to defeat the organization called Gene To do that he will have the help of different characters that will join him during the story,Shinseiden Megaseed Fukkatsuhen is a Strategy game developed by Japan Media Programming and published by Banpresto which was released in Japan in 1997,Missing,0.0,0.0,0.0,0.0,0.0,0.0
869097600,"[15, 24]",214456,Syndicate Wars,"[7, 9, 38]",Missing,The PlayStation port features a different introduction cutscene and some differences in certain levels The ability to research specific items does not exist in hits port instead new items are being made available in a fixed order following mission completions,Missing,15.0,17.36,24.78,70.0,8.0,8.0
869097600,"[2, 9, 31]",178158,Clock Tower: The First Fear,"[7, 9, 38, 46]",Missing,Jennifer and her friends are adopted by a nice lady named Mary one day They expect to be going to a wonderful new home at the Barrows Mansion There they will live with Mary and Mr Barrows Unfortunately something goes terribly wrong and Jennifers friends are showing up dead one by one While this is happening Mary is missing and Jennifer ends up being chased by a crazed psychopath known only asScissorman  Now she must survive and get out of the mansion in this pointandclick horror adventure Being a teenage girl you have no special abilities at all just your wits and your will to survive there are a few enemies that can kill you instantly but Scissorman is the true horror that will give you trouble,Missing,nan,nan,nan,nan,nan,nan
869702400,[5],176718,Out Live: Be Eliminate Yesterday,[7],Missing,Out Live Be Eliminate Yesterday takes place in a far future after a war of 100 years that finally finished and some ancient ruins had been discovered The game begins when the players character is being arrested by members of the imperial army and receive the mission of helping Alice the daughter of the general of the Imperial Army since she is a member of the archeologic team that is studying the ruins  They will begin to try to find clues from the past that will help them to discover the mystery that happens in the present  The gameplay of the game is a first person robot action game similar to other first person shooters a lot repetitive special with the lack of different enemies and backgrounds,Missing,nan,nan,nan,nan,nan,nan
870307200,[34],138995,Hatsukoi Valentine,"[6, 7, 9]",Missing,A visual novel where the games goal is to get a date for valentines day,Missing,nan,nan,nan,nan,nan,nan
870307200,[12],130357,Treasure Gear,[7],Missing,Treasure Gear is a RolePlaying game developed by ADK and published by MiraiSoft which was released in Japan in 1997,Missing,0.0,0.0,0.0,0.0,0.0,0.0
867888000,"[12, 24]",123291,Angel Blade: Neo Tokyo Guardians,[7],Missing,Angel Blade Neo Tokyo Guardians is a Tactical RPG game based on the OVA of the same name developed by Nippon Ichi Software which was released in Japan in 1997,Missing,nan,nan,nan,nan,nan,nan
868492800,[34],108754,Tokimeki Memorial Drama Series Vol. 1: Nijiiro no Seishun,"[7, 32]",Missing,Tokimeki Memorial Drama Series vol 1 Nijiro no Seishun is a visual novel spinoff game of the original Tokimeki Memorial Nijiiro no Seishun features Saki Nijino who cheers the player on as they spend the game trying to make it on the school soccer teams main lineup,Missing,nan,nan,nan,nan,nan,nan
869788800,"[12, 24]",71895,Slayers Royal,"[7, 32]",Slayers Royal is notable for bringing together Naga the Serpent Lina Inverses companion in the prequel stories with Gourry Gabriev Amelia Wil Tesla Seyruun and Zelgadis Greywords Linas companions in the main storyline at once for the first time In the games storyline Lina Gourry and Naga encounter an elf boy named Lark ラークの being attacked by the mazoku demons After rescuing him they find that the mazoku have kidnapped Larks sister in order to gain an ancient amulet that is now in hands of Lark Eventually they discover the real power of this legendary relic with it the mazoku can resurrect the demon king RubyEye Shabranigdu and destroy the world,Slayers Royal is a tactical RPG featuring characters from the novel  manga  anime Slayers It brings together for the first time Naga and Linas companions who never meet in the animated series,Missing,0.0,8.83,0.0,50.0,1.0,1.0
869097600,[12],70904,Ridegear Guybrave,[7],Missing,3D action game for Playstation,Missing,0.0,0.0,0.0,0.0,0.0,0.0
869702400,[8],68898,Chou-Kousoku Grandoll,[7],Missing,Platform game based on the anime OVA,Missing,0.0,0.0,0.0,0.0,0.0,0.0
870307200,"[12, 16]",66015,Arc Arena: Monster Tournament,[7],Missing,A PlayStation spinoff of the Arc the Lad series,Missing,8.22,0.0,0.0,0.0,0.0,1.0
869097600,[4],61162,Virtual Hiryuu no Ken,[7],Missing,Virtual Hiryu no Ken is an entry in the Flying Dragon series for PlayStation,Missing,nan,nan,nan,nan,nan,nan
870220800,"[10, 13, 14]",50210,International Rally Championship,"[6, 7]",Missing,International Rally Championship is a rally computer game which is part of the Rally Championship series The game was released for Windows in 30 June 1997 It is developed by Magnetic Fields and published by Europress Several different front covers were released for the game The game is a sequel to the 1996 version of Network Q RAC Rally Championship It would in turn be succeeded in 1999 by Mobil 1 Rally Championship,Missing,0.0,0.0,0.0,0.0,0.0,0.0
869961600,[12],47587,Shinsetsu Samurai Spirits: Bushidou Retsuden,"[7, 32, 136]",Missing,So the story begins  Its Eighteen century in Japan its a peaceful region The word peaceful are only applied to the social status not the heart of the human The greed like the diseases is spreading through the human heart The devil within had awaken And worse the devil below is risen,Missing,0.0,0.0,0.0,60.0,1.0,0.0
869097600,[2],45404,Cat the Ripper: 13-ninme no Tanteishi,"[6, 7, 32]",Missing,Cat the Ripper is a Japan exclusive horror adventure game for the Sega Saturn and PSX,Missing,nan,nan,nan,nan,nan,nan
869184000,"[13, 15, 34]",45394,Yuukyuu Gensoukyoku,"[7, 32]",Missing,Yuukyuu Gensoukyoku is a 1997 simulation game by Starlight Marry and had several sequels on the Saturn and PlayStation  Enfield a country revived 50 years after a tragic war Our protagonist works in a general shop owned by a widow called Arisa who helped him when he was lost After Arisa has to pay a great fee to free the hero from prison for a crime he didnt commit our hero will have two problems to solve how will he pay back Arisa And whos the real criminal Maybe hell find the answers by becoming part of the town,Missing,nan,nan,nan,nan,nan,nan
870220800,"[10, 14]",44930,VMX Racing,[7],Missing,The first motocross game on PlayStation VMX Racing features eight 125cc and 250cc bikes competing in four singleplayer circuits Enduro National Supercross and Full After selecting a bike each individually rated in acceleration braking throttle and speed youll compete on one of six courses against seven computercontrolled riders    Earn points by performing an assortment of stunts or by achieving a firstplace finish VMX Racing also includes headtohead racing against a friend on either a horizontal or vertical splitscreen display,Missing,nan,nan,nan,nan,nan,nan
869961600,"[14, 15]",44817,Pro Wrestling Sengokuden,[7],Missing,Finally the unorthodox wrestling simulation game has arrived Establish yourself as the strongest in the organization and elevate yourself to become the new myth of pro wrestling,Missing,nan,nan,nan,nan,nan,nan
870307200,"[4, 14]",44778,Hajime no Ippo: The Fighting!,[7],Missing,This game is based on the boxing Manga and Anime series Hajime no Ippo created by Jyoji George Morikawa It was released only in Japan  The story focuses heavily on character development even during the matches something is learned about the fighters Ippo and his friendly rivalry with Miyata is the main draw in the early part of the series That later changes to Ippos path towards the Japanese Featherweight Championship and eventually the world championship Along the way we are given glimpses into the other side characters pasts motivations relationships to others and current boxing trials  This is a simulation game in which the player choose what training wants the boxer to do each month and then watch him fighting,Missing,0.0,0.0,0.0,0.0,0.0,0.0
867888000,[25],41408,Mad Stalker: Full Metal Force,[7],2142 AD Artemis City People were about to forget all those disasters A war ship probably built during the late war time was discovered by the military There were a few hundred SlaveGears aboard the war ship and were to be put under the control Under the intention of the ruling government in power Two SlaveGears were put under the management of the police for the purpose of experimental use These two models were named Hound Dog and Rising Dog The manned test of Hound Dog The main computer Omega of the war ship stored within the premises of military facilities suddenly began operations Omega conducted network access through military channels Omega froze all functions of Artemis City and gave a command to the SlaveGear to put the entire city under control Exterminate the enemy Rising Dog which had not yet been modified for manned use also had started operations under the command of Omega The research facilities were destroyed and one SlaveGear disappeared into the city The police had recognized the emergency of Artemis and had begun operations for settlement Code name Hound Dog Alert Terminate all tests immediately and join with the forces in the city Repeating,Mad Stalker Full Metal Force is a PS1 remake of Mad Stalker Full Metal Forth It adapts the system so its closer to Panzer Bandit also released by FillIn Cafe in the same year With the revamped controls the action is much much smoother Like Panzer Bandit theres an auto guard when the controls are left in neutral and you can also deflect enemy attacks by hitting them at the same time Dashing and boost jumping have been assigned their own separate buttons too A few other things have been added as well like an overdrive power gauge that can be discharged for more powerful maneuvers Enemies also regularly drop health restoratives whereas the previous versions only provided them at certain points in the stages  The sprites here are all the same but the backgrounds are now 3D and look entirely different Despite the visual makeover however the stages and bosses are all still pretty similar The music has been rearranged though with some tracks taken from a Mad Stalker soundtrack album released alongside the X68k game in 1994,Missing,0.67,0.0,0.0,71.0,4.0,5.0
867801600,[5],39691,G-Darius,"[6, 7, 48, 52, 130]",The Green Globe Amnelia the Green Mother Planet In the vastness of universe  The life born on that planet became civilized fought and was at risk of extinction But the war ended with the appearance of a man That mans name was Amnelia People honored their own planet with his name but no one noticed the presence of the power which led him to become a savior  And time passed  Amnelias royalty held a mysterious power for generations and Amnelias 21st king Brezza was no exception A king and genius scientist he got immersed on his research for new energy sources Amnelia used a energy generated from the soil called Kaju but since Kaju was responsible for the flourish of green trees which could be called the life of Amnelia it was not a infinite energy source and that had become a serious problem  In Amnelian year 547 King Brezza finally found a way to produce the ultimate energy source Amnelias energy crisis was completely solved Soon our mother planet will be unable to sustain our prosperity When that day comes I promise to give everyone a new Earth  People began to emigrate to Amnelias satellite Blazar and 50 years have passed It is an era where humankind seems to have mastered peace  However the same mistake from 600 years ago was about to repeat itself,GDarius is a shootem up arcade game released by Taito in 1997 It is the fourth arcade installment of the Darius series and the first in the entire series to feature threedimensional polygonal graphics Much like previous installments in the Darius series GDarius is a twodimensional horizontally scrolling shootem up set in a fictional future,Missing,0.65,1.89,4.0,74.0,19.0,23.0
869097600,"[13, 14]",36665,Hot Shots Golf,[7],Missing,Everybodys Golf known in Japan as Minna no Golf is the first game in the Everybodys Golf series The North American release was renamed Hot Shots Golf It was the only game in the series to be developed by Camelot Software Planning which later developed the Mario Golf series,Missing,5.8,0.0,11.5,75.0,9.0,7.0
868233600,"[9, 31]",20810,Swagman,"[7, 32]",Missing,That Swagman sure has a lot of nerve Hes another evil demented fellow whos planning to take over the world for his own personal gain And this guy means business You see hes basically a boogieman who has the power to entrap people in their own nightmares forever Fortunately there are two brave souls out there ready to fight Swagman face to face Their names are Zac and Hannah two 8 year old twins  Swagman is a combination of the platform and adventure genre While in the Real World the game is adventurelike find and collect items andor keys to open certain doors When you enter the dream sequences called the Territories the game becomes a platform game The combination of genres and the whole real worlddream world is a neat idea and throw in some nice cartoonish and highly colorful graphics and youve got a nifty little game,Missing,5.85,7.0,7.96,70.0,3.0,6.0
