,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[4, 33]",182485,Dead or Alive 3++,[11],The hero ninja Ryu Hayabusa put a stop to the evil doings of Tengu but it was too late to stop him from triggering a massive worldwide collapse A dense cloud covered the entire planet in a shroud of darkness and fear DOATEC has gone astray turning into the hunting grounds for powerhungry scam artists  This is when DOATECs development department a fortress for stateoftheart military technology witnesses the success of a genius Following Project Alpha and Project Epsilon the ever ambitious scientist Dr Victor Donovan completes the Omega Project producing a new superhuman Genra The man who was once leader of the Hajin Mon ninja of the Mugen Tenshin clan is no longer human but a force of singular and unprecedented capabilities known as Omega To test the subject Omegas skills DOATEC announced the third Dead or Alive World Combat Championship,Dead or Alive 3 was released as a rebalanced version of Dead or Alive 3 for the original Xbox game system It features various system and character balances from the previous three versions of Dead or Alive 3 Some minor tweaks have been added to the game system in the form of a fourway hold system unrestricted 3Daxis movement and less emphasis on the critical stun system Some attack commands for characters are updated The tag team system introduced in the previous game was also updated Tag Battle was made available during the games Time Attack and Survival modes A new feature called Attack Change was added allowing the character tagging in to attack while switching in The Tag Throws command was made a bit easier to activate By default the game utilizes the Xbox controllers analog face buttons making the controls lenient to allow players new to the series to adapt to gameplay players have the option to turn the analog buttons on or off As with previous entries in the series it took advantage of the Xbox systems power to push the range of the graphics and stage sizes farther than Dead or Alive 2,Missing,,,,,,
1,Missing,47314,Savage Skies,"[8, 11]",Missing,Savage Skies is an Action game developed by iRock Interactive and published by Big Ben Interactive which was released in Europe in 2002,Missing,4.69,0.0,0.0,40.0,1.0,2.0
2,"[13, 14]",23464,Triple Play 2002,"[8, 11]",Missing,Step up to the plate and swing for the fences with Triple Play 2002 The action on the field comes to life with real player models and dramatic outofplay sequences giving players the chance to experience big game moments such as a gamewinning hit or a key strikeout  Triple Play 2002 features Single Game Season and Playoff modes in addition to the new Home Run Derby mode In Home Run Derby Mode players can compete in an eightplayer elimination tournament and try to hit as many home runs as possible before getting 10 outs  Behind the microphone for Triple Play 2002 will be a new broadcast team award winning broadcaster Bob Costas doing playbyplay with color commentary provided by ESPN Baseball Tonight analyst Harold Reynolds,Missing,0.0,0.0,0.0,0.0,0.0,0.0
3,"[4, 14]",23462,Knockout Kings 2002,"[8, 11]",Missing,In Knockout Kings 2002 you get to stare down your opponent as the ref runs down the rules smack your gloves with his wait for the belland let your fists fly The speed pain and adrenaline of professional boxing has come to your fingertips Now its time to show the world whos the champ Intense headtohead action takes it to the mat with the superior technology of PS2,Missing,15.0,0.0,0.0,80.0,1.0,1.0
4,"[5, 31]",10234,Gunvalkyrie,[11],The game takes place in an alternate history in 1906 where the British Empire rules all of Earth and several extrasolar colony worlds powered by technology brought to the planet by Halleys Comet in 1835 An unknown substance known as Halleys Core was found throughout the world and certain individuals who came in contact with it and gained superhuman abilities became known as Halleys Chosen The first of these was a scientist named Dr Hebble Gate who was affected by the comet while in his mothers womb With his superhuman mind he harnessed the power of Halleys Core and discovered a wide range of scientific breakthroughs including fusion and nuclear power genetic engineering computers space travel and countless others With these technologies the British Empire quickly conquered the earth and Gate is famous as the man responsible A complete mystery to all Gate also holds great power over economic political and military affairs and is the founder of the Hebble Foundation and the GunValkyrie GV Organization composed of Halleys Chosen throughout the world to prevent the misuse of technology He suddenly disappears throwing the world into shock and has been missing for four years by the time the game begins  In addition to his disappearance the residents of the colonized planet of Tir na Nog have also disappeared with an outbreak of large alien creatures that resemble giant insects in their place It is also believed that before his disappearance Gate was conducting research on how to strengthen the colonists through genetic modification and it is speculated that the insects and colonists are one and the same  In response members of an elite military force within the GV organization known as Team Dolphin established 1887 is sent to investigate Gates disappearance as well as the situation on Tir na Nog Leading the investigation is Gates only daughter Lieutenant Meridian Poe who survives on a life support system developed by her father after he surgically removed her head and disappeared with her body The two playable characters are Kelly OLenmey born in Ballymun Ireland a collected idealist who once aided the Irish Republic in their fight for independence until their methods caused her to leave and join the GV and Saburouta Mishima born in Kyushu Japan an exiled Samurai of the Meiji Restoration who was saved by the GV after he was unjustly sentenced to capital punishment  Dr Gates fate at the end of the game left ambiguous as the Poes Report documents presented throughout the game reveal that a body was eventually discovered but its identity is not confirmed,Gunvalkyrie is an alternate historyscience fiction video game developed by Smilebit and published by Sega for the Microsoft Xbox  Originally developed for the Sega Dreamcast its visual style was very similar to the final Xbox version The Dreamcast versions distinguishing feature was that during the games development GunValkyrie utilized a unique control scheme using both a light gun and a controller This control scheme was dropped when development shifted to the Xbox version  The gameplay is very different from most thirdperson shooters due to a unique dual analog control scheme which is the main contributor to the steep learning curve of the game Players travel to various worlds investigating the disappearance of several colonies with only giant mutated insect creatures left behind These insects comprise the bulk of the enemies you face along the way  Players control Kelly or Saburouta with both analog sticks the left controlling forwardbackward movement and turning while the right aims their weapons and when clicked allows quickturns Clicking in the left stick while pointing in a direction causes the character to boost The left trigger is a boostjump and when combined with the left analog boost can be strung together into combos to keep the player off the ground entirely which is a necessity for some levels Face buttons are used to select weapons and the right trigger fires the selected weapon  The game comprises ten levels the story unfolding via text between levels or the occasional ingame cutscene At the beginning of most levels excluding boss battles you have the choice of picking either Kelly or Saburouta Kellys primary weapon is fast but weaker and shes overall faster and more maneuverable Saburouta is slower has more limited maneuverability in the air and carries a stronger primary weapon the Matchlock Cannon Basically the two characters make up the two difficulty settings with Kelly being the Normal and Saburouta being the Advanced setting The real difference being that Kellys style allowed several lockon targets while Saburoutas weapon splashed and was aimed at specific targets Because of this Kellys gameplay is more frantic and requires less direct focus while Saburota required specific aiming and direct attacks to be effective Kelly is also the only character to upgrade her gearskin  The artistic style of the game is similar to the steampunk subgenre of fiction but the games designers prefer to call it elecpunk described as a step even further with the harnessing of electricity for imaginative new uses The games stages are divided into indoor mechanical looking levels with lots of gears and ornate metalwork and outdoor stages set in very organic looking valleys craters and other fantastic otherworldly locations,Missing,5.88,0.0,0.0,54.0,9.0,6.0
5,"[10, 13, 14]",841,RalliSport Challenge,"[6, 11]",Missing,You want real rally racing Try strapping yourself in for the four play modes of RalliSport Challenge Twentyfive licensed vehicles participate in Conventional Rally RallyCross Hill Climb and Ice Racing Tracks are taken from the real world with matching terrains and environments Particle and weather effects heighten the realism RalliSport Challenges unique AI engine delivers drivers with their own individual personalities and driving habits and effective graphics and animations bring it all to life,88.80006072549887,5.64,16.0,0.0,60.0,9.0,6.0
6,"[5, 31]",152,Star Wars: Jedi Knight II - Jedi Outcast,"[6, 11, 14, 21, 48, 130]",Missing,In the tradition of the highly acclaimed Star Wars Jedi Knight series Star Wars Jedi Knight 2 Jedi Outcast features rebel agent Kyle Katarn in exhilarating firstperson action Several years have passed since Kyle avenged his fathers death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi Allowing his Force powers to languish for fear of falling to the dark side Kyle entrusted his lightsaber to Luke Skywalker vowing never to use it again But when a new and menacing threat to the galaxy emerges Kyle knows he must reclaim his past in order to save his future  Explore breathtaking Star Wars locales such as Cloud City the Jedi Academy on Yavin 4 Nar Shaddaa and the smugglers moon Multiplayer options include deathmatch saberonly deathmatch and team capture the flag,84.76934222812231,,,,,,
7,[14],4102,Sega Soccer Slam,"[8, 11, 12, 21]",Missing,In Sega Soccer Slam youll unleash merciless kicks tackles and steals against excitable colorful characters from all over the world Each character in this game wields special powers and moves that earn the big score Get to the random spotlight that appears on the field and your character will shoot skyward with the ball and slam it toward the unsuspecting goalie In quest mode you can unlock secret stadiums and uncover hidden items to improve your already stellar performance Watch the intensity rise as you utilize your new power moves in other game modes If youre a little rusty on the field practice mode will get you going again When youre confident in your smash mouth hits and soccer tackles throw in some bad weather and gather up a bunch of friends for a rowdy roundrobin tournament,78.9965419333105,3.25,0.0,0.0,72.0,12.0,5.0
8,"[12, 25]",1345,Enclave,"[5, 6, 11, 21]",Missing,Experience incredibly atmospheric and intense medieval combat action Go ahead and enter a new world the awardwinning world of Enclave  The people of Light and Darkness are divided by a bottomless rift that split the earth many millennia ago The lands of light are an Enclave of truth and order surrounded by the twisted and barren lands of the dark known as the Outlands Over the centuries the rift has started to close  And now it is only a matter of time before the forces of Light and Darkness will clash in an unprecedented merciless struggle for survival Remember When a storm comes up for some its better to keep out of its way while for others its time to block its path,77.38409679344453,8.51,11.89,15.86,63.0,49.0,67.0
9,[31],3823,Blood Omen 2: Legacy of Kain,"[6, 8, 11, 21]",400 years have passed since the vampire Kain damned the world in the original Blood Omen choosing to rule the world in damnation rather than die for its salvation Now Kain who once controlled the land of Nosgoth with his vampire armies finds his brethren slain and his dark powers stripped by a mysterious figure To reclaim his rule and exact his vengeance Kain must dispatch armies of zealot soldiers and overcome legions of demons in order to uncover the ominous plot that threatens the land he seeks to conquer,Blood Omen 2 the second instalment in the Legacy of Kain Series is a 3rd person 3D actioncombat game in which you assume the role of the vampire Kain A compelling story takes you through huge lushly detailed 3D environments and challenges your skills in combat puzzle solving stealth and exploration With each success youll gain new dark gifts that will grant Kain the ability to access treacherous new areas to explore and the power to face stronger more aggressive enemies As you develop a stronger more skilled vampire youll be rewarded with dozens of dazzling ingame cinematic sequences that unfold the continuing epic of Nosgoth and Kains attempts to ultimately rule over it,73.8853925298489,13.0,14.05,14.19,65.0,56.0,62.0
