first_release_date,id,name,platforms,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1026345600,267529,The Baseball 2002: Battle Ball Park Sengen,"[8, 11]",The Baseball 2002  Battle Ball Park Sengen is Japaneseexclusive sports game It was announced March 11 2002 and released on July 11 2002 It was developed and published by Konami Beside on the Original Xbox it was also released on Playstation 2 It features all the teams of Japans professional league and a close tiein with Nippon Television Networks TV broadcast presentation,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1025740800,58878,Magi Death Fight: Mahou Gakuen,[11],Magi Death Fight is a topdown action game There are two game modes a singleplayercooperative campaign and multiplayer deathmatch mode supporting up to four players,[31],Missing,0.0,0.0,0.0,0.0,0.0,0.0
1027123200,47328,Doom 3: Limited - Collector's Edition,[11],The Limited Collectors Edition has a metal box cover and includes The Ultimate DOOM Doom II Hell on Earth Doom³ Interviews with the id crew A behind the scenes featurette Concept and production art gallery,"[5, 31]",Missing,nan,nan,nan,nan,nan,nan
1027987200,6214,Totaled!,"[8, 11]",Totaled takes you for a ride in a destructive racing experience In one of 12 cars including hot rods muscle and performance cars you must inflict as much damage on other cars as possible Both the outer shell of each car windows hood fenders doors and the chassis underneath can sustain damage that affects the cars performance You can compete in 18 customizable game types and challenges including Free for All Stuntman MultiTag and Bus Jumping,[10],Missing,0.0,0.0,0.0,0.0,0.0,0.0
1027555200,5936,Murakumo: Renegade Mech Pursuit,[11],Launch into aerial mayhem as an elite Murakumo unit sent to suppress a rampage of renegade mechs Blaze through cityscapes at supersonic speeds lock on and destroy targets with experimental Murakumo weaponry before all is lost,[5],Missing,3.75,0.0,0.0,0.0,0.0,2.0
1025568000,5758,Bruce Lee: Quest of the Dragon,[11],Bruce Lee Quest of the Dragon is a beat em up video game featuring martial artist Bruce Lee It was developed by Ronin Entertainment and published by Universal Interactive and was released in Europe and the United States for the Xbox in 2002 to a negative critical reception,"[4, 25]",Missing,5.65,0.0,0.0,60.0,4.0,5.0
1027555200,5755,Break Nine: World Billiards Tournament,[11],Missing,"[14, 15]",Missing,nan,nan,nan,nan,nan,nan
1027468800,1807,Crazy Taxi 3: High Roller,"[6, 11]",After New York what city could be screwy enough for a CRAZY TAXI game You guessed it an ampedup version of Las Vegas serves as the backdrop for this chapter in this ultratense driving game As with previous series installments the object of the game is to collect as much fare money as possible by picking up and delivering passengers at record speeds Youll have to create a few shortcuts of your won in order to win and that will mean causing a few crashes and knocking down a few buildings,[10],72.82058693886108,3.48,8.0,8.33,68.0,14.0,8.0
1027382400,47334,MLB Slugfest 2003,[11],MLB Slugfest is a series of baseball games developed by Sports Mogul Gratuitous Games and Midway Games and released by Midway Games for major console systems such as PlayStation 2 Nintendo GameCube and Xbox The game bills itself as a more street style baseball game including more mature  aggressive themes the ability to attack other players and urbanstyled ingame commentary,[14],53.0,0.0,0.0,0.0,73.0,6.0,0.0
1027123200,5955,NCAA Football 2003,"[8, 11, 21]",NCAA Football 2003 released for the PlayStation 2 Nintendo GameCube and Xbox featured University of Oregon quarterback Joey Harrington on the cover  New features in this version included over 200 licensed fight songs 3D cheerleaders and 144 different schools  Dynasty mode was enhanced with the ability to redshirt a player and schedule nonconference games before each season Trophies and awards modeled after reallife college football awards was another feature new to this version Players could win trophies by playing games and could add them to a personal collection which is shown off in a trophy room These awards include the Heisman Coach of the Year and Bowlspecific trophies The game featured 23 different rivalry trophies that were created to represent their reallife counterparts  CreateASchool mode returned in this edition of the game after being absent from the previous year The game also featured a customizable interface for the first time A player could choose his or her favorite team and the game interface would be based around that teams fight song mascot logos and school colors,[14],43.0,0.78,0.0,0.0,60.0,5.0,1.0
