first_release_date,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1048723200,[4],227989,SoulCalibur II,[11],Four years have passed since the spirit sword SoulCalibur defeated the evil Soul Edge At the end of that fateful battle the shards of the shattered Soul Edge were scattered across the world and SoulCalibur was lost to the void Now the evil that still resides in the scattered shards of Soul Edge threatens again to engulf the world in darkness,SoulCalibur II for the Xbox is an expanded port of the Arcade game including Spawn as a playable character and new game modes,Missing,3.43,12.04,34.0,82.0,277.0,165.0
1048809600,"[10, 13]",73371,DTM Race Driver: Director's Cut,"[6, 11]",Missing,This special edition of DTM Race Driver was specifically made for the German market While it retains almost all of the same content as Pro Race Driver it has full DTM licensing and also includes some exclusive cars Some of the cars are the Opel Astra V8 Coupe ABTAudi TTR and the MercedesBenz CLKDTM,Missing,nan,nan,nan,nan,nan,nan
1048118400,[15],62072,Thousand Land,[11],Missing,Thousand Land is a roleplaying game,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1047340800,"[13, 14]",11556,MVP Baseball 2003,"[6, 8, 11]",Missing,MVP is EA Sports replacement for the aging Triple Play series Rewritten from the ground up this rookie title includes a Homerun Showdown not a derby  something a little different and Franchise mode as well as the usual exhibition games Many custom batting and pitching animations as well as vendors hawking hotdogs and hecklers shouting player and team specific heckles  all in an effort to submerse you in the game,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1047254400,[14],6241,World Series Baseball 2K3,"[8, 11]",Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1048118400,"[4, 13, 14]",6219,UFC: Tapout 2,[11],Missing,UFC Tapout 2 is the second game released on the Xbox based on the popular mixed martial arts organization,Missing,0.75,0.0,0.0,0.0,0.0,1.0
1047945600,[4],6190,Tao Feng: Fist of the Lotus,[11],Missing,Clothes will tear blood will spill and bones will break in the brutal fighting game Tao Feng Fist of the Lotus On the vicious streets and backalleyways of New China two fierce fighting sects battle in a race to uncover a valuable prize During your fights throughout interactive environments your fighter reflects all the physical damage he or she receives from opponents You can either heal yourself from the beatings or build your powers to unleash devastating Chi attacks,Missing,6.21,0.0,0.0,37.0,3.0,1.0
1048032000,[12],5750,Black Stone: Magic & Steel,[11],Missing,Black Stone Magic  Steel known in Japan as ExChaser エクスチェイサー is a roleplaying video game developed by XPEC Entertainment and published by Xicat Interactive for the Xbox The theme song is be with you by Chihiro Yonekura,Missing,5.62,9.89,0.0,35.0,2.0,2.0
1048636800,"[4, 33]",9143,Guilty Gear X2 #Reload,"[6, 8, 11, 38, 52]",Missing,As humanity endeavored to better themselves they created the biological marvel known as Gears Originally intended as the next step of human evolution they were instead fitted for war and turned against their own creators,91.95576909396902,0.82,9.44,108.52,79.0,32.0,20.0
1047945600,"[5, 13, 24]",908,Tom Clancy's Rainbow Six 3: Raven Shield,"[6, 8, 11, 14, 21]",In 1945 as two members of the Nazisponsored Ustashe regime in Croatia manage to escape the country with huge amounts of Holocaustera loot just before Allied troops move into the capital Sixty years later in 2005 elite multinational counterterrorism taskforce Rainbow finds itself investigating a series of attacks by NeoFascist terrorists against South American oil interests and European financial institutions,A tactical shooter with realistic properties it adapts various features absent in previous installments of the franchise such as the ability to see ones weapon while in firstperson view many new weapons and upgrades as well as a redesigned multiplayer,80.64567630352231,12.19,13.87,0.0,82.0,23.0,15.0
1048636800,"[9, 31]",5795,CSI: Crime Scene Investigation,"[6, 11, 14]",Missing,What do a murdered woman a slain police officer and a mysterious arson case have in common Enter the gritty world of CSI and search for the answer with Grissom Catherine and the entire Crime Scene Investigation team As a new recruit youll have to learn how to use all of the investigator tools including cotton swabs rubber gloves and plaster molds,73.54649258084152,3.5,4.64,5.35,63.0,11.0,13.0
