first_release_date,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1091664000,[30],209750,Pure Pinball: American Pinball Reborn,[11],The Xbox version of Pure Pinball contains all the content of the original with enhanced visuals and audio as well as one extra table with an outer space theme High scores can be shared over Xbox Live,Missing,nan,nan,nan,nan,nan,nan
1093564800,"[8, 9, 15]",47352,Ghost Master: The Gravenville Chronicles,"[8, 11]",Ghost Master The Gravenville Chronicles is the console version of the PC game Ghost Master In this strategy game you become the scourge of humanity by managing haunting teams consisting of various ghosts The levels usually inspired by famous scenes from horror movies require you to scare mortals and complete additional objectives such as freeing trapped ghosts Deployed ghosts need to be bound to certain objects called fetters that match their type,Missing,nan,nan,nan,nan,nan,nan
1091664000,"[5, 13, 24]",47321,Tom Clancy's Rainbow Six 3: Black Arrow,[11],Black Arrow is the Xbox sequel to the acclaimed Rainbow Six 3 Based on an improved version of the same engine the game features a new single player campaign new multiplayer maps and game modes and new Xbox Live clan support features Follow team Rainbow through missions set in the Europe and the Mediterranean the UK France Italy Tunisia Croatia Greece and more Like other Rainbow Six games Black Arrow also supports cooperative campaign and game modes and introduces twoplayer split screen,Missing,5.56,0.0,0.0,57.0,6.0,4.0
1093824000,[13],6235,Wings of War,"[6, 11]",Wings of War is a Flight Simulator developed by Silver Wish Games and published by Gathering of Developers The game was a standard wartime flight simulator with the underused setting of World War I Players assume the role of a Royal Air Force pilot fighting the Luftstreitkräfte in several missions Despite its setting the game still features an arcade style to it the planes never stalled and the planes could be equipped with airtoair rockets,Missing,8.0,0.0,0.0,40.0,1.0,1.0
1093392000,[10],6197,Test Drive: Eve of Destruction,"[8, 11]",Test Drive Eve of Destruction blends the best elements of racing and demolition and is packed with 25 different events including Demo Derby where the last car standing wins Gauntlet where the player climbs behind the wheel of a hearse and tries to finish a set number of laps while the rest of the field attempts to stop them Trailer Race a new brand of racing event where players compete while towing various types of trailers and must finish the race with something resembling a trailer still attached Additionally Test Drive Eve of Destruction offers players a selection of more than 30 custom vehicles a dynamic soundtrack and a splitscreen multiplayer mode for up to four players,Missing,13.43,13.75,14.43,83.0,7.0,7.0
1093564800,"[5, 31]",5860,Headhunter: Redemption,"[8, 11]",In the 21st century a dreadful virus wiped out millions The vaccine was found but at the time the world was engulfed into chaos A new world order emerged splitting the world into two distinct yet dependent worlds Above and Below The world Above reflects a chrome city a highrise hightech metropolis served by elevators and elevated freeways A place for hardworkers and lawabiding people On the contrary to Above the world Below which is the product of earthquake damages is a subterranean network of labour colonies Those who are not wanted Above for one reason or another are sent Below One day now veteran Headhunter Jack Wade took a call to investigate an intrusion to the upper levels Facing the trespasser Jack saw a potential in the girl and instead of turning her in he gave her a second chance to become his apprentice Jack is back but this time hes not alone but accompanied by his sidekick Leeza X Together they will face whatever threat lurks from the world Below The gameplay is set in 3rdperson view with ability to rotate camera or set it behind your back at the single click Headhunters main accessory is IRIS Intelligent Realtime Information Scanner Once you get the IRIS youll be able to scan every item just by pointing the gun at it or use the scanner in 1stperson view which will let you examine the surroundings in more detail Also IRIS will provide you with a full 3D map info even displaying the enemies so you can avoid them or use stealth if necessary Enemies will hear you running and shooting so if you decide to take an action be aware that they will surround you and launch a team strike at you from all the sides You only effective aid against them beside your weapon of course is the ability to perform a roll or lean against the walls and fire from the corners although aiming itself may not be easy as your hand will not be steady while on the move or panicking,Missing,nan,nan,nan,nan,nan,nan
1093824000,"[9, 15, 26]",5859,The Guy Game,"[6, 8, 11]",The Guy Game is an adult video game for the PlayStation 2 Xbox and PC platforms published in 2004 by Gathering of Developers and developed by nowdefunct Top Heavy Studios it was the teams only game Presented in a trivia gameshow style supporting up to four players it consists of about 1000 questions spread out over 20 episodes Much of the game involves watching liveaction video footage of young women in bikinis and as the player succeeds in the game the women eventually expose their breasts The game garnered much controversy and was the subject of a lawsuit,Missing,2.5,0.0,6.72,55.0,2.0,4.0
1093824000,"[13, 14]",5826,ESPN NHL 2K5,"[8, 11]",ESPN NHL 2K5 is an ice hockey simulation made by ESPN Videogames now 2K Games and published on the Xbox and PlayStation 2 consoles ESPNs Gary Thorne on playbyplay commentary and Bill Clement on color commentary calls all the action This is also the last NHL Game to be published by Sega,Missing,5.0,0.0,0.0,63.0,4.0,1.0
1093910400,"[5, 13, 14]",5765,Cabela's Deer Hunt: 2005 Season,"[6, 8, 11]",Cabelas Deer Hunt 2005 Season is the first sequel to Cabelas Deer Hunt 2004 Season It was developed by Sand Grain Studios PlayStation 2 Magic Wand Productions Windows and FUN Labs Xbox and released on August 31 2004    The game was published by Activision in conjunction with hunting supply company Cabelas,Missing,2.58,4.0,0.0,60.0,1.0,2.0
1093564800,"[5, 31]",4101,Second Sight,"[6, 8, 11, 21]",Second Sight is primarily stealthaction using psychic abilities to stealthily move through levels Due to its dark atmosphere it could be considered a psychological thriller The game focuses on John Vattics exploration of his own mind discovering psychic abilities and a dark history before his amnesia,80.13904170874612,8.94,13.08,13.3,73.0,45.0,52.0
1091491200,[5],280,Doom 3,"[3, 6, 11, 14]",A massive demonic invasion has overwhelmed the Union Aerospace Corporations UAC Mars Research Facility leaving only chaos and horror in its wake As one of only a few survivors you must fight your way to hell and back against a horde of evil monsters The path is dark and dangerous but youll have an array of weaponsincluding a pistol a chainsaw grenades and moreto use for protection,79.35911483055753,10.89,12.93,16.35,74.0,466.0,479.0
1092268800,[4],5897,The King of Fighters: Maximum Impact,"[8, 11]",The Synthesis of breathtaking 3D animation with the heart and soul of a 2D classic is now complete A city lay in ruins as rival gangs are at war all vying for the chance to rule the underworld of Southtown A small group destined to take the city back has established a meeting with the maniacal leader of the most powerful gang Mephistopheles On one condition to be in this meeting one must prove themselves by defeating the greatest fighters in the world,76.78633222160586,nan,nan,nan,nan,nan,nan
1091664000,"[13, 14]",47354,World Soccer: Winning Eleven 8 International,"[6, 8, 11]",Also available in a European version known as Pro Evolution Soccer 4 Winning Eleven 8 is developed by the legendary soccer expert Shingo Takatsuka New free kick and penalty techniques can now be used while an innovative indirect free kick has been implemented to add further variety to set pieces This level of realism has also been extended to the ways players run move both on and off the ball and how they control the ball A new dribbling system is also available giving more control as players go oneonone and try to pass opposing players while player likenesses are also enhanced to match the noticeable individuality of the worlds greatest stars Both international and club players are instantly recognizable due to almost photorealistic graphics,74.97755610972568,nan,nan,nan,nan,nan,nan
1092009600,"[13, 14]",778,Madden NFL 2005,"[6, 8, 11, 21]",Force the action on defense in MADDEN NFL 2005 New defensive tools allow you to make more plays and be in on all of the action The allnew Hit Stick lets you lay the big hit to turn the momentum of the game in your favor With the new Storyline Central you get the inside scoop around the league from radio host Tony Bruno along with local and national newspapers to help you make critical franchise decisions With groundbreaking graphics that capture the real stadium experience Madden NFL 2005 continues its 15year tradition of video game innovation,70.00652108876497,25.37,0.0,0.0,79.0,15.0,3.0
