,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[5],24745,Combat: Task Force 121,"[6, 11]",After years of simmering unrest Marxist Rebels have obtained a foothold within the Armed Services and found sympathetic comrades to lend both a voice and weapons While a fullblown coup detat is not yet underway a few early high profile rebel victories could quickly turn the tide US forces have been called in to put a halt to these terrorist acts You are a member of task force 121 an elite cover unit comprised of Navy Seals Green Berets Army Rangers and USMC Recon personnel Your mission is to thwart the Marxist Rebels before they can recruit allies and significantly damage US interests,Missing,Missing,,,,,,
1,[10],22307,Mashed: Fully Loaded,"[6, 8, 11]",An expansed release edition of the game that plays like a spiritual successor of the Micro Machines series Mashed Fully Loaded includes six training modes new tournaments improved powerups graphic and special effects upgrades plus new tracks track variations vehicles and singleplayer challenges,Missing,Missing,3.42,6.38,7.27,67.0,14.0,10.0
2,[5],19933,Narc,"[6, 8, 11, 21]",NARC is a 3rdperson shooter that has the player tracking the distribution of the deadly new narcotic Liquid Soul across two different cities in Asia and the USA The player controls one of two characters  Narcotics detective Jack Forezenski voiced by Michael Madsen or DEA agent Marcus Hill voiced by Bill Belamy Both are led by Narcotics chief Joe Kowalski voiced by Ron Pearlman and the player switches between the two as the story unfolds  As an undercover cop players are free to roam the streets and dispense justice at their discretion Aside from storyline missions players can encounter 12 types of randomized street crimes and stop them to boost their badge rating loosely a measure of their trust within the police,Missing,Missing,0.53,0.83,1.25,51.0,22.0,18.0
3,"[4, 25]",6056,Spikeout: Battle Street,[11],Based on the 3D coinon arcade title of the same name SpikeOut Battle Street offers a quick singleplayer mode thats about two to four hours long and each time its beaten a new character with slightly different special attacks opens up There are around 10 levels and 12 unlockable characters and an online mode You can connect with three other players for a fourplayer online bout on Xbox Live and as a sortof team you then proceed to smack infinite nameless thugs into polygonal paste The game works one way Four humans against the computer AI Youve got a punch kick jump and grapple move and when pressed multiple times each button ignites combos By grappling an enemy from various angles and by pressing the Dpad in different directions when executing the throw renders various satisfying hurls,Missing,Missing,0.0,12.32,0.0,55.0,2.0,1.0
4,[14],6019,Rugby 2005,"[6, 8, 11]",Rugby 2005 is a game in the Rugby series by EA Sports The game allows players to play as many Rugby nations both major and minor and includes many tournaments such as the Rugby World Cup the Tri Nations the Six Nations and the Super 12    The newer version of this game is Rugby 06 also by EA Sports It also includes a fictional World League where teams from the Guinness Premiership Celtic League Top 14 Super 12 and other domestic leagues compete against each other in a threestage promotion and regulation structure with a knock out cup also contested Commentary is provided by Ian Robertson and Murray Mexted    Rugby 2005 is the first EA Rugby title for Xbox while the Windows version was canceled in the US,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
5,"[13, 14, 15]",5773,Championship Manager 5,"[6, 8, 11]",The first Championship Manager title since the departure of original CM developer Sports Interactive Championship Manager 5 brings this socceroriented strategic management simulator to the PlayStation 2 for the very first time To make the game the most authentic soccer simulation around the company has hired a specialist agency entirely focused on the creation of player information and statistics and has completely overhauled the game engine to compute more realistic action in real time The team has also focused on the Training system new Match Tactics choices for handling onthefield gaming and Action Zones for detailed looks at who best controls which sections of turf,Missing,Missing,0.0,0.0,0.0,20.0,2.0,0.0
6,[5],2144,TimeSplitters: Future Perfect,"[8, 11, 21]",TimeSplitters Future Perfect is a firstperson shooter video game developed by Free Radical Design and published by EA Games for the PlayStation 2 GameCube and Xbox video game consoles  It is the third game in the TimeSplitters series after TimeSplitters 2 which was released in 2002 itself the sequel to TimeSplitters released in 2000 The game features a singleplayer mode consisting of levels where the player assumes the role of Sergeant Cortez a timetraveling marine from the 25th century,84.93100061175198,The game begins in 2401 when the space marine Sergeant Cortez is leaving the space station that he destroyed at the end of TimeSplitters 2 His ship crash lands on the future Earth and two fellow marines greet him Sergeant Cortez follows his squad of marines through the valley and battles unknown masked figures and TimeSplitters Cortez is then tasked with following the signatures in the past by time travel thought to be caused by the TimeSplitters He then goes on a mission to go back in time to find a way to stop the TimeSplitters race from being created,6.85,16.6,32.53,82.0,136.0,99.0
7,"[5, 24]",911,Tom Clancy's Splinter Cell: Chaos Theory,"[6, 8, 11, 21]",You are Sam Fisher the NSAs most elite blackops agent To achieve your mission you will kill from close range attack with your combat knife shoot with the prototype Land Warrior rifle and use radical suppression techniques such as the inverted neck break Also take on cooperative multiplayer infiltration missions where teamwork is the ultimate weapon,84.87043734506386,The year is 2008 Citywide blackouts  stock exchange sabotage  electronic hijacking of national defense systems  this is information warfare To prevent these attacks operatives must infiltrate deep into hostile territory and aggressively collect critical intelligence closer than ever to enemy soldiers,13.0,14.22,19.44,83.0,327.0,311.0
8,"[10, 13]",24150,MX Vs. ATV Unleashed,"[6, 8, 11]",Take on the racing world in an attempt to knock off motocross and ATV riders in over 50 technical supercross and rugged outdoor tracks,79.91492478120588,Missing,8.0,20.0,0.0,79.0,7.0,2.0
9,"[5, 9, 31]",5780,Cold Fear,"[6, 8, 11]",In a ferocious Arctic storm distress signals are sent from a mysterious Russian whaler As leading Coast Guard veteran Tom Hansen you board to investigate  and discover unthinkable horrors lurking beneath the ships bloodstained decks,70.70354236794003,Missing,6.51,7.19,7.32,68.0,61.0,70.0
10,[4],4201,TMNT: Mutant Melee,"[6, 8, 11, 21]",Run with the Turtles as they trash smash and bash their way to victory in the ultimate 4 player Teenage Mutant Ninja Turtles action game  Over 20 playable characters Unpredictable obstacles around every corner Melee and Adventure Mode A wide range of mini games including Last Man Standing King of the Hill and more,70.01589167470348,Though the game does not offer a main plot for the primary cast Adventure Mode is the singleplayer option in which the player chooses a character to follow in a battletobattle style story with written synopsis between battles and tasks as they attempt to reach their ultimate goal The mode presents offshoot routes that allow you to choose different challenges and battles as you proceed  During progression the player gathers token currency which can unlock extra content in the Library menu area,,,,,,
11,[31],6000,Red Ninja: End of Honor,"[8, 11]",As the power of the samurai class fades Japan turns to the ninja to uphold political power during chaotic times One such ninja Kurenai lives to avenge her fathers death and will go to any means necessary to destroy the Black Lizard Clan Kurenai is a master of the tetsugen a wire weapon that can cut off an enemys head or hang them from a tree depending on the end attachments used and the length and strength of the weapons wire Aggressively employing such tactics as wearing disguises using womanly wiles and controlling Ninjutsu powers will help you to escape enemies,66.88018900479804,Missing,8.52,0.0,0.0,39.0,7.0,2.0
