first_release_date,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
1222214400,[5],262683,Duke Nukem 3D,[12],Xbox Live Arcade port of Duke Nukem 3D,Missing,Missing,9.22,10.94,13.35,79.0,195.0,128.0
1220400000,Missing,179597,Gin Rummy,[12],Go Gin Play Gin Rummy one of the most internationally beloved of all card games Enjoy challenging variations of the classic game including Hollywood Gin Oklahoma Gin and many more Customize your game with an array of colorful themes unique decks and entertaining tunes,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1220400000,[5],73038,Shred Nebula,[12],A top down shooter,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1222300800,[2],68139,Janline,[12],Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1222387200,[12],47391,Tales of Vesperia: Special Edition,[12],A power struggle begins in a civilization dependant on an ancient technology the blastia and the Empire that controls it The fates of two friends traveling separate paths intertwine in an epic adventure that threatens the existence of all Tales of Vesperia marks the first Tales RPG release in highdef with detail and graphics never before seen in the series Now realtime battles are more exciting than ever with over limits the ability to unleash fatal strikes combinations and burst artes The next evolution of the revered roleplaying series comes to the Xbox 360 Premium Items in Collectable steelcase metal box Tales 10th anniversary Music CD Music selection from Vesperia and previous Tales titles 52  72 page manual with art Collectable steelcase metal box,Missing,Missing,nan,nan,nan,nan,nan,nan
1221696000,[10],23041,Burnout Paradise: Bikes Pack,"[9, 12]",Burnout Bikes is the fourth update for Burnout Paradise and adds roughly 710 extra hours of gameplay to single player and countless hours to multiplayer Included in the pack are four motorbikes The FV1100 FV1100T1 Firehawk V4 and Firehawk GP Competition  It also features a fully customizable day and night cycle with weather effects 70 online Freeburn Challenges for bikes and bikespecific daytime and nighttime timed road rules for each road in Paradise City,Missing,Missing,nan,nan,nan,nan,nan,nan
1221609600,Missing,21794,Domino Master,[12],Xbox LIVE Multiplayer 24 HD High Definition Upgrade now to unlock the fullfeatured multiplayer Domino Master game Play against friends and family or challenge the world on Xbox LIVE The full version also includes achievements leaderboards and LiveVision support,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1220313600,[14],7155,Rapala Fishing Frenzy 2009,"[5, 9, 12]",Attempt to win trophies by catching various fish,Missing,Missing,0.0,0.0,17.15,0.0,0.0,1.0
1222300800,"[4, 12, 24]",6948,Cross Edge,"[9, 12]",In a world where dreams and nightmares become reality a band of powerful warriors from across dimensions must come together to stop their worlds from being consumed by evil incarnate Harness the power of characters from such series as Disgaea Ar tonelico and DarkStalkers Utilize the dynamic battle system to unleash powerful special skills and team combos and choose your destiny,Missing,Missing,49.84,100.0,212.85,65.0,6.0,4.0
1220400000,[14],5102,Pirates vs. Ninjas Dodgeball,"[5, 12]",Pirates vs Ninjas Dodgeball pits scurvy against ninjitsu and cutlass versus katana in action packed dodgeball to settle the worlds oldest debate whod win  Pirates or Ninjas    The game is played with seven different teams including the Pirate and Ninja teams as well as Zombies Robots Aliens Monsters and Mushroom Men from the Mushroom Men games also published by SouthPeak The battles take place across eight visually breathtaking arenas where players look to settle the score once and for all,Missing,Missing,nan,nan,nan,nan,nan,nan
1220918400,[14],824,NHL 09,"[6, 8, 9, 12]",NHL 09 is the 17th video game in the NHL series released by EA Sports in 2008 Both the Nintendo DS and Wii versions had been planned but canceled It was the last installment of the NHL series to be released on Playstation 2 and the last to get a PC release,89.6988601594179,Missing,20.0,0.0,26.5,72.0,14.0,4.0
1221350400,[7],2692,Rock Band 2,"[5, 8, 9, 12]",Rock Band 2 is the sequel to the 2007 musical simulation game Rock Band and offers similar gameplay Directly competing with Guitar Hero World Tour the game allows different people to play together as in a band with the same peripherals as the first game lead guitar bass guitar microphone and a drum set  The new drum and guitar controllers for this version bundled or sold separately have been revised and older controllers are also supported The guitar controller modelled after the Fender Stratocaster has five additional fret buttons near the neck for fast fingertapping sessions There is also an effect switch to toggle between five different effects Players use the instruments to match notes on the screen divided in different portions for different instruments along with the lyrics for the singer who need to match the pitch,86.36702116254314,Missing,9.25,65.87,142.9,86.0,139.0,61.0
