,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[4, 32]",256305,Battle-X,[12],BattleX is an indie fighting game available on Xbox 360s Indie Games store,Missing,,,,,,
1,"[8, 32]",225293,The No Button Game,[12],The No Button Game is a fast paced buttonfree platform game that does not require the use of buttons or sticks to be played Place your wireless controller on a box then tap with your fingers and it is done Dont you have a wireless controller or a box handy No worries theres the one button mode,Missing,,,,,,
2,"[5, 32]",144036,Gamerbots: Third-Robot Shooting,[12],An exciting LIVE thirdperson shooter where you can Stick your Gamer Picture on Gamerbot Customize your Gamerbot with 15 heads and unlimited color combinations Fight with 6 basic weapons and 10 levels of upgrade in 4 criteria Compete with worldwide players on LIVE Challenge to 24 single player missions Get promoted to 7 Gamerbot classes Fight with random enemies in 6 scenes,Missing,,,,,,
3,"[2, 9, 31]",69160,Wallace & Gromit's Grand Adventures: Episode 4 - The Bogey Man,"[6, 12]",Wallace  Gromit in The Bogey Man is the fourth and final episode of Wallace  Gromits Grand Adventures  That certainly didnt go as planned at the end of Wallace  Gromit in Muzzled when Wallace picked up a screw nut in front of Mr Flitt and she thought he was proposing to her A dire situation for Wallace who is a little bit afraid of commitment to say the least At the same time his new business Golden Retrieval  specialist on finding lost items  is off to a hard start with Major Crum not really knowing what exactly he has lost Ultimately everything leads to the Picklet Thicklet golf club which has lost its deed to its golf course and has always been a thorn in the eye of the Flittfamily,Missing,,,,,,
4,"[5, 33]",22988,Space Invaders: Infinity Gene,"[9, 12, 34, 39]",Space Invaders the game that defined video games for generations is back with a new twist The game starts off looking like the classic Space Invaders but as you play through the game it evolves Unlock new stages new power ups and new features The full game features a total of 133 stages from both Normal Mode and the breathtaking Challenge Mode where stages change with each playthrough You can even blast your way through unique stages evolved from your very own music Compete against other players from all around the world in real time with the appropriately named Real Time Rankings Space Invaders Infinity Gene is the pinnacle of outer space shooting action The more you play the more the game evolves,Missing,,,,,,
5,"[13, 14]",21247,Tour de France 2009,[12],Take control of a professional team and guide them through the 2009 version of Tour de France  This 2009 entry was ported from the PSP and exclusive to Xbox Live Arcade,Missing,,,,,,
6,[14],21111,Summer Athletics 2009,"[5, 6, 12]",Summer Athletics The Ultimate Challenge is a collection of sports events based on the Olympic Summer Games It features 28 sports divided into eight disciplines Swimming jumping throwing cycling running platform diving archery and the new skeet shooting two variants The handling is similar for all of them rhythmic motions to keep the athlete moving and quick time events pressing a button when it gets displayed on the screen for performing certain actions The mentioned rhythmic motions depend on the input device the player uses eg at the swimming event the player needs to press two buttons alternately when using a keyboard and rotate the analog sticks when using a gamepad The player character aims automatically during the skeet shooting the player himself only has to shoot at the right time,Missing,15.0,0.0,0.0,70.0,1.0,1.0
7,"[13, 14]",7111,NCAA Football 10,"[8, 9, 12, 38]",NCAA Football 10 is a college football video game created by EA Sports It is the successor to NCAA Football 09 in the NCAA Football series It was released on July 14 2009 for the Xbox 360 PS3 PSP and PlayStation 2 consoles Brian Johnson Brian Orakpo Mark Sanchez and Michael Crabtree were the cover athletes for the game,90.0,15.5,0.0,30.0,68.0,5.0,3.0
8,[7],68407,Rock Band: Country Track Pack,"[5, 8, 9, 12]",Rock Band Country Track Pack is a standalone game that wraps up 21 country songs into one retail package The songs are a collection of previously released DLC as well as new tracks that have yet to appear in any Rock Band game,85.0,4.0,0.0,0.0,80.0,1.0,1.0
9,"[2, 9, 31]",65,The Secret of Monkey Island: Special Edition,"[6, 9, 12, 14, 39]",Relive the swashbuckling humorous misadventures of the wannabe pirate Guybrush Threepwood Back by popular demand The Secret of Monkey Island Special Edition faithfully reimagines the internationallyacclaimed classic game The games twisty plot leads our naive hero on a hilarious swashbuckling search for the fabled secret of Monkey Island Tales of pirate wealth lure him to the port of Mêlée with high hopes no money and insatiable curiosity If clever enough he will win the confidence of Mêlées pirates and find himself blown by the winds of fate toward the terrifying and legendary Monkey Island  an adventure that would chill the bones of even the most bloodthirsty buccaneer,84.15134758354397,,,,,,
