,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,242894,Almost Total Mayhem,[12],Almost Total Mayhem is a 2D teambased action platformer that pits two teams against each other in an attempt to destroy the others base which comes in the form of medieval forts In addition teams of knights in armor must also protect their own base from attacks Also hindering the players progress is that there is only a single bomb on the map The graphics come in handdrawn form on lined A4 paper and look like someone has doodled them There is a two player cooperative game mode available for use on a single Xbox 360 console for 2player splitscreen games,Missing,Missing,Missing,,,,,,
1,202311,Mass Effect: Genesis,"[6, 9, 12]",Mass Effect Genesis is a downloadable interactive backstory comic Genesis fills the role of Mass Effect for new players by introducing them to the story of the original game and allowing them to make six of the major plot decisions that players could make If downloaded the comic appears between the opening level and character customization There are two versions of the comic one each for a male and female Commander Shepard,[34],Missing,Missing,,,,,,
2,135167,Breach,"[6, 12]",Breach is a teambased firstperson shooter multiplayer video game developed by Atomic Games It was announced on March 26 2010 at PAX East 2010 for Windows PCs and the Xbox 360 Breach was distributed online for the Xbox 360 by Xbox Live Arcade and on Windows by Steam,[5],Missing,Missing,0.0,0.0,0.0,40.0,1.0,0.0
3,91756,Aban Hawkins & the 1000 Spikes,"[6, 12]",Missing,"[8, 32]",Missing,Missing,,,,,,
4,66109,Bonded Realities,[12],A parody RPG heavily influenced by the Earthbound series for the Xbox Live indie marketplace,Missing,Missing,Missing,,,,,,
5,62789,The Legend of the Dragonflame High School: Youth Battle Story,[12],The Legend of the Dragonflame High School Youth Battle Story is an 8bit inspired brawler,[25],Missing,Missing,,,,,,
6,51638,Wizard's Keep,[12],The land is under attack from an evil wizard and it is up to one adventurous hero to defeat him and save the land,Missing,Missing,Missing,,,,,,
7,27645,Winter Sports 2011: Go for Gold,"[5, 6, 9, 12]",Winter Sports 2011 is the ultimate challenge for casual gamers and sport fans that includes the nine winter sport disciplines Thanks to improved multiplayer mode it offers more direct interaction with the players opponents Thus there are several disciplines like snowboard cross in which all players can participate simultaneously In each competition whether multiplayer or single player players can choose from a variety of tactical possibilities as for example skating in slipstreams turbo or hard physical impacts Moreover every fair or unfair behavior affects the qualities and the appearance of the players,[14],Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
8,24236,Pinball FX 2: Marvel Pinball - Vengeance and Virtue,[12],Marvel Pinball is an arcade pinball video game developed by Zen Studios It features Marvel Comicsthemed pinball tables It is available as a standalone game for the PlayStation 3 via the PlayStation Network and as downloadable content for Pinball FX 2 on the Xbox 360 via Xbox Live Arcade Its content on the PlayStation 3 is also playable in Zen Pinball 2 It is the second pinball title for the PlayStation 3 succeeding Zen Pinball It was released on December 8 2010 on the Xbox 360 and December 14 2010 on the PlayStation 3  The game was positively received by critics It holds an aggregate score of 8773 on the Xbox 360 and 8285 on the PlayStation 3 at GameRankings Reviewers praised the visual presentation of each table and commented specifically on the bright colors and animated characters Most reviewers felt the table design was excellent however some felt that certain sections of the table felt bare Critics generally felt that it was an excellent value for the costcitation needed Sales during the month of its release exceeded 47000 copies on the Xbox 360 and 19000 on the PlayStation 3citation needed,Missing,Missing,Missing,,,,,,
9,22967,Spare Parts,"[9, 12]",Spare Parts tells the story of courageous robots MarT and Chip who find themselves dumped out with the rubbish on a strange planet Working together in coop mode the mechanical duo must find a way to repair an abandoned space ship and escape the planet before evil Lord Krung can dispatch his henchmen to destroy them Searching the hostile environments for ship parts and currency MarT and Chip will also collect upgradable action parts  such as Rocket Boots  to unlock new abilities that will aid them as they rescue other stranded robots and battle countless enemies including the relentless Krofax troopers hostile spider monkeys and even a Super Huge Mega Laser,Missing,Missing,Missing,3.84,4.5,7.76,80.0,1.0,7.0
