first_release_date,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
1333152000,270448,My Chabudai,[12],Xbox Live indie game by konoha,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1332892800,217920,Asura's Wrath Episode 11.5,"[9, 12]",Forging Ahead is the special lost 115th episode of Asuras Wrath from the DLC featuring unseen events after Episode 11 The Final Lesson,[25],Missing,Missing,nan,nan,nan,nan,nan,nan
1332806400,148248,Gears of War 3: Forces of Nature,[12],Forces of Nature is a DLC installment for Gears of War 3 that was released on March 27 2012 for 800 Microsoft Points  Based around weather and natural disasters the Forces of Nature DLC packs five more maps four additional characters seven new weapon skin sets and the introduction of Elemental Cleavers Easteregg weapons that are hidden on Horde playthroughs on Forces maps that each have a different elemental property Finally after examining community feedback a classic Gears of War 2era gametype Guardian is making a comeback,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1332460800,99960,Homefront: Ultimate Edition,"[6, 9, 12]",The Ultimate Edition of Homefront includes the base game all downloadable content  multiplayer map packs,"[5, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1332201600,98877,20 Games to Play With Your Mates,[12],20 Games is a collection of games made for you and your mates From zombie slaying to turn based strategy there are a great variety of games for local multiplayer and singleplayer,"[5, 8, 10, 14, 15, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1331856000,52656,Blades of Time: Limited Edition,"[6, 9, 12, 14, 130]",Ayumi the gorgeous gun and swordwielding treasure hunter sets out on a journey to an ancient island in search of new adventures While rich in bounty the island is also filled with the magic of Chaos being at the same time home to blood thirsty monsters With a host of colorful characters eyepopping visual appeal tons of treasure and a huge variety of combat skills to master Blades of Time will bring just as much fun and satisfaction both to gamers that are new to the action adventure genre and to experienced players  Limited Edition includes Blades of Time Blades of Time  Dismal Swamp DLC Blades of Time  Original Soundtrack Blades of Time  Artbook,"[12, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1330992000,45180,Mass Effect 3: N7 Collector's Edition,"[6, 9, 12, 49]",This limited package includes   Premium metal case featuring commemorative artwork of Commander Shepard  70page hardbound art book featuring hundreds of illustrations from the BioWare development team  Limited edition Mass Effect comic by Dark Horse Comics with unique cover artwork  Fabric N7 patch  4x6 lithographic print featuring a piece of artwork  A full collection of exclusive ingame contents  N7 Arsenal Pack  N7 Sniper Rifle Shotgun SMG and Pistol  Robotic Dog  A sidekick on the Normandy  Squadmate Alternate Outfit Pack  New appearances for squad members  N7 Hoodie  Commander Shepards outfit on the Normandy  Digital soundtrack  Xbox LIVE Normandy prop for Xbox 360 Avatar  A collection of BioWare forum and social badges avatars and perks,"[5, 12, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1330646400,41845,Final Fantasy XIII-2: Limited Collector's Edition,"[9, 12]",The Limited Collectors Edition includes unique packaging a copy of the Composer Selected Sountrack an artbook 6 collectible postcards and a high definition Lenticular Artprint showing an iconic image of Lightning,"[12, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1330646400,41834,Final Fantasy XIII-2: Collector's Edition,[12],Three years after the events in FINAL FANTASY XIII Lightning has gone missing and Snow is nowhere to be found In a rebuilding world Serah notices that something is amiss After a fortuitous encounter with a mysterious man named Noel the two set off to find Lightning,"[12, 15, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1330732800,19904,Diabolical Pitch,[12],Diabolical Pitch is an Xbox Live Arcade game from Grasshopper Manufacture developed exclusively for the Kinect,[14],Missing,Missing,3.5,0.0,0.0,40.0,1.0,1.0
