,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,254829,Minecraft: Doctor Who Skin Pack - Volume I,"[9, 12, 41, 48, 49, 130]",Minecraft Doctor Who Skin Pack  Volume I is a skin pack for Minecraft that contains 57 Doctor Whothemed skins,Missing,Missing,Missing,,,,,,
1,233341,Massive Cleavage vs Zombies,[12],Its a zombie apocalypse horror story told through arcade style fighting and cut scenes Your character wanders the city in search of supplies for her people using only her massive cleaver Every place she goes she leaves behind piles filled with hundreds zombie corpses,"[31, 33]",Missing,Missing,1.7,0.0,3.34,60.0,1.0,3.0
2,221997,Kingdom Hearts Birth by Sleep Final Mix,"[6, 9, 48, 49, 130]",Originally released exclusively in Japan An HD remaster of Kingdom Hearts Birth by Sleep Final Mix was finally released globally for the collection Kingdom Hearts HD 25 ReMIX,[12],Missing,Missing,25.54,37.18,96.17,78.0,483.0,567.0
3,202145,Warframe: Archwing,"[6, 48, 49]",Tenno take flight  Archwing has arrived Players Mastery Rank 2 or greater can quest to assemble the Archwing technology allowing for space combat sans spacecraft Two unique game modes new enemies weapons and Mods are all available Choose from the offensive Elytron Archwing or wellrounded Odonata and bring the fight straight to the enemy Tenno,"[5, 12, 25]",Missing,Missing,,,,,,
4,165424,Trials Fusion: Welcome to the Abyss,"[6, 48, 49]",Mysterious ruins found under the sea shed light onto a longforgotten civilization Its time to find out if anything still lurks beneath Enhance your experience underwater with 10 new tracks including eight Classic Trials Tracks one Skill Game and one FMX Track 24 new Challenges including secret locations and hidden minigames 5 new achievements and dozens of new Editor objects including Titanic statues emissive stone ramps underwater robotics,"[8, 10, 33]",Missing,Missing,,,,,,
5,164800,Sunset Overdrive: Deluxe Edition,[49],The Sunset Overdrive Deluxe Edition includes a full digital copy of the game and the Sunset Overdrive Season Pass which includes the first three complete Game Addons for Sunset Overdrive PLUS six character outfits two Amps and two Traps available exclusively to Season Pass purchasers as soon as the game is releasedDeluxe Edition,Missing,Missing,Missing,,,,,,
6,142907,Far Cry 4: Season Pass,"[6, 12, 48, 49]",Continue your Far Cry 4 adventure with the Far Cry 4 Season Pass It includes  An exclusive single player mission only available with the season pass  Escape from Durgesh prison campaign  Hurk Deluxe Pack  5 missions and 5 weapons  Overrun PVP mode and map  Valley of the Yetis campaign,"[5, 31]",Missing,Missing,,,,,,
7,118896,Need for Speed Rivals: Complete Edition,"[6, 9, 12, 48, 49]",Own the complete Need for Speed Rivals package including the full game plus all six previously released downloadable content packs  Additional Packs included  Simply Jaguar Complete Pack  Ferrari Edizioni Speciali Complete Pack  Concept Lamborghini Complete Pack  The Koenigsegg Agera One  Complete Movie Pack  Loaded Garage Pack,[10],Missing,Missing,,,,,,
8,84953,The Voice: I Want You,"[5, 9, 12, 41]",The Voice video game brings all the excitement of the hit TV show to your living room,Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
9,59734,Assault Ops,[12],A military themed twinstick shooter,Missing,Missing,Missing,,,,,,
10,56723,Ultimate Stealth Triple Pack,"[9, 12]",Three stealth themed games from Square Enix on a single disc,"[5, 12]",Missing,Missing,,,,,,
11,56722,Ultimate Action Triple Pack,"[9, 12]",Three of Square Enixs most popular action titles on a single disc,[31],Missing,Missing,,,,,,
12,53298,Lords of the Fallen: Limited Edition,"[6, 48, 49]",This edition includes  The Monks Decipher DLC offers more singleplayer action uncovering hidden secrets throughout the three worlds Harkyn explores in Lords of the Fallen  The Demonic Weapons pack includes three devastating new weapons  Soundtrack,"[12, 25]",Missing,Missing,,,,,,
13,52642,Battlefield 4: Premium Edition,"[6, 48, 49]",Embrace unrivaled destruction in Battlefield 4 Revel in the glorious chaos of allout war packed with rewarding tactical challenges in an interactive environment,[5],Missing,Missing,,,,,,
14,47455,Naruto Shippuden: Ultimate Ninja Storm Revolution - Samurai Edition,"[9, 12]",Take your Naruto experience even further with the Samurai Edition including a Naruto figurine ingame costumes and more Take part in amazing battles between the most skilled ninjas in the Naruto universe Choose from over 100 playable and support characters to fit your playing style perfectly Enter the Ninja World Tournament and battle against 3 ninjas with the aim to earn the most battle orbs Master the new gameplay mechanics and dominate your opponents with your superior skill,[4],Missing,Missing,,,,,,
