,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[13, 14]",268862,WWE 2K15: Showcase Season Pass,"[9, 12, 48, 49]",The 2K Showcase Season Pass brings you more action and excitement from WWE 2K15s allnew 2K Showcase Mode Save over 20 on three 2K Showcase AddOn Packs and receive the Exclusive Character Paige 2K Showcase lets you relive groundbreaking rivalries and matches in this allnew single player campaign told through your gameplay and historic WWE footage,Missing,Missing,,,,,,
1,[5],261088,Call of Duty: Advanced Warfare - Day Zero Edition,"[6, 9, 12, 48, 49]",This Day Zero Edition features two custom weapons the AK12G Assault Rifle and CrossbowB2 Finally the Day Zero Edition also includes the Advanced Arsenal Bullet Brass exoskeleton and EM1 Quantum directed energy weapon Play before the rest of the world with the Call of Duty Advanced Warfare  Day Zero Edition,Missing,Missing,,,,,,
2,Missing,254876,Minecraft: Doctor Who Skin Pack Volume 2,[49],Missing,Missing,Missing,,,,,,
3,"[8, 33]",233345,The Never Ending Game,[12],Play this addicting and never ending game Good luck with this crazy challenging game,Missing,Missing,,,,,,
4,"[12, 31]",230498,Assassin's Creed: Unity - Bastille Edition,"[6, 48, 49]",Paris 1789 The French Revolution turns a oncemagnificent city into a place of terror and chaos Its cobblestoned streets run red with the blood of commoners who dare to rise up against an oppressive aristocracy Yet as the nation tears itself apart a young man named Arno will embark upon an extraordinary journey to expose the true powers behind the Revolution His pursuit will throw him into the middle of a ruthless struggle for the fate of a nation and transform him into a true Master Assassin  The Bastille Edition contains a steelbook case an artbook an envelope with two lithographs soundtrack cd and bonus missions The Chemical Revolution and The American Prisoner,Missing,Missing,,,,,,
5,[31],222679,Assassin's Creed Unity: The Chemical Revolution,"[6, 48, 49]",In this extra mission help Lavoisier considered to be the Father of Modern Chemistry to escape from his kidnappers and recover his poison bomb formula,Missing,Missing,,,,,,
6,"[5, 12]",186629,Borderlands: The Pre-Sequel - Handsome Jack Doppelganger,"[6, 9, 12]",Play as the crazy and irresistible tyranttobe  or at least his double With the Beau Jack Double pack use your charms and quite simply your good looks to achieve your ends with your enemies Or put them where they belong with your inimitable jokes Or kill them It works well too,Missing,Missing,,,,,,
7,Missing,164684,LEGO Batman 3: Beyond Gotham - Deluxe Edition,[49],The Caped Crusader joins forces with the super heroes of the DC Comics universe and blasts off to outer space to stop the evil Brainiac from destroying Earth  The Season Pass will include six DLC packs each with a unique themed mission level with story and free play modes Players will be able to unlock a total of over 40 characters vehicles achievements and more ,Missing,Missing,,,,,,
8,[25],144181,Monster Hunter Frontier G6,"[6, 9, 12, 41, 46]",Season 6 of Monster Hunter Frontier G series,Missing,Missing,,,,,,
9,[31],136262,Assassin's Creed: Unity - Limited Edition,"[6, 48, 49]",The Limited Edition release of Assassins Creed Unity includes the base game and a code to download the Chemical Revolution mission which isnt available as standalone DLC  Paris 1789 The French Revolution turns a oncemagnificent city into a place of terror and chaos Its cobblestone streets run red with the blood of commoners who dared to rise up against the oppressive aristocracy As the nation tears itself apart a young man named Arno will embark on an extraordinary journey to expose the true powers behind the Revolution His pursuit will throw him into the middle of a ruthless struggle for the fate of a nation and transform him into a true Master Assassin  Introducing Assassins Creed Unity the nextgen evolution of the blockbuster franchise powered by an allnew game engine From the storming of the Bastille to the execution of King Louis XVI experience the French Revolution as never before and help the people of France carve an entirely new destiny,Missing,Missing,,,,,,
10,[5],123128,Sakura Famingo Archives,[12],Sakura Flamingo Archives is a Shoot Em Up Collection developed by MileStone Inc and published by Klon Co Ltd which was released in Japan in 2014,Missing,Missing,,,,,,
