,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[12, 31]",131981,Ara Fell: Enhanced Edition,"[6, 48, 49, 130]",Long long ago the elven sorcerers cast a spell to save the floating world of Ara Fell from destruction Instead they doomed it to fall from the sky By chance the fate of the world has been placed in the hands of a young woman Join her as she and her friends endeavor against all odds to save their homeland all while the clock ticks ever nearer the final hour,Ara Fell Enhanced Edition is a 16bit era Japanesestyle RPG by Stegosoft Games The new Enhanced Edition features a slew of upgrades including a revamped battle system new character classes and skills new side quests an overhauled UI upgraded crafting system new enchanting system enhanced aspect ratios new difficulty modes an autosave feature and more,Missing,,,,,,
1,[31],127054,Minecraft: Story Mode - Episode 6: A Portal to Mystery,"[6, 9, 12, 14, 34, 39, 48, 49]",Missing,Minecraft Story Mode is an adventure game set in a Minecraft world It is a fivepart episodic series that will take you to the Nether the Farlands the End and beyond You will drive how the story flows through the decisions you make what you say to people and how you say it and what you choose to do in moments of thrilling action,Missing,1.61,1.62,1.73,67.0,21.0,30.0
2,"[12, 13, 31]",121023,The Sims 4: Kids Room Stuff,"[6, 14, 48, 49, 167, 169]",Build kids bedrooms full of style Excite your Sims imagination with colorful new furniture and themed decorations ranging from space robots to fun flower flourishes  Collect and trade monster cards featuring your Sims favorite magical creatures Use cards in the electronic battle station to bring them to life and challenge friends to a monster duel thats sure to excite  With the allnew puppet theater and a bit of imagination Sims can tell whimsical stories to entertain an audience of family and friends  Get trendy playful clothing and hairstyles to showcase their individual style or highlight their obsession with the latest tween heartthrob So dreamy,Spark the imagination of Sims with new items to personalize kids bedrooms in The Sims 4 Kids Room Stuff Collect and trade monster cards then bring them to life in the electronic battle station Put on a puppet show to tell stories and entertain family and friends Show off your kid Sims with new clothing items and hairstyles that express their style,Missing,,,,,,
3,Missing,75686,Tropico 5: Paradise Lost,[49],Missing,Paradise Lost the second DLC bundle pack for Tropico 5 serves up three thrilling scenarios complete with new buildings and additional avatar accessories In Surfs Up El Presidente must look to the dolphins to save the world from an intergalactic menace Then get in touch with your humanitarian side in Gone Green and transform Tropico into a sustainable paradise Finally you can help El Prez seize ultimate power in Supervillain becoming the worlds most dangerous ruler and achieving global domination Also included in Paradise Lost are three swinging new music tracks and three new maps for each game mode,Missing,,,,,,
4,"[9, 13, 15, 32]",74280,Station Manager,"[6, 39, 48, 49, 130, 169]",Missing,Simulation game for android and ios made by Kairosoft,Missing,0.0,0.0,0.0,0.0,0.0,0.0
5,"[9, 25, 31]",53271,LEGO Star Wars: The Force Awakens - Deluxe Edition,"[6, 48, 49]",Missing,Get the Deluxe Edition now and gain access to the main game and season pass content  The No 1 LEGO videogame franchise triumphantly returns with a funfilled humorous journey based on the blockbuster film The game will also feature brand new story content from the Star Wars Universe that explores the time between Star Wars Return of the Jedi and Star Wars The Force Awakens,Missing,,,,,,
6,"[8, 31]",23508,Claire: Extended Cut,"[46, 48, 49, 130]",Missing,Claire Extended Cut is a 2D retrostyled sidescrolling horrorsurvival game developed and published by Hailstorm Games  Claire is a young woman who just wants her mom to get better during a hospital visit When a simple trip to get coffee down the hall turns into a living nightmarish adventure its up to you and our found German shepherd companion to explore the environments for answers Keep your sanity as the dark entities chase you and build your karma helping people along the way,Missing,3.46,4.57,5.26,57.0,46.0,77.0
7,[31],19855,Just Cause 3: Mech Land Assault,"[6, 48, 49]",Missing,Just Cause 3 Mech Land Assault is the second PDLC pack from the Air Land  Sea Expansion pass Infiltrate the mysterious secret island of Lacrima to liberate rebels held prisoner by the ruthless soldiers of the Black Hand Hijack powerful Mechs and use their incredible Gravity Weapon to hurl and smash the enemy into pieces  This content pack includes a brand new island missions challenges two heavily armed Mechs equipped with the GRIP Gravity Weapon the Bavarium Power Core energy rifle and a Rebel Mech buddy all of which can be carried over into the main game,Missing,,,,,,
8,"[15, 31, 32]",19708,Lost Sea,"[3, 6, 14, 48, 49, 130]",Missing,Lost Sea is an explorative actionadventure game set inside the perilous environment of the Bermuda Triangle Select your hero and recruit a ragtag crew of survivors who can help you navigate the hazardous island chain Scour each island for the mysterious tablets you need to navigate the waters of the Lost Sea and venture closer to the mysterious portal that you hope will transport you home,Missing,5.72,0.0,0.0,35.0,2.0,1.0
9,"[5, 31]",19540,Tom Clancy's The Division: Underground,"[6, 48, 49]",Missing,In the first DLC expansion Underground you dive into the underbelly of New York with up to three friends to save what remains Explore the randomly generated mazes of subways tunnels and sewers to fight deadly enemies and recover powerful loot Experience an allnew incursion and find the latest weapons gear and more,Missing,4.0,10.0,33.33,70.0,6.0,5.0
