,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,"[12, 31]",224469,Neverwinter: The Cloaked Ascendancy,"[6, 48, 49]",Neverwinter The Cloaked Ascendancy is the 11th campaign expansion module for the Neverwinter massivemultiplayer roleplaying game Released in February 2017 the expansion added a new campaign adventure zone skirmish and even more,Missing,Missing,,,,,,
1,Missing,213297,Sniper Elite 4: Target - Fuhrer,"[6, 48, 49, 130]",Hidden in a forgotten corner of the Mediterranean a secret Nazi Uboat facility threatens Allied shipping When agent Karl Fairburne attempts to assassinate the bases Commander he finds his target already dead executed in person by a shadowy visitor Karls mission has changed Target Führer Destroy the Uboat base and take down Hitler in as many ways as you can in this replayable campaign mission for 12 players,Missing,Missing,,,,,,
2,"[9, 31]",172625,LEGO Dimensions: Excalibur Batman Fun Pack,"[9, 12, 41, 48, 49]",Venture through the night with Excalibur Batman Build the Dark Knight and place him on the Lego Toy Pad to bring him into the Lego Dimensions multiverse Use Excalibur Batmans trusty sword to battle enemies on the streets of Gotham Unlock The Lego Batman Movie Adventure World and Battle Arena and then use Batmans Master Builder and Sword Switching abilities to win the day For even more superpower fun take a ride with the Bionic Steed and rebuild it into the BatRaptor and Ultrabat for additional ingame abilities,Missing,Missing,,,,,,
3,"[9, 31]",172576,LEGO Dimensions: The Lego Batman Movie Story Pack,"[9, 12, 41, 48, 49]",Defend the streets of Gotham in the allnew The Lego Batman Movie Story Pack featuring Batgirl and Robin Play the complete movie and band together with Batgirl and Robin to fight off the Joker and his team of villains in six allnew levels of Super Hero Fun Build an allnew BatComputer gateway for your Lego Toy Pad and send the crimefighting duo into the Lego Dimensions multiverse Use Batgirls Batarang glide and stealth abilities to reach areas with high security access Use Robins agility and dive skills for sneak access Transform Robin into the Nightwing utilize his vine cut and deflect moves for more crimefighting adventures Take flight into the night with the Batwing and rebuild it into The Black Thunder and BatTank Unlock The Lego Batman Movie Adventure World and Battle Arena for fun with your family and friends,Missing,Missing,,,,,,
4,[31],168744,Dragon Ball: Xenoverse 2 - Super Pack 2,"[49, 130]",Expand your experience with new exciting content 2 new playable characters Champa and Vados New story quests from DRAGON BALL SUPER 1 Additional Stage 8 New Attacks 3 New Costumes 1 Additional Vehicle Super Souls and Emotes,Missing,Missing,,,,,,
5,[14],168474,Steep: Winterfest Pack,"[6, 48, 49]",Dress up for the craziest party in the Steep Alps Shred the mountain with a brand new sport customize your style with fun and crazy outfits and get ready to test your skill in Winterfests insane exclusive challenges,Missing,Missing,,,,,,
6,"[4, 12, 31]",168161,Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto Next Generations,"[6, 48, 49]",Were celebrating with the Next Generations DLC which comes with a bonus theme and new playable characters Momoshiki Otsutsuki and Kinshiki Otsutsuki Thats not all 11 famous shinobi are joining the battle in new Borutoera costumes,Missing,Missing,,,,,,
7,"[10, 13, 14, 33]",133400,MX Nitro: Unleashed,"[6, 48, 49, 130]",MX Nitro Unleashed invites you to blaze into motocross racing nirvana Tear through new urban environments at blistering speeds including mean streets and a bustling subway system Freestyle through the air with 55 deathdefying tricks to earn Nitro speed boosts in your battles against new hardcore bosses Crash your way through reimagined levels packed with adrenalinepumping ramps and obstacles MX Nitro Unleashed expands upon the original MX Nitro with new tracks new bosses and new outfits The game also includes several improvements from the original including improved visuals from rider textures to the water and new Easy difficulty mode,Missing,Missing,7.36,0.0,0.0,55.0,2.0,2.0
8,"[2, 31]",119400,The Wardrobe: Even Better Edition,"[6, 48, 49, 130]",A protagonist overflowing with sarcasm cynicism and who continually breaks through the fourth wall More than 40 handillustrated and digitally colored locations populated with more than 70 characters and enriched by dozens of puzzles,Missing,Missing,,,,,,
9,"[7, 9, 33]",102864,Pentominon Transctiption,"[6, 49]",Enhanced edition of Pentominon originally published on Xbox 360 in 2009  A new mode was added the Essential Mode has the same rules as the Colorful but the players must surround the coloured block with the grey ones in order to increase their scores  This version was developed in 2017 by xisai and published on Xbox One and Windows 10 PCs by AstralSystem,Missing,Missing,,,,,,
10,"[4, 33]",76578,ACA Neo Geo: World Heroes,"[6, 39, 48, 49, 130]",Eight characters based on historical celebrities such as Hattori Hanzo and Rasputin will fight each other to become the worlds strongest champion,Missing,Missing,,,,,,
