,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,224154,Zaccaria Pinball: Electro-Mechanical Tables Pack,[49],Missing,Missing,Missing,Missing,,,,,,
1,221919,Minecraft: Village & Pillage,"[3, 6, 14, 34, 39, 48, 49, 74, 130, 132, 388]","[13, 31]",Minecraft Village  Pillage is a major update for Minecraft themed around revamping villages adding a new subset of illagers known as pillagers vindicators evokers and vexes and redesigning village architecture to match the biome where it is located This update also includes many new blocks and mobs a revamp of the crafting system by moving some functionalities to different blocks updates the taiga biome with foxes and berries and adds a new bamboo forest jungle variant along with pandas bamboo and The Texture Update allowing for a complete retexture of different items in the game,Missing,Missing,,,,,,
2,208691,Zaccaria Pinball: Solid-State Tables Pack,[49],Missing,Missing,Missing,Missing,,,,,,
3,207906,LEGO DC Super-Villains: Shazam! Movie Level Pack 1 & 2,"[6, 14, 48, 49, 130]","[9, 25, 31]",Download now to get access to Shazam Movie Level Pack 1  2 Control your favorite characters based on the Shazam film Play as Billy Batson Freddy Freeman and Pedro Shazam to fight against the evil Dr Sivana and his 7 Deadly Sins Level Pack 1  2 includes Shazam Freddy Shazam The Wizard Shazam Dr Sivana and more,Missing,Missing,,,,,,
4,168441,Starlink: Battle for Atlas - Collection Pack 2,"[6, 48, 49, 130]","[5, 12, 13, 31, 33]",Enhance your adventure and achieve victory with the Collection Pack 2 Complete your collection with new starships pilots and weapons The Collection Pack 2 includes the digital version of   Skullscream Starship Pack  Vigilance Starship Pack  Vantage Starship Pack  Startail Pilot Pack  Haywire Pilot Pack  Gauss Gun Weapon Pack ,Missing,Missing,,,,,,
5,168143,Trove: Mega Menagerie Pack,[49],[31],Set off for adventure with the supersized Mega Menagerie Pack Bursting with blocky goodness this epic pack contains more than 40 awesome items thatll help you style and profile across the multiverse,Missing,Missing,,,,,,
6,164779,Conan Exiles: Treasures of Turan Pack,[49],[12],The riches of the eastern kingdom of Turan await Build opulent palaces adorned with glittering statues tame rhinos and elephants as pack animals and dress yourself in the dazzling Turanian Phalanx armor,Missing,Missing,,,,,,
7,161793,Override: Mech City Brawl - Mirai,[49],[32],Overrides 4th DLC introduces Mirai the battlehardened plasma swordwielding Watchbot from a dystopian future He is a technologically advanced mech with exceptional hover and flying capabilities,Missing,Missing,,,,,,
8,154548,God's Trigger: O.M.G. Edition,"[6, 48, 49]","[9, 32]",Are you ready for nonstop brutal action where one pull of the trigger is enough to kill the enemy  or you First save the world in the most violent way possible Then enjoy Gods Trigger OMG Edition extra content,Missing,Missing,,,,,,
9,152605,Jurassic World Evolution: Carnivore Dinosaur Pack,"[6, 49]","[13, 15]",The Herrerasaurus Acrocanthosaurus  Proceratosaurus are ready to be unleashed into your park These menacing carnivorous predators will challenge any park manager Dont underestimate them the success of your park is at stake,Missing,Missing,,,,,,
10,144415,Forza Horizon 4: Barrett-Jackson Car Pack,"[6, 49]",[10],The BarrettJackson Car Pack is a downloadable car pack for Forza Horizon 4 released with Update 8 The pack is included with the Car Pass but can also be bought separately,Missing,Missing,,,,,,
11,136267,Mortal Kombat 11: Kollector's Edition,"[48, 49]",Missing,Mortal Kombat 11  Kollectors Edition contains the game Mortal Kombat 11 Premium Edition an exclusive steelcase  magne 11 scale Scorpion mask a Kollector Box and a certificate of authenticity,Missing,Missing,,,,,,
12,136107,Phantasy Star Online 2: Episode6 Stars,"[6, 48, 49, 130]","[12, 25, 33]",Largescale update 2019 Stars Episode 6 will be distributed from Wednesday April 24 In pursuit of SF which is the origin of PSO2 by fighting the enemy forces Photoner and Flash model that surpass the technology of Arcs Phantom a new successor class that uses 3 types of weapons Katana Assault Rifle and Rod Active as a debuffer class that protects allies with abnormal conditions and attack reduction skills to counter strong enemies Overwhelm the enemy with a variety of actions centered on technique And into space The new eightperson emergency quest End of Fleet Interception scheduled to be delivered in late May is the intercept operation of the flash models End of Fleet AIS Vega the trump card of the Arks counterattack and equipment for space combat Overturn the inferiority with the power of the Arcs In addition to the new episode of EPISODE 6 new characters will be added and community functions will be enhanced Go to the flash universe,Shiva and her cohorts Varuna and Mithra begin their assault on ARKS forces starting with an attack on Mothership Xiao During the raid Shiva successfully takes over the Mothership and gravely wounds Xiao forcing ARKS to retreat To save Xiao the heroes travel to Amduskia where Sarah merges a fragment of Xiaos consciousness with the body of a dormant Xion clone named Kashina to grant Xiao a new body  The player and Matoi are sent to Harukotan to thwart a Luminmech invasion and ally with Sukunahime to ensnare Shiva in a trap but are tricked into fighting Mithra Mithra is fatally wounded in battle and dies due to the trap but Shiva regains the upper hand and defeats the heroes Phaleg a member of Mother Cluster intervenes and rescues the heroes  Phaleg and ARKS are alerted to a Luminmech attack on Earth and the player returns to the Earth dimension to assist in the counterattack The player travels across Tokyo teaming up with allied forces on the planet as well as ARKS member Aika to repel the Photoners Following the assault Xiao reveals to the heroes a plan to use Omega to seal Shivas abilities on a universal scale,Missing,,,,,,
13,134218,Mortal Kombat 11: Special Edition,"[48, 49]",Missing,Amazon Exclusive Mortal Kombat 11 Special Edition includes Kold War Skarlet Skin DLC,Missing,Missing,,,,,,
14,133278,Mortal Kombat 11: Kombat Pack,"[6, 48, 49, 130, 170, 203]",[4],The Kombat Pack is the best way to upgrade your Mortal Kombat Standard Edition  The Kombat Pack includes  6 new addon playable characters including Shang Tsung Nightwolf Terminator T800 Sindel The Joker and Spawn  1 week early access to all addon characters  Skins  gear sets with each addon character  6 themed skin packs including the Klassic Arcade Ninjas Klassic Arcade Fighters and more,Missing,Missing,,,,,,
