first_release_date,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1665532800,263924,Overcooked! All You Can Eat : World Food Festival Update,"[6, 48, 49, 130, 167, 169]",Head back to the Onion Kingdom and celebrate World Food Day in this uberdelicious FREE update OUT NOW on Nintendo Switch PS4 PS5 Xbox One Xbox Series XS and Steam,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1666051200,254266,Minecraft: Batman,"[6, 34, 39, 48, 49, 130, 169]",Gotham City is in trouble but have no fear  Batman is here Fly through the night as the Caped Crusader and save the city from Harley Quinn The Joker The Penguin and more dastardly SuperVillains from the DC universe Explore the legendary Batcave utilize the BatGadgets in your Utility Belt and complete puzzles to repair the sabotaged Nether Portal and save Alfred,"[13, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1665705600,252641,Dragon Ball: The Breakers - Season 1,"[6, 48, 49, 130]",Caught in by an unexpected temporal phenomenon seven ordinary citizens find themselves stranded in a Temporal Seam they share their imprisonment with the Raider a menacing enemy from another timeline with an overwhelming power  Their only hope for survival is to break out from the Temporal Seam with the Super Time Machine but the Raider is on their tracks and becomes stronger minutebyminute In a race against time the cunning of Survivors clashes with the power of the Raider to break free or be broken,[4],Missing,Missing,nan,nan,nan,nan,nan,nan
1666742400,252432,DC Universe Online: Episode 44 - The Sins of Black Adam,"[6, 48, 49, 130]",Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1664928000,248423,Hell Let Loose: Upper Echelon,[169],Unlock access to join the Upper Echelon and take command of the front lines with these unique uniforms for the Commander Role Show off your rank and station with the Field Blue Heer Officer uniform for the German forces or stride out in your Summer Service uniform for the US,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
1665964800,243772,Fall Guys: Doc Glover Pack,"[6, 48, 49, 130, 167, 169]",Grab your next crown in style with this handy bundle  Includes Doc Glover Whole Costume 600 x ShowBucks,[8],Missing,Missing,nan,nan,nan,nan,nan,nan
1665964800,243771,Fall Guys: Pegwin Party Pack,"[6, 48, 49, 130, 167, 169]",Grab this bundle to make every Round a Pegwin Pursuit  Includes Pegwinner Whole Costume Pegwinging It Whole Costume Pegwhimsy Whole Costume 1000 x ShowBucks,[8],Missing,Missing,nan,nan,nan,nan,nan,nan
1665705600,237813,PGA Tour 2K23: Tiger Woods Signature Sunday Pack,[49],This pack includes  Red polo  Black pants  Black hat  TW golf shoes  TW golf belt  Tiger Bridgestone branded golf balls,"[12, 13, 14]",Missing,Missing,nan,nan,nan,nan,nan,nan
1666656000,234917,Generation Zero: Motorbikes Pack,"[6, 48, 49]",You can now travel through Östertörn on new types of Motorbikes Its faster Its louder Its more exciting The motorbikes will get you places quicker but theyll need fuel to drive Plan your travel strategically so you wont run out of gasoline unexpectedly and be sure to check out abandoned cars and gas stations and find jerry cans to fuel up Or craft the fuel by yourself You can ride on 3 different models Each of them has their own strengths and weaknesses,"[5, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1665100800,230985,Nickelodeon All-Star Brawl: Rocko Brawler Pack,"[6, 48, 49, 130, 167, 169]",Buy the Rocko Brawler Pack to unlock everyones favorite wallaby Nickelodeon AllStar Brawl game required sold separately,[4],Missing,Missing,nan,nan,nan,nan,nan,nan
1666915200,230974,Resident Evil Village: The Mercenaries - Additional Orders,"[6, 48, 49, 167, 169]",The Mercenaries is a beloved fastpaced actionpacked extra game mode from the Resident Evil series Access the latest incarnation of this bonus mode after completing the main game now featuring a first person perspective and more,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
1666224000,227393,Mutant Football League: New Yuck Threats,"[6, 48, 49, 130, 167, 169]",The Threats have done a great job of building around QB Stack Killson and infusing talent on both sides of the ball With three 1 picks in this years draft they added speed on the offense and nastiness on the DLine The secondary covers like a blanket and stings like a bee with the additions of DJ Bleed Jr and Saucy Charredner This is a hungry young team ready to take off,"[4, 11, 14]",Missing,Missing,nan,nan,nan,nan,nan,nan
1666828800,227339,Evil Dead: The Game - Hail to the King Bundle,"[49, 169]",Dive into the release of the Hail to the King update with exciting new content,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
1666915200,227109,Fit Adventures Bundle,"[49, 169]",Three fantasy scifi and steampunk games in one bundle,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1666310400,227103,Gotham Knights: Visionary Pack,[49],Get the Visionary Pack to expand your cosmetic experience The Visionary Pack includes the Exclusive Knightwatch by Jim Lee Transmog Beyond Suitstyle Salvaging Boosted Gear 3 Suit Colorways and an exclusive Emote,"[12, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
