first_release_date,id,name,platforms,summary,storyline,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1674691200,274997,Cogen: Sword of Rewind: Additional Story & Playable Character - Akasha,"[6, 48, 49, 169]",This DLC pack adds the following content to Cogen Sword of Rewind   Bonus Playable Character Akasha  Additional Story for Akasha  New Stage Extra 11  New Stage Extra 12 Unlocked after beating Extra 11  New Stage Extra 13 Unlocked after beating Extra 12,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1675123200,273526,Ghostbusters: Spirits Unleashed - Free Update #1,"[6, 48, 49, 167, 169]",The first free update for Ghostbusters Spirits Unleashed adds the MOROS Medical Facility map the Glutton ghost type with 3 new ghosts 2 new gadgets the PKE Meter EctoZapper attachment and the Ghost Swapping option that allows ghosts to change ghost type midmatch  Alongside the general rebalancing and bug fixes it also adds a set of new customization options with Gear Shells to keep a visual look when using compatible gear Morph Targets to change a characters face new suit patches and cork board display in the Firehouse for them,Closed for good in the late 1980s MOROS Medical has recently been purchased by a private investor group who have plans to renovate and reopen the facility Unfortunately for them its being plagued by ghostly activity and construction crews refuse to enter this haunted health center,Missing,Missing,nan,nan,nan,nan,nan,nan
1672617600,243664,Fall Guys: Stunning Sealife Pack,"[6, 48, 49, 130, 167, 169]",Make waves in your next Show with these deep sea delights  Includes Pinchy McNab Whole Costume U Jelly Whole Costume Pumped Up Puffer Whole Costume 2000 x ShowBucks,Missing,[8],Missing,nan,nan,nan,nan,nan,nan
1673222400,243657,Fall Guys: Horns Aplenty Pack,"[6, 48, 49, 130, 167, 169]",Tune up and play your next Show at full blast  Includes Top Brass Whole Costume Tuba Or Not Tuba Whole Costume 600 x ShowBucks,Missing,[8],Missing,nan,nan,nan,nan,nan,nan
1674172800,241842,Baldo: The Elemental Temples,"[6, 48, 49, 130]",Baldos free update The Elemental Temples includes enemies youll encounter and more featuring four new dungeons and more The update is a new standalone adventure for lovers of complex dungeons and the story follows the events after the Three Fairies DLC and before the Guardian Owls,Missing,[31],Missing,nan,nan,nan,nan,nan,nan
1672963200,239049,Horror Tale 1: Kidnapper,"[6, 48, 49]",Start a scary adventure and be the first to solve all the mysteries of this horror game,Missing,[13],Missing,nan,nan,nan,nan,nan,nan
1674086400,234701,Persona 3 Portable,"[6, 48, 49, 130, 169]",If I say theres an hour hidden between one day and the next would you believe me Master the power of the heart Persona and uncover the tragic truth of the Dark Hour  Experience the iconic critically acclaimed RPG that reinvented the Persona series Persona 3 Portable,Every night when the clock strikes midnight a phenomenon called The Dark Hour occurs During this hidden hour of the day normal humans are transmogrified into coffinlike objects unaware of the world around them Whats more evil creatures called Shadows appear to prey on the minds of humans inflicting a zombielike condition commonly known as Apathy Syndrome  You are a New Transfer Student moving to Tatsumi Port Island to attend Gekkoukan High School Soon after settling into your new dormitory you are discovered to have the potential the ability to remain as a human within the Dark Hour and to fight the Shadows with a mysterious innerpower called Persona Recruited into the Specialized Extracurricular Execution Squad SEES a secret student society dedicated to fighting the Shadows you now have to balance your school life your social life and your new demonhunting life,"[12, 31, 34]",Missing,nan,nan,nan,nan,nan,nan
1675123200,234355,Age of Empires II: Deluxe Definitive Edition Bundle,"[49, 169]",Start your historical journey with the deluxe bundle designed to give you the most comprehensive Age of Empires II experience Includes Age of Empires II Definitive Edition plus three addons including Lords of the West Dawn of the Dukes and Dynasties of India,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1675123200,234272,SpongeBob SquarePants: The Cosmic Shake - Costume Pack,"[49, 169]",The Official Cosmic Shake Costume Pack including 7 additional SpongeBob costumes Pizza glide as Opposite Day Bob or karate kick as Band Geek while you make your way through this brandnew SpongeBob adventure,Missing,[8],Missing,nan,nan,nan,nan,nan,nan
1675123200,234250,PowerWash Simulator: Tomb Raider Content Pack,"[6, 48, 49, 130, 167, 169]",Whilst some seek the thrill of adventure others prefer good clean fun  thats where you come in Grapple with grime in the ultimate quest to defeat all dirt covering Croft Manor and its grounds along with Laras trusty vehicles  Laras childhood home is impressive but in need of some serious TLC to restore it to its full potential  rumour has it the owner much prefers a life of danger to domesticity Youve been commissioned to undertake the ultimate cleaning caper  Your client may be used to lessthanideal conditions out on the trail but only the very best will do when it comes to the Croft residence Unwind and blast away every speck of dirt you can track down whilst Lara regales you with tales of past adventures,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1674691200,233877,GoldenEye 007,"[49, 169]",James Bond returns Relive the timeless gameplay that defined a gaming generation as you guide 007 through a global adventure Use stealth and force as you see fit to complete your objectives enjoying achievements and upgraded features that bring Bond to a new age,With 20 campaign missions to master at a range of difficulty levels unlockable cheat modes and a truly classic splitscreen multiplayer mode for up to four players GoldenEye preserves all the action and excitement of the original game  while adding Xbox achievements and a raft of new features that enhance its timeless gameplay for the modern day  Whether youre a veteran player or a rookie agent taking on this genredefining mission for the first time GoldenEye is a legendary gaming experience not to be missed,[5],Missing,8.69,13.53,22.06,82.0,451.0,298.0
1674777600,233861,It's Kooky + Brawl Chess,[49],Look for quirks in the new hidden object game  Its Kooky Are you ready to become a chess champion Choose your hero and challenge other players in the game of kings,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1674777600,233860,UnderDungeon + Clumsy Rush,[49],Become the deadliest delivery cat in the world Intense fights multiple weapons and demanding boss fights Join Kimuto on his hardest first day on the job Clumsy Rush is a guaranteed dose of a laugh for friends and family,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1674777600,233859,Reky + Brawl Chess,[49],Feast your eyes on crystal clear visuals of reky Interact with your environment and find a way to reach the finishingsquare Are you ready to become a chess champion Choose your hero and challenge other players in the game of kings,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1675036800,233686,Amabilly,"[6, 49, 130, 169]",Amabilly is a lovely girl who loves rock n roll and this story is about her greatest adventure With her favorite guitar as a weapon she faces strange creatures and even the greatest of the challenges Its time to Rock,Missing,"[7, 8, 9, 31, 32]",Missing,nan,nan,nan,nan,nan,nan
