,id,name,platforms,storyline,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
0,274255,Ghostbusters: Spirits Unleashed - Free Update #2,"[6, 48, 49, 167, 169]",Strange activity reported over at the Sebastian C Yarborough County Courthouse has made it difficult to conduct legal proceedings It would seem that decades of dark activity and paranormal contact have made the courthouse a hotbed for ghostly activity,The second free update for Ghostbusters Spirits Unleashed added the SCY County Courthouse map the Possessor ghost type with 3 new ghosts Trap Minions that can be placed in objects or on the ground and Dredges that can be summoned to help distract the Busters  Alongside the general rebalancing and bug fixes it also added more customization options with new Gear Shells and cosmetics based on the Extreme Ghostbusters Cartoon series makeup styles with numerous color options shirt logos for compatible tops gear tints and new Ghostbuster cosmetics including footwear a skirt and kilt bottom,Missing,Missing,,,,,,
1,257831,Path of Exile: Crucible,"[6, 48, 49]",Missing,In Path of Exile Crucible youll learn about the ancient titans who once shaped the primordial surface of Wraeclast If youre powerful enough you will earn the ability to forge their power onto your weapons  Our April expansion introduces the Crucible challenge league nine new Vaal Skills Atlas Gateways over ten new Unique Items and improvements to Breach Abyss Passive Tree Masteries the Saboteur the Pathfinder Ruthless and much more,Missing,Missing,,,,,,
2,254564,Guilty Gear: Strive - Additional Battle Stage: Fairy's Forest Factory,"[6, 48, 49, 167, 169]",Missing,The additional battle stage Fairys Forest Factory becomes selectable ingame,[4],Missing,,,,,,
3,252206,Evil Dead: The Game - Who's Your Daddy Bundle,"[6, 49, 169]",Missing,Evil Dead The Game  Whos Your Daddy Bundle Packed with fan favorites from the STARZ TV series Ash vs Evil Dead  New Survivor Brock Williams  New Demon Schemer  New Outfits  Ash Ashy Slashy  Amanda Duty Calls  Pablo El Brujo Especial,[5],Missing,,,,,,
4,250309,Guilty Gear: Strive - Additional Character 8: Bedman?,"[6, 48, 49, 167, 169]",The bed can continue to act independently after Bedmans death due to the program he entered in his last moments Delilah recovers it after it plays a part in stopping her when she loses control It mainly takes action to protect Delilah Although capable of simple communication complex conversation taking the other party into consideration and storage of daily memories is out of the scope of its abilities,Adds Bedman to the roster of playable characters,[4],Missing,,,,,,
5,249585,Cult of the Lamb: Cultist and Heretic Pack Bundle,"[49, 130, 169]",Missing,A pack bundle for Cult of the Lamb that includes the Cultist  the Heretic packs,Missing,Missing,,,,,,
6,248600,DC Universe Online: Episode 45 - Shock to the System,"[6, 48, 49, 130]",Missing,Shock to the System is tier 6 playable content that contains the open world Dakota City the duo Shock Abandoned Subway the alert Shock MetaTherapy Clinic and the raid Shock The Terrorium,[12],Missing,,,,,,
7,248094,Infernax: Deux or Die,"[6, 48, 49, 169]",Missing,The update will bring a new playable character into the fray Cervul the Squire a wellrounded lad who sports deadly talents in both axe throwing and toolassisted combat  It also incorporates coop play in Infernaxs fanfavorite gun mode perfect for players keen on wielding maximum firepower against the games monstrous beasts,"[8, 12, 31, 32, 33]",Missing,,,,,,
8,248093,Meet Your Maker: Scorched Necropolis,"[6, 48, 49, 167, 169]",Missing,Meet Your Makers Scorched Necropolis Collection invites players to build and raid Outposts worthy of the Pharaohs themselves Use ancientEgyptianinspired blocks props weapons and Custodian Suits to create and infiltrate monumental tombs unlike any in the wasteland,"[5, 15, 24]",Missing,,,,,,
9,247582,Hasbro Kids Bundle,"[49, 130, 169]",Missing,An Outright Games bundle in support of UNICEF  Featuring a collection of family fun games available to purchase for a limited time,Missing,Missing,,,,,,
10,247140,TramSim: Console Edition,"[48, 167, 169]",Missing,Urban Transport comes to life in TramSim Console Edition Experience photorealism in two European cities Vienna  Munich no matter where you are in the world and drive realistic trams on a variety of lines Run to the timetable and face unique challenges there is gameplay for every taste,[13],Missing,,,,,,
11,247139,TramSim: Console Edition - Deluxe,"[48, 167, 169]",Missing,Urban Transport comes to life in TramSim Console Edition  Deluxe Experience more with Munich and Vienna including additional content for the city of Vienna the ULF Type Tram and the detailed Vienna Depot Run to the timetable and face unique challenges there is gameplay for every taste,Missing,Missing,,,,,,
12,247138,RimWorld: Console Edition - Chronicles Bundle,[49],Missing,The Chronicles Bundle includes  RimWorld Console Edition  RimWorld Console Edition  Royalty DLC  RimWorld Console Edition  Ideology DLC,Missing,Missing,,,,,,
13,246922,Cult of the Lamb: Heretic Pack,"[6, 49, 130]",Missing,Show your devotion to the Old Faith with Cult of the Lamb Heretic Pack This cosmetic set includes new Follower forms a set of dastardly decorations for your Cult and Fleece of the Old Faith for the Lamb to wear,"[15, 31, 32]",Missing,,,,,,
14,246901,PowerWash Simulator: The Muckingham Files,"[6, 48, 49, 130, 167, 169]",Missing,The Muckingham Files will take you to neverbeforeseen places from the original universe of the base game with new characters locations and stories Get to know more about your stomping ground and its inhabitants as the most indemand power washer in town,Missing,Missing,,,,,,
15,246894,Paratopic + Urban Flow,[49],Missing,Experience two unique and captivating games with the Paratopic  Urban Flow bundle on Xbox  Paratopic  Enter a fever dream world with Paratopic an experimental horror game that takes you on a thrilling narrativedriven adventure Unravel the stories of three characters through numerous vignettes and explore the detritus of forbidden industry  Urban Flow  Control the traffic lights and ensure that everything runs smoothly in Urban Flow a game about the subtle beauty of city streets filled with cars moving in perfect harmony With over 150 levels and local coop mode Urban Flow offers hours of entertainment for players of all ages  Discover the subtle beauty of city streets and unravel thrilling stories with the Paratopic  Urban Flow bundle on Xbox Dont wait any longer grab your copy today and experience the best of both worlds,Missing,Missing,,,,,,
16,246783,Catacomb Master,"[49, 169]",Missing,Catacomb Master is a 2d platform game in which you have to play as a treasure hunter cat Go down into the depths of the catacombs for treasures use your bow and arrows test your ingenuity  Find treasures to become a true Catacomb Master,[8],Missing,0.0,0.0,0.0,0.0,0.0,0.0
17,246633,Xel: Complete Edition,"[49, 130, 169]",Missing,XEL is an epic 3D scifi fantasy actionadventure,"[12, 31]",Missing,,,,,,
18,246573,Back to Childhood: Classic Games Collection,"[49, 130, 169]",Missing,Meet and play with familiar faces from your childhood in this bundle that feels like a cartoon break after school,[31],Missing,,,,,,
19,246572,Gotta Go Fast: Racing Collection,"[49, 130, 169]",Missing,Speed up to surpass yourself,[10],Missing,,,,,,
20,246571,Deceive Inc.: Misery Empire,"[6, 167, 169]",Missing,A ghost from Aces past has returned to break hearts and take names in Misery Empire Deceive Incs first seasonal catalog update Featuring tons of gameplay improvements and fixes over 50 exclusive new items to unlock and Red  the devilishly charming new Scoundrel Agent,"[5, 24, 32]",Missing,,,,,,
21,246451,Teslagrad Power Pack Edition,"[49, 130, 169]",Missing,Return to the indie classic Teslagrad and discover another tower in the magnetic North in Teslagrad 2,"[8, 9, 31]",Missing,,,,,,
22,246407,Teslagrad Remastered,"[6, 48, 49, 130, 167, 169]",The Kingdom of Elektropia is under siege by a tyrant king who rules over its people with an iron fist When a citywide manhunt comes for him a young boy escapes into the Tesla Tower Once home to a sect of technological wizards known as the Teslamancers it is now a forgotten vault of ancient technologies and forgotten history You are on your own with only the tools of the lost Teslamancers and your wits to survive,Return to the indie classic Teslagrad recharged to provide the ultimate electromagnetic experience Escape a tyrant king master the art of Teslamancy and uncover the secrets buried deep within the Tesla Tower in this puzzleplatforming adventure,"[8, 9, 31, 32]",Missing,4.79,5.0,6.35,54.0,7.0,8.0
23,246406,Cult of the Lamb: Relics of the Old Faith,"[6, 14, 48, 49, 130, 167, 169]",Missing,This update adds new relics fleeces attacks followers buildings crusades minibosses encounters quests harder bosses and a photo mode with stickers,"[12, 13, 15, 25, 31, 32]",Missing,,,,,,
