first_release_date,id,name,platforms,storyline,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1692835200,265831,The Expanse: A Telltale Series - Episode 3: First Ones,"[6, 48, 49, 167, 169]",The trail that started with the UNN Urshinabi wreckage leads the crew of The Artemis to a mysterious abandoned station No records save for a mysterious message and whats left behind await Drummer in the depths of the station Is there something they could still salvage inside Maybe the facilitys MK Core holds some answers,Experience the exciting universe of The Expanse like never before in Telltales latest adventure The Expanse A Telltale Series Follow Cara Gee who reprises her role as Camina Drummer and explore the dangerous and uncharted edges of the Belt aboard the the Artemis From scavenging wrecked ships in a zerog environment to surviving a mutiny to combating fearsome pirates you make the difficult choices and reveal Camina Drummers resolve in this latest Telltale adventure,Missing,Missing,nan,nan,nan,nan,nan,nan
1691625600,265830,The Expanse: A Telltale Series - Episode 2: Hunting Grounds,"[6, 48, 49, 167, 169]",A routine scavenging mission in the Belt has turned into a deadly standoff with relentless pirates Camina Drummer as the new captain faces her first test outnumbered and outgunned the crew of The Artemis must formulate an escape plan and gather the supplies desperately needed to get away,Experience the exciting universe of The Expanse like never before in Telltales latest adventure The Expanse A Telltale Series Follow Cara Gee who reprises her role as Camina Drummer and explore the dangerous and uncharted edges of the Belt aboard the the Artemis From scavenging wrecked ships in a zerog environment to surviving a mutiny to combating fearsome pirates you make the difficult choices and reveal Camina Drummers resolve in this latest Telltale adventure,Missing,Missing,nan,nan,nan,nan,nan,nan
1692835200,264832,Guilty Gear: Strive - Season Pass 3,"[6, 48, 49, 167, 169]",Missing,An exciting season pass that includes 4 additional playable characters stages and season 3 pass bonus character colors as additional DLC for the Guilty Gear Strive game  Season Pass 3 includes 4 characters 2 stages and 2 color packs for the new characters The first pack unlocks 6 color variations including the ultimate edition colors and the second unlocks 3 color variations that are exclusive to the Season Pass,Missing,Missing,nan,nan,nan,nan,nan,nan
1692835200,264828,Guilty Gear: Strive - Season 3 Character Additional Colors,"[6, 48, 49, 167, 169]",Missing,An additional color pack including 6 colors for the 4 additional characters of GGST Season 3 total of 24 colors,Missing,Missing,nan,nan,nan,nan,nan,nan
1692316800,264387,The Texas Chain Saw Massacre: Chainsaw Skin Variants,"[6, 48, 49, 167, 169]",Missing,Show off your twisted personality with these three new skins for Leatherfaces chainsaw Includes the Pristine Stickers and Rusty variants Slaughter with style,[32],Missing,nan,nan,nan,nan,nan,nan
1693440000,264337,PowerWash Simulator: The Muckingham Files 2,"[6, 48, 49, 130, 167, 169]",Missing,Three new filthy maps have arrived in PowerWash Simulator in the latest instalment of The Muckingham Files a series of free content updates expanding the games original universe Whilst residents dish the dirt on your favourite towns antics youll be busy cleaning up their messes as youre tasked with dedirtying an Excavator a Spanish Villa and a Paintball Arena,Missing,Missing,nan,nan,nan,nan,nan,nan
1693353600,264161,Call of the Wild: The Angler - Launch Edition,"[49, 169]",Missing,Be free to fish where you choose in a unique and approachable open world fishing experience Explore the great outdoors on your own or with friends and find the catch of a lifetime,Missing,Missing,nan,nan,nan,nan,nan,nan
1693353600,264133,Call of the Wild: The Angler - Deluxe Edition,"[49, 169]",Missing,Be free to fish where you choose in a unique and approachable open world fishing experience Explore the great outdoors on your own or with friends and find the catch of a lifetime,Missing,Missing,nan,nan,nan,nan,nan,nan
1693267200,263939,Dead by Daylight: Alien Chapter Pack,"[6, 48, 49, 130, 167, 169]",Missing,Dead by Daylights Alien Chapter brings two iconic characters into The Fog new Killer the Xenomorph and new Survivor Ellen Ripley A new Map Nostromo Wreckage is available for all players This Chapter Pack unlocks the Motion Tracker Charm as well as the Very Rare Back in Action outfit for Ellen Ripley,Missing,Missing,nan,nan,nan,nan,nan,nan
1693267200,263897,"River City Girls 1, 2, and Zero Bundle","[48, 49, 130, 167, 169]",Missing,Clean up the mean streets of River City across three hardhitting knucklebusting beatemups River City Girls River City Girls 2 and River City Girls Zero,"[4, 12, 31]",Missing,nan,nan,nan,nan,nan,nan
1692835200,263530,Dawn of the Monsters: Full Game plus Arcade + Character DLC Pack Bundle,"[49, 130, 169]",Missing,Experience monstrous beatemup action with the full Dawn of the Monsters game plus the DLC in one kaijucrushing combo,"[31, 33]",Missing,nan,nan,nan,nan,nan,nan
1692835200,263529,Dawn of the Monsters: Arcade + Character DLC Pack,"[49, 130, 169]",Missing,Experience monstrous beatemup action with the full Dawn of the Monsters game plus the DLC in one kaijucrushing combo,Missing,Missing,nan,nan,nan,nan,nan,nan
1692921600,263516,Riders Republic: Skate Edition,"[6, 48, 49, 167, 169]",Missing,Shred the Ridge like never before with Riders Republic Skate Edition Hop on your board and ride across brandnew skate parks The Skate Edition includes the base game and the Skate addon,Missing,Missing,nan,nan,nan,nan,nan,nan
1692921600,263515,Riders Republic: Complete Edition,"[6, 48, 49, 167, 169]",Missing,With the Riders Republic Complete Edition face no restrictions and shred like there is no tomorrow Enjoy the skateboard BMX and hoverboard for a unique urban riding experience through the Republics vibrant open world Build your legend with original sports racing bike mountain bike ski snowboard and wingsuit,Missing,Missing,nan,nan,nan,nan,nan,nan
1692921600,263514,Riders Republic: 360 Edition,"[6, 48, 49, 167, 169]",Missing,With the Riders Republic 360 Edition take your experience to the next level Enjoy the skate and hoverboard for a unique freeriding experience across the Republics vibrant open world Build your legend with original sports bike ski snowboard and wingsuit,Missing,Missing,nan,nan,nan,nan,nan,nan
1692835200,263513,Guilty Gear: Strive - Daredevil Edition,"[6, 48, 49, 167, 169]",Missing,The Daredevil Edition of Guilty Gear Strive includes the base game Season Pass 1 Season Pass 2 Season Pass 3 the Ultimate Edition Content Kit and the Guilty Gear 25th Anniversary Special Additional Color Pack  Season Pass 1 includes 5 characters 2 stages an exclusive story expansion and the Additional Character Color Pack which adds 5 color variations for all 20 characters announced with its release  Season Pass 2 and 3 includes 4 characters 2 stages and a Color Pack which unlocks 6 color variations for the 4 characters in the related pass Season Pass 3 also has an exclusive Color Pack with 3 additional color variations for its characters that missed both 25th Anniversary Color Packs  Ultimate Edition Contents Kit includes the Digital Soundtrack Digital Artwork and the Ultimate Edition Special Colors which adds 1 color variant for all 20 characters available with Season Pass 1 A color variant in the Season Pass 2 and 3 Color Packs matches the Ultimate Edition color variation for their characters  The Guilty Gear 25th Anniversary Special Additional Color Pack unlocks 2 color variations for the 24 characters available at the end of Season Pass 2,[4],Missing,nan,nan,nan,nan,nan,nan
1692921600,263511,Armored Core VI Fires of Rubicon: Deluxe Edition,"[49, 169]",Missing,The Deluxe Edition includes  Full game  Exclusive Digital Artbook  Original Soundtrack Allows players to view concept art and listen to ingame music  A new action game based on the core concept of the Armored Core series that utilizes the knowledge and experience gained from FromSoftwares recent action game development,Missing,Missing,nan,nan,nan,nan,nan,nan
1693440000,263495,QUByte Classics: Gourmet Warriors,"[48, 49, 130]",Missing,Save the city from demonic mutant robots attempting to take over,"[4, 31, 33]",Missing,nan,nan,nan,nan,nan,nan
1692921600,263398,Fortnite: Chapter 4 - Season 4: Last Resort,"[6, 48, 49, 130, 167, 169]",Vampire kado thorne has made the island his home in fortnite battle royale chapter 4 season 4 draining the islands wealth and treasures to fund some pretty fancy real estate sanguine suites relentless retreat and eclipsed estate heist goods from thornes properties to take back what belongs to the island  and more importantly  to thwart thornes ultimate plan the fate of the island is at stake and thieverys the last resort so are you in,A season of Fortnite Chapter 4  The fate of the Islands at stake in Fortnite Battle Royale Chapter 4 Season 4 and thieverys the last resort Are you in,[5],Missing,nan,nan,nan,nan,nan,nan
