first_release_date,genres,id,name,platforms,storyline,summary,rating
741398400,"[5, 8]",84774,B.O.B.,"[19, 29, 38]",When BOB crashes his dads space car on the way to pick up his date he finds himself stranded on a hostile asteroid filled with enemies By collecting power ups and using fast reflexes BOB tries to find his way off the asteroid and to his date BOB fights his way through three strange worlds in total encountering several particularly enormous or swift enemies bosses along the way and participating in several cartrace levels There were several different types of setting for each level including domed space colony cities large alien hivetype areas strange biomechanical facilities ancient and apparently haunted temples and cavernous magma chambers Some of these settings only appeared on certain worlds  At the end of each world BOB manages to discover a new spacecar to allow him to continue on his journey The first two both fail him under comical circumstances resulting in him becoming trapped on an entirely new alien world With the final car BOB is at last able to meet up with his date who is revealed to be a large blue female robot with a huge mouth who harshly berates BOB for his tardiness As she is yelling at him a slender red female robot flies past them on a space surfboard BOB frustrated with his obnoxious date declares Thats the girl for me and drives off in pursuit of the red female The game ends with a shot of BOB and his new date sitting on a small asteroid together staring out at the beauty of the cosmos in silence Behind them BOBs car in the backseat of which his date had stashed her surfboard stalls and drifts off into space presumably leaving them stranded together but neither of the lovers seem to notice,BOB known in Japan as Space Funky BOB is a video game that was released in 1993 It is a sidescrolling game a 2D shooter and a platform game,Missing
740966400,[14],44106,Smash Tennis,"[19, 58]",Missing,Smash Tennis is a tennis game that was created by Namcot for the Super Nintendo in 1993 It was released in Europe as Smash Tennis by Virgin Interactive The controls of Smash Tennis work similar to other tennis games and especially Namcos previous tennis game World Court Tennis the player moves the athlete over the court and presses buttons with the correct timing in order to win the match This time there is no story mode but a tournament mode instead Here the goal is to win the Grand Slam by playing various tournament matches However a match only has a single set There are 20 athletes both male and female to choose from which have different advantages and drawbacks,Missing
740361600,[12],42367,Shinseiki Odysselya,"[19, 58]",At the time of the Creation great beings first created the heaven and the hades then the earthly world between them and placed gods in each of them  Titano Guardians once the guardian deity of the earth went to war with the heavens which wanted to conquer the three realms and lost after a long war The Guardians were separated because their great power was sealed off by Tentei the head of the heaven world Then time passed and when the earthly world was again in danger a girl was sent to the past to break the seal of the gods,Shinseiki Odysselya is a RolePlaying game developed and published by Vic Tokai which was released in Japan in 1993,Missing
740966400,[10],18613,GP-1,[19],GP1 is a motorcycle racing game developed by Genki and published by Atlus for the SNES which was released in 1993,GP1 is a motorcycle racing game developed by Genki and published by Atlus for the SNES which was released in 1993,Missing
739152000,"[9, 10, 14]",6564,Rock n' Roll Racing,"[6, 19, 24, 29]",Missing,The game pits four racers against each other with up to two of them being playercontrolled and the rest being AI opponents Each race consists of four laps around tracks viewed from an isometric perspective which enables players to discern the presence of frequent sloping sections spread throughout the games various tracks In addition to navigating the turns racers must also maneuver hills and dips without falling or jumping over the guard rail at the tracks edge,83.00131150404441
738979200,[14],8995,NBA Jam,"[19, 29, 52, 78]",NBA Jam which featured 2on2 basketball is one of the first real playable basketball arcade games and is also one of the first sports games to feature NBAlicensed teams and players and their real digitized likenesses A key feature of NBA Jam is the exaggerated nature of the play  players jump many times their own height making slam dunks that defy both human capabilities and the laws of physics There are no fouls free throws or violations except goaltending and 24second violations This means the player is able to freely shove or elbow his opponent out of the way Additionally if a player makes three baskets in a row he becomes on fire and has unlimited turbo and increased shooting precision The on fire mode continues until the other team scores or until the player who is on fire scores 4 additional consecutive baskets while on fire The game is filled with easter eggs special features and players activated by initials or buttonjoystick combinations For example pressing A five times and right five times on any Genesis controller would activate Super Clean Floors This feature would cause characters to fall if they ran too fast or changed direction too quickly And players can enter special codes to unlock hidden players ranging from US President Bill Clinton to Hugo the Charlotte Hornets mascot On the arcade machine there is also a hidden tank game that allows the player to run around a 3D wireframe field In order to access this mode however the player must be able to toggle the onoff switch located behind the machine While the game was powering back on the player holds Up and all buttons on player 1 and Down and all buttons on player 2,NBA Jam is a basketball arcade game published and developed by Midway in 1993 It is the first entry in the NBA Jam series The main designer and programmer for this game was Mark Turmell Midway had previously released such sports games as Arch Rivals in 1989 High Impact in 1990 and Super High Impact in 1991 The gameplay of NBA Jam is based on Arch Rivals another 2on2 basketball video game However it was the release of NBA Jam that brought mainstream success to the genre The game became exceptionally popular and generated a significant amount of money for arcades after its release creating revenue of 1 billion in quarters In early 1994 the Amusement  Music Operators Association reported that NBA Jam had become the highestearning arcade game of all time The release of NBA Jam gave rise to a new genre of sports games which were based around fast actionpacked gameplay and exaggerated realism a formula which Midway would also later apply to the sports of football NFL Blitz and hockey 2 on 2 Open Ice Challenge,80.29260806610124
739756800,"[4, 25, 33]",1658,Mighty Final Fight,"[18, 37, 41, 99]",Missing,The Mad Gear Gang has spread crime and violence throughout the streets of Metro City Only one man has enough guts to take the streets back from them Mayor Mike Haggar Now the Mad Gear Gang has kidnapped his daughter Jessica to bring him under their control But theyve made one mistake Haggars furious and he wants someones head Guy and Jessicas boyfriend Cody are joining Haggar to clean up the slimefilled streets and rescue Jessica Along the way youll find food to replenish your health or better yet search for weapons to knock the living daylights out of your enemies So join Haggar and his friends as they try to free the city from the evil clutches of the Mad Gear Gang,75.57620170498807
739497600,"[8, 15, 31]",22358,Run Saber,[19],Years into the future after Earth has been overly polluted and resources are running low a scientist quickly comes up with a solution a new chemical that will reverse the effects of pollution As colonists settle in space to avoid the pollution the newfound chemical is quickly launched in a missile into the atmosphere where it explodes and releases the chemical However the chemical begins to horribly mutate any and all humans infected with it The scientist knew the effects of his chemical and uses the mutated people as his soldiers to rule the Earth  Mankinds only hope is a new weapon known as Project Saber three human cyborgs that are genetically enhanced to a super natural level Kurtz the first Saber malfunctions and escapes to Earth before the project is complete The remaining Sabers Allen and Sheena are dispatched to eliminate the scientist and his militant mutant threat and to neutralize Kurtz if possible,Run Saber is a 1993 sidescrolling action game developed by Horisoft and published by Atlus for the Super Nintendo Entertainment System The game was released in North America on June 8 1993 and in Europe in 1993 Run Saber features sidescrolling fighting as the two main heroes Allen and Sheena the Run Sabers fight to save the planet The gameplay is very similar to Strider,71.10878661087865
739324800,"[8, 25]",18577,Battletoads In Battlemaniacs,"[19, 58, 64]",The story begins with the Battletoads visiting the GyachungLa fortress in northern Tibet Professor T Bird has invited them there to witness the Psicone Corporations first demonstration of their new virtual reality game system TRIPS Total Reality Integrated Playing System While showing off the systems artificial world entitled The Gamescape a pig of the apocalypse leaps out of the screen and kidnaps Michiko Tashoku daughter of Psicone Corporations CEO Yuriko Tashoku Zitz attempts to rescue her but gets knocked out by the pig and captured as well The pig escapes back into the Gamescape and Silas Volkmire appears on the screen announcing his plans to turn the real world into his own Gamescape and that Michiko and Zitz are being held captive under the evil Dark Queen With nothing left to lose Rash and Pimple enter the Gamescape to rescue their friends and stop Volkmire and the Dark Queen from fulfilling their plans Along the way they fight Rocky a giant stone pig and race against Scuzz a rat that challenges them all throughout the final level The Battletoads finally reach the Dark Queen in her tower and defeat her but she manages to escape again Bird picks up Volkmire on his scanners and finds out that he is trying to escape using a teleporter so the Battletoads leave the Gamescape and hop into the Battlecopter to chase after him Depending on the players actions during this final gameplay segment there are two possible endings that may occur If the player is unable to shoot three missiles at Volkmires teleporter he gets away and the Battletoads feel dejected knowing that Volkmire is free and the Dark Queen wants revenge If the player successfully shoots three missiles at Volkmires teleporter the ship crashes in the Himalayas and is recovered but Volkmire is nowhere to be found Similarly to the first ending it is alluded to that Volkmire and the Dark Queen will want revenge,Battletoads in Battlemaniacs is a 1993 platforming beat em up video game developed by Rare and published by Tradewest for the Super Nintendo Entertainment System The game was released in North America in June 1993 in Europe in October 1993 and in Japan on January 7 1994 It was also ported for the Sega Master System and released exclusively in Brazil Released around the same time as Battletoads  Double Dragon Battletoads in Battlemaniacs is an installment in the Battletoads series The game follows two Battletoads Rash and Pimple on a quest to stop Silas Volkmire and the evil Dark Queen from ruling over the world Many of its levels are enhanced or remixed versions of levels from the original Battletoads featuring similar mechanics and gameplay styles Battletoads in Battlemaniacs received mostly positive response from critics receiving an aggregate score of 78 from GameRankings The game was praised for its varied gameplay and music but criticized for its lack of originality and high difficulty,69.04899124522541
740966400,"[9, 12]",1177,Lufia & the Fortress of Doom,"[19, 55, 306]",Missing,The Sinsitrals four masters of Doom arrived in this land on their floating island 100 years ago You will begin your quest by travelling through time to join in a temendous battle against themand you will determine the outcome When you return to present time you and Lufia your companion must join forces with two others to prevent the Sinistrals from regaining control of your world It will be a long and difficult taskThis land is larger than that of most RPG games And in the end the balance of fate will be overturned in a contest of love and betrayal that could destroy you all,63.854176742449
