first_release_date,genres,id,name,platforms,summary,rating,storyline
742780800,[14],49108,Bikkuri Nekketsu Shinkiroku: Dokodemo Kin Medal,"[33, 37]",Toudou Mamorus plan that tried to crush the other schools in the athletic meet ended in failure While his team played decent he underestimated the strength of Nekketsu High Toudou doesnt take the loss lightly and goes back to the drawing board in his quest for complete domination  With his wealth and influence Kounosuke Todou is set on making things right and announces another event Fight back KunioKun,Missing,Missing
742780800,[31],46238,Blaster Master 2,"[19, 29]",It has been four years since Jasons Encounter with the Plutonium Boss and the radioactive mutants under the Earth His only reminder of the incident is SOPHIA the vehicle he used to stop them which he has hidden in an abandoned barn One day one bolt of lightning struck the house and caused the ceiling to crumble knocking Jason unconscious When Jason woke up SOPHIA was in pieces and the parts he had collected from his first dealings with the Mutant Bosses were missing Little does Jason know that there are more lightning beings where the first one came from and they are planning to destroy the Earth The beings started digging towards the Earths core in order to shift the planets weight off its axis leading to total annihilation The parts from SOPHIA are being used to create a robotic army to assist the being in accomplishing their mission Now Jason must stop them but he wont make it without the help of SOPHIA Since he cant recover the parts he decided to redesign it to better prepare himself for the ordeal facing him After 29 days SOPHIA was completely rebuilt and ready for battle Remembering where he saw the beings footsteps Jason jumped in his vehicle and headed towards the mountains where the challenge begins,Missing,Missing
743212800,[5],42735,Battle Clash,[19],Battle Clash is a game that uses the Super Scope light gun peripheral In this game you fight in a futuristic version of the world as a warrior named Michael Anderson who takes part in a competition simply known as the Battle Game Contestants in the Battle Game fight using mobile Standing Tanks or STs for short that come with a variety of weapon systems and forms,Missing,Missing
743990400,[8],42648,Rocky Rodent,[19],Mafia member Don Garcia has kidnapped Melody the daughter of the owner of the Rose Restaurant Rocky Rodent agrees to rescue her in exchange for an allyoucaneat meal  In order to find Melody Rocky Rodent has to complete a number of fastpaced sidescrolling platformer levels While he can also defeat enemies by jumping on them his most important weapons are four different hairstyles His first hairstyle allows him to skewer and throw his enemies destroy porous blocks as well as cling to and jump up certain ledges A mohawk can be thrown at enemies like a boomerang or thrown into certain walls from where it serves as a trampoline Braids can be used as a grappling hook and a corkscrewlike haircut lets him bounce on his head to jump higher than normal When Rocky is attacked by an enemy he looses his current haircut If he is attacked while not wearing any special haircut he looses a live,Missing,Missing
742780800,[14],42428,World Soccer 94: Road to Glory,"[19, 58]",The players are drawn large and there is a large scanner to assist with long passing The standard mode has the ball sticking closely to the feet which makes mazy runs upfield a common strategy There are 64 international teams on offer with a Europeanstyle knockout cup competition included Many different formations and strategies are offered,Missing,Missing
742521600,"[4, 14]",4504,Saturday Night Slam Masters,"[19, 29, 52, 118]",Slam Masters is an arcade conversion of Capcoms wrestling game of the same name  Ten wrestlers with different fighting styles and individual special attacks are available They are controlled with three buttons one for jumping one for attacking and one for pinning When close to your opponents you can grab them to perform various moves ranging from ordinary attacks to body slams to throws Since the action takes place in a ring it is also possible to climb the turnbuckle or use the ropes to your advantage You can also leave the ring for a limited amount of time to fight with different weapons that can be found outside the ring  Apart from a standard Single Match mode the SNES version also features a Battle Royal mode for up to four players This mode is not available in the Genesis version which features a Death Match mode that can not be found in the SNES version A Death Match is a no rules match in which weapons can be used used and the rope is replaced with barbed wire,Missing,Missing
742608000,[8],222095,Super Mario Bros.,"[19, 58]",A remaster of the original Super Mario Bros released exclusively as part of the Super Mario AllStars bundle,92.52843300889909,Missing
742608000,[8],5199,Super Mario All-Stars,"[19, 58]",Super Mario AllStars is a compilation of remasters for the Super Nintendo Entertainment System It enhances Super Mario Bros Super Mario Bros 2 Super Mario Bros 3 and Super Mario Bros The Lost Levels with an added oncartridge save feature updated graphics and sound and an additional battle game for Super Mario Bros 3 It is also the first time that the original Japanese Super Mario Bros 2 was released for the western public,87.01342346167876,Missing
742348800,[4],18626,Street Fighter II Turbo,"[5, 12, 19, 41, 52, 58, 137]",Theyre back and theyre badder than ever Faster stronger and with all new moves twelve of the greatest fighters from across the globe are ready to do battle Choose your champion and get ready for the big brawl as they try to earn the right to battle M Bison for the title And just when you think youve mastered it all crank it up a notch and go TURBO,83.36033169999212,Theyre back and theyre badder than ever Faster stronger and with all new moves twelve of the greatest fighters from across the globe are ready to do battle Choose your champion and get ready for the big brawl as they try to earn the right to battle M Bison for the title And just when you think youve mastered it all crank it up a notch and go TURBO
742608000,[8],222099,Super Mario Bros. 3,"[19, 58]",A remaster of the original Super Mario Bros 3 released exclusively as part of the Super Mario AllStars bundle,81.65550331093044,Missing
742348800,"[9, 31]",8163,Disney's Goof Troop,"[19, 58]",Goofy and his son Max were enjoying a peaceful day of fishing when Keelhaul Pete absconds with Pete and PJ  Now its up to Goofy and Max to travel to Spoonerville Island and venture through the jungle to rescue their friends As either character youll take on an army of surly swashbucklers as you dodge exploding cannon balls and search dank dungeons on your way to the final showdown with Keelhaul Pete  Along the way youll have to dig for treasure and solve puzzles to find the keys that will allow you to enter the pirates hideout and face Pete,80.47406416274244,Missing
742608000,[8],222098,Super Mario Bros. 2,"[19, 58]",A remaster of the original Super Mario Bros 2 the American port of Yume Koujou Dokidoki Panic released exclusively as part of the Super Mario AllStars bundle,77.70844346482907,Missing
742003200,[4],4260,Samurai Shodown,"[5, 7, 19, 29, 50, 52, 58, 78, 79, 80, 118, 136]",In early Japan a man named Shiro Tokisada Amakusa preaches a heretic religion Little does anyone know that Amakusa is really a servant of the evil Ambrosia who took over Amakusas body Ambrosia wishes to shroud the world in darkness Now choose between 12 warriors and 3 bonus characters to fight for the honor of destroying Amakusa and fulfilling a mission,75.93392692612817,Missing
742608000,[5],11604,Yoshi's Safari,"[19, 58]",Yoshis Safari is the first and so far the only dedicated rail shooting game in the Mario franchise and one of the few games to use the SNESs Super Scope light gun peripheral Gameplay consists of shooting enemies before they attack There are bosses along the way that must be destroyed before players can move on to the next area,73.063331767725,In Yoshis Safari Bowser King of the Koopas and his evil offspring have invaded Jewelry Land The Koopalings have seized the Kingdoms precious jewels Its up to Mario armed with his trusty Super Scope to ride Yoshi to track down Bowser and put a stop to his evil plans
742608000,[8],222097,Super Mario Bros.: The Lost Levels,"[19, 58]",A remaster of the original Super Mario Bros 2 previously only released in Japan released exclusively as part of the Super Mario AllStars bundle,69.95646892767108,Missing
