first_release_date,genres,id,name,platforms,summary,rating
820368000,[8],150031,Super Mario World,[18],Super Mario World 超級馬里奧世界 is a bootleg port of the SNES launch title of the same name Super Mario World developed by Hummer Team and released in 1995 This is one of the more wellknown examples of bootleg ports to the Famicom as it comparatively manages to retain most of the original SNES games elements,Missing
820368000,"[31, 33]",134304,RockFall,[19],RockFall is a homebrew Boulder Dash variant developed in the 90s and released as a ROM file getting a physical release in 2013 by Piko Interactive,Missing
820368000,"[5, 8, 33]",133281,Waterworld,[19],In Waterworld you play from an overheadisometric perspective controlling the Mariners boat on the ocean The point of the game is to destroy the Smokers boats and dive for sunken artifacts at which point the game switches to a side on perspective so that the player can directly control the Mariner underwater,Missing
820368000,[25],131684,San Guo Zhi 4: Chi Bi Feng Yun,[18],A beat emup by Cony Soft set in The Records of the Three Kingdoms books,Missing
820368000,[8],77426,Pinkie,"[16, 19, 29]",In this platformer the player must help Pinkie to prevent the total extinction of dinossaurs throughout the universe,Missing
820368000,[4],45157,Mortal Kombat II Special,[18],Mortal Kombat II Special is a pirated fighting game developed by Hummer Team and published by JY Company It is based on Mortal Kombat II  The fighting engine is modified from Mortal Kombat II altering the special moves to make them function like theyre supposed to and adding blood The fatalities however are still missing from this game with the fight simply ending when you win,Missing
819417600,[14],42663,90 Minutes European Prime Goal,[19],90 Minutes European Prime Goal is a Super Nintendo Entertainment System soccer video game The players get to play in either exhibition tournament or in the allstar mode The view is from a leftright perspective and the national flags of several European countries are used in the game In the game mode Youre a Hero the player must make miracle plays that either win andor change the game The kickoff is doing using 3D graphics with the camera showing the spectators in the grandstand  This game is a regional port of the sequel to JLeague Soccer Prime Goal 2 and JLeague Soccer Prime Goal which were both developed by Namco,Missing
820368000,[5],42637,Archer Maclean's Super Dropzone,[19],The player is a spaceman with a jetpack flying across a barren landscape whose skies are inhabited by a number of different aliens from the simple Planter to the slowly advancing Blunder Storm or the quick aggressive Nemesite,Missing
819158400,[25],42510,Jim Lee's Wild C.A.T.S: Covert Action Teams,[19],The only thing stopping the immortal Helspont from taking over the earth is a group of highpowered heroes known as the WILDCATS Each member of the team wields incredible power  when united the results are spectacular Players assume the roles of Spartan Cyborg and team leader Maul massive crossbreed warrior and Warblade metamorphosing handtohand combat expert If mankind has one hope its the WILDCATS  Based on Jim Lees top selling comic book and smash Saturday morning cartoon sensation   Unique teamplay action requiring a combination of heros powers to complete the game  16 Megabit game packs solid punch with intense graphics based on comic book style and hardedged game play,Missing
820368000,[8],42472,Porky Pig's Haunted Holiday,[19],Porky Pig ventures to Dry Gultch Haunted Theme Park and while staying there falls asleep He dreams up a nightmare staring all sorts of fiendish foes including a very annoying Daffy Duck of various sorts Venturing through ghostly mansions haunted woods and a strange otherworld that plays the music from Terry Gilliams Brazil,Missing
820368000,[33],42331,Crayon Shin-Chan,[18],Is a pirate Famicom port of Crayon ShinChan 2 Dai Maou no Gyakushuu for Super Famicom made by Cony Soft under the alias Future Media in 1995,Missing
820368000,[10],12083,F1: World Championship Edition,"[16, 19, 29]",F1 World Championship Edition is the sequel to F1 released as Formula One in the USA,Missing
820368000,[8],11166,Sunday Funday: The Ride,[18],Sunday Funday The Ride is a Christian video game that was released for the Nintendo Entertainment System by Wisdom Tree formerly a subsidiary label of Color Dreams in 1995 The game was the last to be released by any company for the American NES Like all Wisdom Tree games Sunday Funday was not officially licensed by Nintendo According to the games instruction manual the player controls a skateboarding hero who is late for Sunday school In the game the hero must use his skateboard and any objects he finds such as balloons grapefruits and newspapers to defeat bullies clowns and businessmen who are attempting to impede his path to Sunday school The Sunday Funday game cartridge included two features other than the game itself  an arcadestyle game titled Fish Fall and a singalong of a song by Christian pop band 4Him Sunday Funday is a rippedoff version of Menace Beach also released by Color Dreams excepting a few graphics and a complete story change While the hero in Menace Beach fights ninjas and evil clowns on his way to rescue his girlfriend from Demon Dan the hero in Sunday Funday fights bullies and businessmen on his way to Sunday school Additionally the hero carries a bible in Sunday Funday but not in Menace Beach Finally in Menace Beach the heros girlfriend appears wearing less and less clothing between levels but she is replaced by a fully clothed Sunday school teacher in Sunday Funday,Missing
820368000,"[5, 8, 33]",8068,SWAT Kats: The Radical Squadron,[19],Theres no time to waste Only you can help the Swat Kats defeat the Megavillains of MegaKat City to restore law and order So what are you waiting for Pick up that controller and LETS KICK SOME TAIL,Missing
820368000,"[8, 31]",7828,Cutthroat Island,"[19, 29]",Based on the feature film of the same name The game casts players in the role of renegade treasure hunters The player is able to choose between two characters Morgan Adams a female character who wields a rapier or William Shaw a buccaneer who is armed with a sword The game features single player and two player action mode During single player mode the players character must battle through 10 levels encountering various foes such as pirates redcoats and harbor masters The game features two different gameplay styles to choose from Swordplay and Brawling In addition to all the swordplay level two requires players to flee from prison guards in a quarry cart and level five puts player atop a runaway horsedrawn carriage As the player progresses through the game several items such as knives bombs bottles torches hammers pistols and other weapons are collectable,Missing
820368000,"[13, 14]",4542,Madden NFL 96,"[6, 19, 29]",Madden NFL 96 is one of the earlier games in the long lasting franchise It is the first to include a createaplayer feature that had the player preform mini games similar to real NFL drills With 28 NFL teams and many more secret historic teams Real NFL players and the iconic NFL on Fox music theme Madden 96 offered an authentic experience for fans of the sport,Missing
820368000,[31],3280,Star Trek: Deep Space Nine - Crossroads of Time,"[19, 29]",Star Trek Deep Space Nine  Crossroads of Time is a 2D action adventure based on the famous TV series  You play Benjamin Sisko commander of Federation space station Deep Space Nine When the station is attacked by Bajoran terrorists your mission to uncover their plot leads you from DS9 to Bajor beyond the wormhole and even through time itself  Moving through the sidescrolling environments of DS9 and other places Sisko must complete several missions like disarming bombs or rescuing hostages If necessary Sisko can use a phaser to stun enemies To solve puzzles he can use a tricorder and other items The plot is often carried forward by interacting with other characters from the TV series,Missing
