first_release_date,id,name,platforms,summary,genres,rating
883526400,247272,Wait and See!,[18],Wait and See is a platform game developed by Dragon Co The game has Nu pogodi Ну погоди a famous Russian series of theatrical shorts similar to American series Tom and Jerry as an alternate title however apart from this and one of the cartridge labels it has nothing to do with the actual cartoon  The phrase Nu pogodi is more closely translated as Well Just you wait instead of Wait and see  Bugs Bunny is featured in the title screen despite that theres no references to Looney Tunes in the entire game,Missing,Missing
883526400,241453,2 in 1: Donkey Kong 4 + The Jungle Book 2,[18],A multicart featuring Donkey Kong Country 4 and The Jungle Book 2,[8],Missing
883526400,239549,Chu Han Zheng Ba: War Between Chu and Han,[18],Chu Han Zheng Ba War Between Chu and Han is a turnbased strategy game created by Waixing in 1997 It is based on ChuHan Contention,Missing,Missing
883526400,228796,FIFA: Road to World Cup 98,"[19, 29]",SNES and Sega Genesis port of FIFA Road to World Cup 98,[14],Missing
883526400,186649,The Jungle Book 2,[18],An unlicensed NES game based on The Jungle Book,"[8, 31]",Missing
883526400,160305,Super Donkey Kong 2,"[18, 99]",Super Donkey Kong 2 is a pirated Famicom port of the SNES game Donkey Kong Country 2 Diddys Kong Quest published by NT in 1997 It greatly resembles Super Donkey Kong,[8],Missing
883526400,155515,MK5 Mortal Kombat: Sub-Zero,"[19, 29]",MK5 Mortal Combat  SubZero is a bootleg for the Sega Mega Drive and Sega Genesis consoles published between 1997 and 1998 being distributed in an independent cartridge format There is also a little known and difficult to find port of this same video game for the Super Nintendo  Super Famicom console called Mortal Kombat Mythologies Gold 2000,"[25, 33]",Missing
881193600,143439,Mystical Ninja Starring Goemon,"[33, 37]",Its big trouble in little Edo when Goemon the original Mystical Ninja bursts into town Get ready to take on the whole Evil Ship Gang as you fight your way across the ancient countryside through bustling villages and all the way to Skull Island Throw in a few wacky bonus games and youve got an adventure as legendary as its name,"[12, 31]",Missing
881020800,142026,Wheel of Fortune,[4],This game is an interactive version of the popular US quiz show Wheel of Fortune complete with hostess Vanna White  The game is played by trying to find a hidden word with only a few guesses allowed for the letters which is very similar to the pen and paper game Hangman The other round which features the Wheel of Fortune involves you spinning the wheel which has various prizes both good and bad and whatever the pointer stops on when it stops revolving is what the player wins This can be cash a free spin or if youre very unlucky Bankruptcy which means you lose all the money youve earned up to that point,[26],Missing
882662400,97880,Pro Mahjong Kiwame 64,[4],Missing,[35],Missing
883526400,93962,Fight 'N' Jokes,"[13, 14, 49, 130, 169]",This aint your granddaddys fighting game  Fightn Jokes tells the adventures of Jokes a group of fighters who combat to free their planet from an evil entity It is a 2D fighting game with handdrawn cartoonstyle graphics and a quirky sense of humor that pokes fun at the more serious sides of the genre,Missing,Missing
883526400,70342,Moto Extreme,"[6, 159]",Go eXtreme in this MotoX biking thrill ride,[10],Missing
883094400,47744,Masters '98: Harukanaru Augusta,[4],A golf game for the N64 released in 1997 and licensed by the Augusta National Golf Club based in Georgia USA Japan Only,[14],Missing
882489600,44053,Ucchan Nanchan no Honoo no Challenger: Denryuu Iraira Bou,[4],Ucchannanchan no Honoo no Challenger Denryuu Iraira Bou follows the same playing principle as the mechanical wire loop game In this variant the player has to guide a ball through six courses which basically consist of narrow ways with curves and obstacles Later levels introduce moving obstacles and parts in which the screen slightly tilts The player is not allowed to touch anything and has to solve the course within a time limit This all is commentated by an enthusiastic announcer Multiplayer is a simple splitscreen race,[33],Missing
883526400,38293,Ronaldinho Soccer 97,[19],Soccer game featuring brazilian teams This game is a hack based on International Superstar Soccer Deluxe and was very popular in South America back in the 90s,[14],Missing
882748800,18070,Chocobo no Fushigi na Dungeon,"[7, 20]",This is the first game in the Chocobos Dungeon series You take on the character of Chocobo and adventure through a randomly created dungeon  The story evolves from the opening movie when a fellow chocobo is turned evil by a crystal he finds in a garden When the evil chocobo kicks you into a dungeon the adventure begins Travel through an ever changing dungeon collecting items and weapons to become more powerful so you can defeat the increasingly difficult enemies,"[12, 31]",Missing
881107200,3631,Wayne Gretzky's 3D Hockey '98,"[4, 7]",Take on The Great One again in this hot sequel to the smash hit voted Best Sports Game of 96 With more great features such as new hidden teams and improved hardhitting AI Gretzky 98 packs a wallop Includes all 26 teams each with 17 available players on their actual NHL teams and you can make player trades or line manipulations to create a powerhouse team of your own Play 3on3 4on4 or 5on5 games on either arcade or regulation size hockey rinks plus exhibition games full 82 game seasons or a bestofseven playoff series with full statistic saving capability,[14],Missing
882489600,3626,Virtual Pro Wrestling 64,[4],Over 78 wrestlers ready to rumble The no1 wrestling promotion in the world WCW takes on the world and combines talents from around the world to settle their scores and take on the nWo led by Hollywood Hogan  Hundreds of moves 4 player action this is wrestling,"[4, 14]",Missing
