first_release_date,genres,id,name,platforms,summary,storyline,rating
934243200,[14],247112,Mario Golf: Joe,[4],A transferrable character for Mario Golf for the Nintendo 64 from the Game Boy Color version,Missing,Missing
934243200,[14],247111,Mario Golf: Sherry,[4],A transferrable character for Mario Golf for the Nintendo 64 from the Game Boy Color version,Missing,Missing
934243200,[14],247110,Mario Golf: Azalea,[4],A transferrable character for Mario Golf for the Nintendo 64 from the Game Boy Color version,Missing,Missing
934243200,[14],247109,Mario Golf: Kid,[4],A transferrable character for Mario Golf for the Nintendo 64 from the Game Boy Color version,Missing,Missing
934243200,"[12, 14]",135389,Mario Golf,"[22, 37]",The Game Boy Color version of Mario Golf differing from the Nintendo 64 counterpart includes RPG elements and has an isometric view with spritebased graphics,Missing,Missing
935712000,[4],10683,Fighter Destiny 2,[4],A 3D fighting game exclusive to the Nintendo 64 that uses a unique pointbased system to determine who wins,Missing,Missing
933897600,[10],3582,Rally Challenge 2000,[4],Speed is the name of the game in this realistic racing experience Featuring nine unique vehicles RALLY CHALLENGE 2000 delivers highoctane action with plenty of options to keep the replay value high The controls are simple but the competition is stiff as you jet through the three tracks at three different levels of difficulty To add to the excitement your copilot is by your side calling out turns and alerting you to whats around the corner The games four distinct play modes offer limitless challenges theres a userfriendly Arcade mode an intense fourplayer Versus mode a convenient Practice mode and a Championship mode which allows you to adjust your suspension tires gear ratios and steering Championship Mode the games crown jewel presents you with a ninerace series in which you must rack up more points than your competitors If youre looking for a fastmoving racing game with tons of options youve found it in RALLY CHALLENGE 2000,Missing,Missing
936057600,[14],3559,NFL Quarterback Club 2000,"[4, 23]",NFL Quarterback Club 2000 is here Featuring 3rd generation ultra highrez graphics for incredible NFL realism over 1200 new motion captured animations allnew Pin Point Passing for unprecedented control new player models with reallife faces eye black and breathe strips Choose from 31 teamspecific playbooks or create your own Replay key moments of all 33 Super Bowls with authentic game stats Total team management  draft sign trade release create players,Missing,Missing
936057600,[14],3436,All Star Tennis '99,"[4, 7]",Play as 8 world class ATP  WTA tour players including Mark Philippoussis Richard Krajicek Conchita Martinez  Jana Novotna as well as 4 fictional players through a range of tournaments on grass clay hard court and rebound ace surfaces  Lob volley smash and serve past computer controlled players in singles or doubles 4 player multiplayer doubles and 8 player multiplayer singles and doubles tournaments,Missing,Missing
936057600,[9],3415,Rat Attack!,"[4, 7]",Play as one of the Scratch Cats an elite superhero team who are out to save the world from Washington and Jefferson two evil mutant space rats who wish to enslave the world in rats Explore each puzzle level and wipe out the rat threat First you need to catch the rat using the Eraticator Then you must find the Destructor pad in each level in order for the rat to be taken out Each level has a quota of rats you must remove and if you fail to do so within the time limit which in this case is when the rats destroy everything in the level you lose,Missing,Missing
933897600,"[12, 13]",3379,Harvest Moon 2 GBC,"[22, 37]",The second Harvest Moon game released on the Game Boy Color Harvest Moon 2 GBC is a farming simulation in which the player assumes the role of either a boy or a girl who is left a farm and given three years to turn its fortunes around,From the Wikia Harvest Moon 2 starts with the mayor of a village who determines that to stay alive they must use the old abandoned farmland outside of town and turn it into an amusement park However a farmer volunteers to take over the farm He is given 3 years to accomplish it or the farm will be turned into a theme park,Missing
934848000,[14],4366,NFL Blitz 2000,"[4, 6, 7, 23, 52]",Its back and its better than ever NFL Blitz 2000 adds 4player support new offensive and defensive plays realistic weather conditions new stadiums and a Tournament mode Customize offensive and defensive plays to your liking Call audibles at the line of scrimmage Youve got control now Passing made easy with new Blitz Passing for onetouch long bombs ONFIRE mode gives super power performance to your players With nonstop action and a pickitupandplay learning curve NFL BLITZ 2000 is THE game for every football fan,Missing,77.5982640967783
933811200,"[12, 31]",3513,Hybrid Heaven,[4],A gunshot echoes through the tunnels of the New York subway system A secret service agent lies dying and Diaz with a gun gripped tightly in his hand flees and stumbles into a strange underground world where a secret society of genetically engineered hybrid clones threaten to subvert the population of the outside world Experience New York Citys secret night life in Hybrid Heaven a unique fullyimmersive action RPG that combines fighting action and role playing into a story of alien invasion scientific experimentation and murder Unravel the secrets of the hybrid society the future of humanity and the true identity of Diaz,Missing,77.40508805816492
936057600,[31],3598,Shadow Man,"[4, 6, 7, 23]",He is coming stalking criminals in the spirit world and the real world A possessed man is coming a voodoo mask in his chest and lines of power in his back Shadow Man is coming trailing evil from Liveside to Deadside To stop an apocalypse To save your soul,Missing,72.01676057341311
936057600,[10],3371,Hot Wheels Turbo Racing,"[4, 7]",Hot Wheels Turbo Racing is a racing video game for the Nintendo 64 released in 1999 It features vehicles based on the Hot Wheels series of toys It also features Kyle Pettys 1999 NASCAR stock car as it was sponsored by Hot Wheels It also features music from artists like Primus and Mix Master Mike The focus of the game is racing one of a selection of cars through various themed tracks Secret tracks can be accessed by winning and new cars can be used by finding the new car bonuses hidden in each stage,Missing,63.88374212164933
936057600,"[4, 14]",3633,WCW Mayhem,"[4, 7]",Out Of Hand Out Of The Ring  Create a wrestler Over 50 WCW Superstars Six match types All TV and PPV Venues Real Ring Entrances 12 Backstage areas,Missing,59.0496558761383
936057600,"[8, 31]",3614,Tonic Trouble,"[4, 6]",Tonic Trouble is a 3D platforming video game by Ubisoft Montreal The story follows the main character Ed after a magic potion spills on the Earth and causes vegetables to become living killers The game was received poorly critics cite poor controls a wordy exposition and sloppy graphics on the N64 version The N64 version of the game is a port of the PC version with noticeable differences such as a substantially different opening due to the lack of processing power needed to render cutscenes and different music in certain places The game is often compared to another game published by Ubisoft called Rayman 2 The Great Escape because both are 3D platformers both have main characters of a similar design hands and feet without arms or legs and both were released around the same time,Missing,47.55918395770549
