first_release_date,genres,id,name,platforms,summary,rating,storyline
918950400,[5],273730,Fracture,[6],Industrial factories human enemies,Missing,Missing
919468800,[5],273189,Risk,[6],An exceedingly short level Risk takes place around a television recording studio which may or may not be based on a real life location,Missing,Missing
919900800,[34],269418,Rise,[6],Hero will live with robot girl Nanako for a month with a goal to win MISCON,Missing,Missing
919814400,"[5, 11, 13]",238590,Battlezone: The Red Odyssey,[6],The Red Odyssey begins with the two new armies the Black Dog Squadron and the Chinese Army new unit capabilities such as the Chinese Cloak 23 new missions and 3 new planets,Missing,Missing
918950400,[34],197819,Den'ei Shoujo: Virtual Girl Lum,[6],Missing,Missing,Missing
918604800,[31],165496,Saturday: Arthur's Odyssey,[6],Yahtzee has to face forces trying to mess with time,Missing,Missing
919814400,[31],145629,Dark Eyes,[6],Dark Eyes was a 1999 MMORPG for Windows PCs by Nextech It is one of the few games Nextech developed and published itself rather than for another company Sega who had complete ownership of the company at the time announced a port to the Sega Dreamcast sometime in 1999 This never went to completion for unknown reasons One exposition in PlayerOne issue 99 page 28 showed the game having 3000 payers in one environment,Missing,Missing
918604800,"[9, 31]",144929,JumpStart Reading for Second Graders,[6],JumpStart Reading for Second Graders is a game released in 1999 that focuses on a second grade reading curriculum  In the game CJ and Edison are on a quest to find the lost city of Ursulab They find an ancient tablet that holds the secrets of Ursulab but it needs to be powered by rubies and diamonds CJ and Edison travel to different locations around the world to find the jewels they need They must also confront the villainous Dr Listick who wants to find the lost city for his own selfish gain,Missing,Missing
918777600,[5],93071,Half-Life: Uplink,"[6, 8]",HalfLife Uplink is a demo version of Valves 1998 firstperson shooter computer game HalfLife  Uplink features many of the common enemies characters and weapons from the full game but unlike the first HalfLife demo and the HalfLife 2 demo the location and scenario in this demonstration do not appear in HalfLife The Uplink chapters were cut during HalfLifes development phase and roughly fit in prior to or during the Lambda Core chapter they were however strongly revised for the demo release Uplink also includes the same Hazard Course from the full release of HalfLife  It was also included on Official PlayStation Magazine Disc 57 as a bonus unlock if you entered a cheat into the PS2 version of HalfLife and swapped the discs,Missing,Missing
918777600,[9],19222,Digging Jim,[6],Missing,Missing,Missing
919987200,[5],8717,SiN: Wages of Sin,"[6, 14]",After Elexis Sinclaire disappeared at the end of Sin Wages of Sin continues the storyline by introducing the new villain Gianni Manero a mob boss who seeks to gain power from the leftovers of Elexis former company SinTEK Manero produces new genetically engineered creatures mutants under secret supervision but when some of these mutants break out and run into the city the elite security force group HARDCORPS becomes aware of them and its up to HARDCORPS leader John Blade who starred as the hero and the players character in Sin to set things right,Missing,Missing
920160000,"[13, 14]",3621,Triple Play 2000,"[4, 6, 7]",This is POWER Baseball Great game features such as Full control hitting  more power more contact Onebutton baserunning Fastpaced gameplay Home Run Challenge Multiple fielding cameras Realtime lighting Detailed facial animations,Missing,Missing
918777600,"[13, 15, 16]",863,Sid Meier's Alpha Centauri,"[3, 6, 14]",Legendary designer Sid Meier presents the next evolution in strategy games with the most addictive compelling gameplay yet Explore the alien planet that is your new home and uncover its myriad mysteries Discover over 75 extraordinary technologies Build over 60 base upgrades and large scales secret projects for your empire Conquer your enemies with a war machine that you design from over 32000 possible unit types,90.45609529415175,Missing
920160000,"[12, 15, 16]",364,Heroes of Might and Magic III: The Restoration of Erathia,"[3, 6, 14]",Heroes of Might and Magic III The Restoration of Erathia is a turnbased strategy game and the third installment of the Heroes of Might and Magic series  The games story is first referenced throughout Might and Magic VI The Mandate of Heaven and takes place before Might and Magic VII For Blood and Honor The player can choose to play through six different campaigns telling the story or play in a scenario against computer or human opponents,89.3941811147545,The games story unfolds primarily through a series of seven playable campaigns all set upon the continent of Antagarich During the campaigns the story is told from alternating points of view giving players the opportunity to play as each of the town alignments  Following the disappearance of King Roland Ironfist of Enroth prior to Might and Magic VI The Mandate of Heaven his wife Queen Catherine is left to rule the realm In the meantime her father King Gryphonheart of Erathia is assassinated Without their beloved King the kingdom of Erathia falls to the dark forces of Nighon and Eeofol Queen Catherine returns home to Antagarich seeking to rally the people of her homeland and lead them against the evil that has ravaged their nation  Erathias capital of Steadwick is sacked by the dungeon lords of Nighon and the Kreegans of Eeofol Meanwhile the nations of Tatalia and Krewlod skirmish at the western border seizing the chance to expand their territory Catherines first task is to establish a foothold in the conquered kingdom by enlisting the aid of allies The wizards of Bracada and the elves of AvLee answer her call and together they push towards Steadwick and eventually retake it quickly quelling the border war in the west Soon after Lucifer Kreegan a commander in the Eeofol armies sends an envoy to Erathia claiming that Roland Ironfist is captive within their territories AvLee invades Eeofol but fails to rescue Roland who is transported to their northern holdings Afterwards Catherine invades Nighon pushing the dungeon armies back to their island home  In the meantime the necromancers of Deyja having been responsible for the assassination of King Gryphonheart plot to revive his corpse as a lich They plan to use his wisdom in leading their own armies of the undead However King Gryphonhearts will proves too much for the necromancers even in his corrupted state and he becomes a rogue lich Having little other recourse Queen Catherine is forced to ally herself with the necromancers and together they set out to destroy the lich of King Gryphonheart before he becomes too powerful  A final bonus campaign accessible only after the main campaigns are complete tells the story of separatists living in the Contested Lands a wartorn border between Erathia and AvLee Tired of the skirmishes that bring unrest to their homelands they join together to fight for independence from the two large kingdoms It is later implied that this rising was orchestrated by Archibald Ironfist the antagonist of Heroes of Might and Magic II
920160000,"[5, 13]",169,Star Wars: X-Wing Alliance,[6],The conflict is escalating  A neutral family fights for its business  and its survival  and is swept up in the struggle against the encroaching Empire You must defy the strongarm tactics of a rival family who will stop at nothing to destroy your trading company Ultimately you will join the Rebel Alliance for a series of covert assignments and uncover information about the Empires second Death Star project The finale Youll find yourself at the controls of the legendary Millennium Falcon  flying against the massive Imperial fleet in the Battle of Endor Star Wars XWing Alliance puts you right in the middle of the epic Star Wars conflict  and takes space combat excitement to new heights,88.11168874743673,Missing
918777600,"[10, 33]",1805,Crazy Taxi,"[6, 8, 9, 12, 21, 23, 34, 39, 52]",Hey hey come on over and have some fun with Crrrrrazy Taxi Barrel through traffic packed streets hurdle off parking garages and Crazy Combo your way to Crazy Money in a wild frantic race to scare up the most fares In Crazy Taxi time is money and only the Craziest Cabbies come out victorious,73.85521304832068,Missing
920160000,"[9, 15]",13225,Gruntz,[6],Take control of the Gruntz a lovable and annoying batch of creatures trying to find their way home After fleeing through a wormhole to avoid an attack by their evil cousins the Disgruntled they are stranged in a strange world and have to fight their way back home The game is halfpuzzle halfstrategy Your Gruntz move around the map collecting items activating switches and killing Disgruntledz The overall goal in the single player or Questz game is to recover 36 pieces of the warpstone There are four pieces scattered in each of 8 different worlds Each level requires you to retrieve the warpstone piece and take it to the Gruntz king on that level,73.5572228960773,Missing
920160000,"[5, 11, 15, 24]",22830,Army Men II,"[6, 22]",Army Men 2 is an Action game developed by Digital Eclipse and published by 3DO which was released in 2000,63.57377508196631,Missing
