first_release_date,genres,id,name,platforms,summary,rating,storyline
1019692800,[34],247400,My Merry May,"[8, 23, 38]",Missing,Missing,Missing
1019779200,[14],240360,2002 FIFA World Cup,[7],Oldgen port of 2002 FIFA World Cup,Missing,Missing
1018483200,Missing,214920,Primal: Collector's Edition,[8],The collectors edition of Primal contains a bonus audio CD featuring 5 combat tracks by 16Volt a VIP Card that allows access to a section on the official website and the manual is printed on thicker more luxurious paper,Missing,Missing
1019692800,[5],214914,Kikou Heidan J-Phoenix: Burst Tactics,[8],Kikou Heidan JPhoenix Burst Tactics is an action game on Playstation 2 published by Takara in 2002 This game is a side story of Kikou Heidan JPhoenix featuring new PF and characters In addition a cooperative attack with fellows called Combination Burst has been introduced If you import the data of Joshouhen and Kikou Heidan JPhoenix you can get the story after the main ending and hidden PF,Missing,Missing
1019088000,[35],166444,Azumanga Donjara Daiou,[7],The game is a combination of the popular comic Azumanga Daioh and table top game Donjara The tiles are ready to use in battle with patterns of the characters faces See polygon rendered deformed characters portray the happy action,Missing,Missing
1018569600,Missing,118492,Alfred Chicken,[7],Missing,Missing,Missing
1019692800,[9],70561,Simple 2000 Series Vol. 4: The Double Mahjong Puzzle,[8],Simple 2000 Series Vol004  The Double Mahjong Puzzle is a puzzle game with 2 different kind of puzzles based on mahjong In both games there is a time limit and when is reaches zero is game over,Missing,Missing
1019692800,[31],65021,Surveillance Kanshisha,[8],Surveillance Kanshisha is a FirstParty PlayStation 2 Adventure Science fiction interactive game published by Sony Computer Entertainment Japan with animation created by Production IG    It takes place in the 2050s where a United Nationscreated special forces unit called Shadow Sword is deployed to protect the EarthMars travel route from antiUN terrorists called Neo Kleit conducting terrorist attacks to remove the UNs control of the space program A special public security surveillance network is unveiled for the first time called Project Surveillance which is used to assist Shadow Sword operatives in their work in apprehending and hunting down the terrorists,Missing,Missing
1019692800,"[9, 31]",64547,Detective Conan: Saikou no Aibou,[7],Meitantei Conan Saikou no Aibou is a PlayStation game released in 2002 Published and developed by Bandai It is based on the popular anime of the same name translated to Detective Conan,Missing,Missing
1019779200,[13],61826,R/C Helicopter: Indoor Flight Simulation,"[6, 8, 11]",RC Helicopter Indoor Adventure is a RC helicopter flight simulation You have to navigate your way through rooms hallways and corridors collecting points to gain access to bigger and faster helicopters  There are no enemies just you rc helicopter ticking time and some obstacles There are 2 game modes challenge and adventure Challenge contains missions and in adventure you have to collect stars,Missing,Missing
1018569600,Missing,56803,Legend of Pocahontas,[7],A cartoon film based on the native princess as well as minigames,Missing,Missing
1018569600,Missing,54301,The Hunchback of Notre Dame,[7],Missing,Missing,Missing
1019952000,[14],44814,Love Game's Wai Wai Tennis Plus,[7],Tune up for Wai Wai Tennis the authentic popular tennis game Now with even more beautiful graphics that provide rich variations in attacks with a variety of motion animations 150 in total and more than 70 kinds of shot patterns Enjoy tennis made fun for the whole family,Missing,Missing
1019001600,"[7, 13, 33]",44711,DDRMax2: Dance Dance Revolution,"[8, 52]",The dance floor kicks into overdrive with DDRMAX2 Dance Dance Revolution It is the latest installment of the highly anticipated DDR series and takes the revolution to the masses Players can customize their own dance steps and workout in an innovative Exercise Mode DDR is packed with a smashhit lineup of allnew exclusive songs licensed music and dance hits There are cool contemporary game modes and brand new graphical interfaces featuring music videos that will keep everybody movin and groovin to the pulsating beats DDR Max 2 also includes links to previous games for special features,Missing,Missing
1019433600,[14],43941,X-Bladez: Inline Skater,[7],Inline skating comes to the flourishing category of extreme sports video gaming in XBladez Players choose one of six characters to flip spin and grind through slalom and circuit courses in an assortment of 3D environments Race for speed or hot dog for style Timeofday and weather effects add variety to the look and mood of the virtual skate parks  Unlock new environments as you progress and upgrade your skates with the money you earn,Missing,Missing
1017878400,[31],43657,Herdy Gerdy,[8],Gerdy an apprentice herder embarks on a quest to rescue his father from an evil spell His journey takes him across an island of diverse territories populated by an assortment of wild creatures each of which form part of a complex interrelated food chain To avenge his fathers nemesis and restore goodness to the island Gerdy must hone his herding skills and ultimately compete in a tournament to become Master Herder    Herdy Gerdy is primarily a platform game with strategy and puzzle elements The levels involve Gerdy traversing hazardous areas with timed jumps avoiding or destroying obstacles However a significant portion of the gameplay is dedicated to collecting various animals leading them onto a safe path similarly to Lemmings Each of the animals has its own behavior and skills eg swimming requiring the player to utilize different tactics to capture them,Missing,Missing
1019260800,[14],43618,Smash Court Tennis Pro Tournament,[8],In this officially licensed tennis game from Namco you can play in all four major tournaments of the tennis season The Australian Open Wimbeldon the French Open and the US Open with the best players in the world including Andre Agassi Lleyton Hewitt Monica Seles and more from the top 8 of both the ATP and WTA tournaments Single and multiplayer modes are included,Missing,Missing
1017878400,[12],43516,Atelier Lilie Plus: The Alchemist of Salburg 3,[8],After arriving in Salburg the games main protagonist Lilie hopes to build an alchemy academy in the Kingdom Alchemy is severely under developed in comparison to the Kingdom of El Baldor which is home to many talented alchemists  Because Salburg has never seen the likes of alchemy Lilie must prove to King Schigsal that the Kingdom would benefit from alchemy Working through a small workshop in town Lilie will enlist the help of two bright alchemy students from El Bador Hermina and Ingrid to help her work  Lilies main goal is to gather any aide that she can so that the academy can be built,Missing,Missing
1019433600,"[9, 31]",43463,ICO: Limited Edition,[8],New features Translated Areas that are missing Extra hidden weapon Graphics that are missing 2 Players support after completing the game second player can control the girl Better Puzzles that are far too simplemissing  A young boy is locked away deep in a castle after horns started growing out of his head After breaking free from his confines he rescues a mysterious girl from her cage Together they must escape the dangers of the castle and fend off the shadow creatures haunting their every move,Missing,Missing
