first_release_date,genres,id,name,platforms,storyline,summary,rating
825033600,[9],252872,Logic Puzzle Rainbow Town,"[7, 32]",Missing,Missing,Missing
825033600,[34],165590,Magical Girl Pretty Samy Part 2: In the Julyhelm,"[6, 7, 149]",Game includes two remaining episodes Episode 3 Friends Episode 4 Leave it to Sammy,A visual novel based on the Magical Girl Pretty Sammy series,Missing
824428800,"[31, 33]",91772,Doraemon: Nobita to Fukkatsu no Hoshi,"[7, 32]",Missing,Doraemon Nobita to Fukkatsu no Hoshi is a sidescrolling action platformer and one of the many titles based on the longrunning childrens cartoon The game is divided into short platform stages each with a specific objective or goal that must be completed to move on Between stages there are voiced visual novelstyle sequences which move the story forward There are sometimes choices available in these sections which can affect which stage the player reaches next,Missing
824428800,[5],64199,Vehicle Cavalier,"[7, 9]",Missing,Mecha combat game for the PS1,Missing
825033600,[31],62987,Welcome House,"[7, 32]",Missing,An adventure game about a man named Keaton trying to escape from a house he is trapped in,Missing
825033600,[9],45082,Blockids,[7],Missing,Blockids for PlayStation is a 3D take on the arcade classic Breakout Players choose one of eight animated characters and prepare to compete against an assortment of colorful opponents whose fortresses must be breached The object is to break a series of bricks by smashing a ricocheting ball into them using a horizontal paddle  The default view is presented from an angled topdown perspective but players can switch to a perspective right behind the paddle for a more 3D feel New twists on the classic gameplay include the ability to bounce the ball over barriers as well as earn a special powerup by scoring a certain number of points,Missing
824342400,[5],20604,Krazy Ivan,"[6, 7, 32]",Missing,It is the year 2018 Devastating energy shields have appeared in five different places on the earth and are spreading at an incredible rate There is only one solution combat the enemy from within and destroy them Only one machine is powerful enough a 40ft high Robot Only one man is crazy enough to operate it His name Krazy Ivan,Missing
823219200,[14],20428,NHL FaceOff,[7],Missing,Sony Computer Entertainments first foray into the world of professional ice hockey The game was made for the 19951996 NHL season and the FaceOff brand continued into the 21st Century,Missing
823824000,"[14, 33]",20259,Namco Museum Vol. 2,[7],Missing,The second in Namcos Museum series brings together the following games Super PacMan Xevious Mappy Grobda Dragon Buster Gaplus There are also some extras in the museum section including never before seen pictures and text of the development of each title,Missing
825552000,[4],20256,Rise 2: Resurrection,"[7, 13, 32]",Missing,Its pure robotonrobot ferocity as mechanized warriors duke it out for bragging rights The sequel to the popular RISE OF ROBOTS RISE 2 boasts improved graphics sound that will knock you out of your seat and an original soundtrack by Queens Brian May that rivals the music in FLASH GORDON Choose from an array of 18 sinister hunks of metal as you utilize dozens of brutal combos gruesome termination moves and slick 2D fighting techniques  Youve seen the 2D setup in the past but never with this much detail and seamless play The controls are intuitive and responsive and the fights are so realistic youll have to pause the game to breathe Make no mistakethis game is as dark as fighting games come Each character is a brutal emotionless automaton determined to end the existence of his onscreen counterpart Whether youre into robots fighting games or neither theres no room for disappointment here Boasting several game modes fully customizable options and lots of hidden goodies to uncover this is one sequel thats better than the original 18 sinister hunks of metal 2D fighting techniques improved graphics original soundtrack several game modes customizable options hidden goodies to uncover,Missing
823219200,[14],20254,NFL GameDay,[7],Missing,This is the first installment in the NFL GAMEDAY series and it has all the players teams stadiums stats and injuries that you see in the real NFL in fact this game is so realistic it could even fool the most diehard fans into thinking theyre watching a game on TV not playing one There is a wide variety of offensive and defensive moves you can use to make things easier including dives spins hurdles jukes and stiff arms on offense and dives jumps forearm bashes and swim moves on defense Basically if youve seen it done in the real NFL then chances are youll see it in NFL GAMEDAY Things like long snap counts men in motion and defensive stunts can all be found in the game giving you an NFL experience like no other You can also take on a friend in versus mode and see who is the king of the gridiron,Missing
824083200,[13],934,Wing Commander IV: The Price of Freedom,"[6, 7, 13, 14]",Missing,The year is 2673 four years after the Treaty of Torgo and the end of the Kilrathi War As hostilities died out more trivial concerns like rebuilding what was lost or dealing with space piracy became the biggest concerns of the Terran Confederation Even Christopher Maverick Blair the famous Confed pilot responsible for ending the war settled down and became a farmer In these times of peace humans grew fat and complacent All good things must end though Soon enough heinous incidents erupted on the outskirts of the Confederation and humanity was forced to the brink of civil war Confed HQ needed the best and decided to recall Colonel Blair to active duty This is where you come in  Wing Commander 4 is one of the greatest space sims of all time and some even consider it the greatest one of all It is one of those games that did everything right This is one of the few games that actually successfully manages to integrate a lot of FMV into the action mostly because it uses trained film actors and directors The combat is straightforward fluid and entertaining The characters are as believable and memorable as they come The orchestrated music  just perfect Finally its enthralling story is both deep and plausible  a combination that is often lost in modern games There is simply no reason not to play this game and once you do start playing you will find it hard to think of a reason why you should stop,89.42574654654268
825552000,"[15, 16]",634,Sid Meier's Civilization II,"[6, 7, 14]",Missing,A turnbased strategy video game set around several different historic civilizations,88.16666908701751
