first_release_date,id,name,platforms,summary,genres,rating,storyline
964656000,269370,Bikkuri Mouse,[8],The first PS2 mousecompatible software The game may look like another graphicpaint tool software but it is more of a freestyle drawing software with games It does not feature zooming capabilities or let players draw pixelbypixels It only uses 12 colors and lets players select different types of canvas Aside from normal pens there are pens that draw pictures for players For example a circle drawn with a black pen may become a black tire or a circle drawn with a blue pen may become a puddle of water and a circle drawn with a yellow pen may become a full moon Other canvases are more like minigames where the player will need to draw a frying pan to catch eggs thrown by a game character or draw objects on top of a jumping board and plunge them into the sea Players can save pictures theyve drawn and record a threeminute movie clip showing their drawings progression Up to about ten clips can be recorded,Missing,Missing,Missing
963446400,266555,Ganbare! Nippon! Olympics 2000,"[4, 7]",A port of International Track  Field 2000 officially licensed by the Japanese Olympic Comitee bearing the official Olympic Games license,[14],Missing,Missing
963964800,229575,jikkyou Pawafuru Puroyakyu 2000: Kaimaku-ban,[7],Missing,[14],Missing,Missing
963446400,203014,Simple 1500 Series Vol. 29: The Tsuri,[7],Simple 1500 Series vol 29  The Tsuri is a first person perspective fishing game That features 5 different main fishing spots with different part of each fishing spot for the player to choose where to fish in places like rivers ponds etc  The game is about fishing freshwater fishes there are 2 games modes Free mode and challenge mode The free mode is just choose a spot and go to fish there In the challenge mode the game challenge the player to catch a fish with a specific weight,[14],Missing,Missing
964656000,176877,MoHo,"[6, 7, 23]",MoHo is a Sega Dreamcast game developed by Lost Toys and published by Take 2 Interactive in 2000 It is notable for being the only exclusive Dreamcast game for the United Kingdom despite receiving ratings from the German USK and French SELL ratings bodies and having its back cover description translated into German  An American release under the name of Ball Breakers was planned for release in November 20005 but cancelled near completion three different rips of a late prototype were leaked simultaneously in 2012,[4],Missing,Missing
964915200,167708,LEGO Rock Raiders,[7],Unlike the Windows version the PlayStation version is an action and strategy game in which the player controls a character instead of just commanding a squad While the former was centered on constructing a base and mining the latter centers on exploring,[24],Missing,Missing
964051200,166561,Catch! Kimochi Sensation,[7],Pandora Max Series Vol 4 Catch Kimochi Sensation is a Dating Sim developed and published by Pandora Box which was released in Japan in 2000,"[13, 34]",Missing,Missing
964656000,138930,Suna no Embrace: Eden no Sato no Never,[7],A RPG set in a desert fantasy world where water is the most valued resource,[12],Missing,Missing
964483200,115838,Michelin Rally Masters: Race of Champions,"[4, 6, 7]",This is the OFFICIAL game of the real Race of Champions Take the various authentic ROC cars 22 in all through different tracks on headtohead SuperSpecial challenge modes or traditional rally stages as you speed and slide through mud gravel snow and more Five levels of difficulty will let you learn at your own pace Multiple game modes RoC Challenge Cup Challenge Trophy time attack single race single stage keep you challenged Run races online with other players through dedicated servers or setup your own,[10],Missing,Missing
963446400,112549,Inagawa Junji: Mayonaka no Taxi,[7],The player takes on the role of a taxi driver in Osore Cho literally Fear Town listening to the various horror stories of their clients You have the option to pick up or ignore clients and the story changes depending on these decisions Occasionally you will be attacked by paranormal phenomena so it is still possible to get a game over  There are 36 stories in total including 4 hidden stories Each of the stories are between ten and twenty minutes long Ten of the stories are narrated by Mr Inagawa while fourteen are narrated by other voice actors The remaining eight stories have no narration and are only text based There are certainly some famous ghost stories included in this collection in particular 犬鳴峠  Howling Dog Pass,[34],Missing,Missing
963446400,112548,Simple 1500 Series Vol. 31: The Sound Novel,[7],Missing,[34],Missing,Missing
963964800,98801,SuperLite 1500 series: The Tetris,[7],The original version of the latest puzzle game classic  Tetris is proud to number more than 50 million sales worldwide is a popular puzzle game This work The Tetris So scores continue to compete off the block 1PLAYER mode you can play with man against man 2PLAYER We offer a mode  1PLAYER mode is a type of game scores compete Eliminate one level up every 10 columns change the background image is available 140 sheets at a time The faster the blocks fall in the level rises will slow once every five levels maintains the integrity of the tension and sense of relief on continuing the game  The difficulty levels from 0 to 30 can be selected at intervals of 5 levels When you reach a level higher than 35 games go the more you can choose from one level in the next play  2PLAYER mode is a type of game play against each other to do two users Depending on the column player disappeared garbage is fed to the other blocks Saseta side wins piled up above the opponents block,[9],Missing,Missing
962841600,78876,Jikkyou Pawafuru Puroyakyu 7,[8],The seventh iteration in the main Power Pro series and the first on the PlayStation 2,[14],Missing,Missing
964656000,73872,Baroque Syndrome,"[7, 9, 34, 38, 39, 46]",You take the role of Kitsune Kanazawa a Japanese student that becomes entangled in the investigation of a series of supernatural murders which will slowly introduce key characters who will play a part in the upcoming apocalypse  The game is played as an interactive novel with 2D still pictures of settings and characters being the main graphic elements and all actions being described via scrolling texts At several intervals you will have to make a choice that branches the plot in different directions but thats all the interaction you get to make,[34],Missing,Missing
964656000,65456,Twilight Syndrome Saikai,[7],The story of Twilight Syndrome Saikai focuses on four Japanese teenagers Yuri her sister Masa and their friends Atsushi and Aya It all begins when the youngsters hear rumors about spirits contained in the school building At night Yuri and her friends go into the school and play a spiritsummoning game Suddenly real ghosts appear and scare the teenagers away The next day Yuri is almost ready to believe it was all a dream but naturally it wasnt The dark secrets of the lost souls are going to be revealed only to those which possess a special sense  the Twilight Syndrome  The third entry in the Twilight Syndrome series is also a horror adventure sharing most gameplay elements with its predecessors The gameplay here is very minimalistic the player can navigate the 3D models of the heroes several characters can be controlled at once as a group through the limited areas also rendered in 3D searching for clues and escaping from danger There is no other interaction no usable items and no combat  Dialogue and action choices will pop out during many situations Some of these choices do not influence the narrative while others might change the following dialogue and also lead the young heroes to premature death  An additional gameplay mode beside the story mode is freeroaming exploration for Yuri who can explore the school and its surroundings at night and gather more stories from the ghosts she encounters,[31],Missing,Missing
963532800,45087,Reel Fishing II,[7],Players can start the game in Free mode and choose from three different fishing spots The majority of the action is experienced in the Season mode however where you are challenged to maintain a fishing career From the Aqua Lodge menu screen you will be able to travel between three different rooms your work desk the fish tank room and the stock corner At your desk you can read Fish Find magazine for more information on how to catch fish or you can search through your lure and fly organizer empty at the beginning of the game  If you catch some fish and decide to keep them you have the option of placing them in one of the appropriate fish tanks One is for salt water one for fresh water and one for running water Once you start fishing in the Season mode youre able to choose between two fishing spots When you catch a certain number of fish youre allowed to go to more areas and gain levels,[14],Missing,Missing
964742400,44987,The Flintstones: Bedrock Bowling,"[6, 7]",Prehistoric times beware  The Flintstones have invaded the bowling alley Fred Flintstone Barney Rubble Pebbles BammBamm and Dino are taking advantage of a newly transformed Bedrock That pesky alien Gazoo is always up to no good now hes turned the entire town into massive bowling lanes complete with obtruding hazards and lots of rock,"[10, 14]",Missing,Missing
963619200,44855,Wipeout 3 Special Edition,[7],Wipeout 3 is a racing game that retains the same basic elements of its predecessors and introduces players to the F7200 AntiGravity Race League Set in 2116 players control futuristic antigravity ships owned by racing corporations and pilot them on eight circuits plus four hidden prototype tracks,[10],Missing,Missing
962841600,43852,Suzuki Bakuhatsu,[7],A bombdisposal puzzle game released exclusively in Japan,[9],Missing,Missing
964051200,43748,Player Manager 2000,[7],Player Manager 2000 is a Sports game developed by Anco Software and published by Ubisoft which was released in Europe in 2000,[14],Missing,Missing
964915200,43712,NCAA Football 2000,[7],NCAA FOOTBALL 2000 has all the gameplay options you expect from a college football sim Exhibition Tournament Great Games Season Practice and Dynasty You also get 114 division IA and 26 new division IAA teams meaning youre likely to find your favorite squad on the roster If youre feeling creative you can also take advantage of the games CreateAPlayer and CreateAPlay features as well as the new CreateASchool feature This new mode lets you create a school and then take its team through multiple seasons in Dynasty mode You can also scout players and get them interested in playing football for your school by sending different members of the coaching staff to their hometowns If youre looking for a college football game that has it all NCAA FOOTBALL 2000 might just be what you need,"[13, 14]",Missing,Missing
963014400,43646,All Star Pro-Wrestling,[8],The breathtaking realism is the ultimate goal The warriors of the ring will capture your imagination and come to life Square has entered the arena of professional wrestling and it will shock you and bring you into the action,[14],Missing,Missing
964396800,38442,Narcissu: Moshimo Ashita ga Runara,[38], on that blindingly bright day   on that very day of winter   This is a story of disease and suffering of medication and adverse effects of thoracotomy scars and cellular poisons of the living who cannot help but to die and of the dying who cannot help but to live of a resting place other than on 7F or at home  This is a story of so many things  But most of all   This is the story of a girl whose heart was standing still and a boy whose breath was being stolen away both of whom die,[31],Missing,Missing
964828800,24155,Star Trek: Invasion,[7],The Borg are once again invading Federation space Their target Sector 001 Earth You are part of an elite flying team known as Valkyrie squadron commanded by none other than Lieutenant Commander Worf of Star Trek The Next Generation fame  Youll fly through different territories and encounter familiar races from the popular television series including Klingons Romulans Borg and a new enemy known as the KamJahtae There are twists and turns throughout the game as you protect convoys from enemy attacks engage galaxy class starships and go on solo retrieve and rescue missions The storyline is accented by the voices of actors Patrick Stewart Captain JeanLuc Picard and Michael Dorn Lieutenant Worf  Your ship is outfitted with phaser cannons and photon torpedoes both of which you will have to master in order to succeed in your battles with enemy crafts Users can play from a view behind their ship or from a firstperson view inside the cockpit The game supports analog control as well as force feedback and uses up one block of memory on the standard PlayStation Memory Card to save progress,"[5, 13]",Missing,Missing
963532800,3523,Jeremy McGrath Supercross 2000,"[4, 7, 23]",Jeremy McGrath Supercross 2000 is a title based on the sport of motocross racing where players can compete indoors outdoors in tournaments or in a series of freestyle challenges The game is played from a perspective behind the bike as you strive to place first while negotiating the various hills and turns that characterize the dirtfilled tracks  A total of four game modes are available to aspiring riders Race Series Mode Time Trial and Freestyle Race is a contest to see who is the fastest driver on your choice of tracks after the race is over you can choose another track and rider or move on to another mode Series Mode is the heart of the game where youll be able to embark on an Indoor SuperCross Outdoor Nationals Combined event or your own Custom series,"[10, 14]",Missing,Missing
962928000,421,Final Fantasy IX,"[7, 9, 38, 46]",Final Fantasy IX is the ninth main installment in the FF series The title is a return to the seriess roots with gameplay features and references to the past games featuring throughout as well as a medieval fantasy setting and cartoonish art style as a break from the scifi slant style of Final Fantasy VII and Final Fantasy VIII,"[12, 16]",88.23034918680341,Taking place on planet Gaia the story follows a thief named Zidane Tribal a member of a thief troupe who is tasked to kidnap the princess of Alexandria Garnet Til Alexandros XVII He teams up with her and a team of allies to stop Queen Brahne and her ally Kuja from waging a war with an army of black mages
