,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Kutar Burger Factory,Kutar Burger Factory,0.0,0.0,0.0,0,0,0
1,Crazy Chicken: Pharaoh's Treasure,Crazy Chicken: The Pharaoh's Treasure,0.0,0.0,1.25,20,1,1
2,Hudson Selection Vol. 3: PC Genjin,Hudson Selection Vol. 3: PC Genjin,0.0,0.0,0.0,0,0,0
3,Hudson Selection Vol. 4: Takahashi Meijin no Bouken-jima,Not found on hl2b,0.0,0.0,0.0,0,0,0
4,Neon Genesis Evangelion: Ayanami Raising Project with Asuka Supplementing Project,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,World Championship Pool 2004,World Championship Pool 2004,0.0,0.0,0.0,0,0,0
6,Baten Kaitos: Eternal Wings and the Lost Ocean,Baten Kaitos: Eternal Wings and the Lost Ocean,52.24,59.06,126.05,82,108,122
7,Phantasy Star Online Episode I & II Plus,Phantasy Star Online Episode I & II Plus,54.1,86.41,138.02,87,46,17
8,Pac-Man Vs.,Pac-Man Vs.,4.27,0.0,0.0,70,7,1
9,Donkey Konga,Donkey Konga,12.47,21.88,27.5,66,60,23
10,Harry Potter and the Sorcerer's Stone,Harry Potter and the Philosopher's Stone,6.12,7.65,8.57,67,458,371
11,The Sims Bustin' Out,The Sims Bustin' Out,13.33,21.37,27.38,70,58,37
12,Naruto: Clash of Ninja 2,Naruto: Clash of Ninja 2,2.51,14.33,14.44,72,42,27
13,Sonic Heroes,Sonic Heroes,11.72,18.53,34.0,66,384,212
14,One Piece: Grand Battle! 3,One Piece: Grand Battle! 3,0.0,0.0,0.0,0,0,0
15,DreamMix TV World Fighters,DreamMix TV World Fighters,0.33,0.0,4.17,46,5,3
16,The King of Fighters 2003,The King of Fighters 2003,1.03,1.46,80.0,74,27,15
17,Mission: Impossible - Operation Surma,Mission: Impossible - Operation Surma,7.64,8.0,8.5,56,7,11
18,Mercedes-Benz World Racing,Mercedes-Benz World Racing,10.0,0.0,0.0,59,7,2
19,Disney's Hide and Sneak,Disney's Hide & Sneak,0.0,0.0,0.0,0,0,0
20,Duel Masters,Duel Masters,7.0,0.0,0.0,70,11,3
21,Jikkyou Pawafuru Puroyakyu 10: Chou Kettei-ban 2003 Memorial,Not found on hl2b,0.0,0.0,0.0,0,0,0
22,Momotaro Dentetsu 12: Nishi Nihon-hen mo Ari Masse!,Not found on hl2b,0.0,0.0,0.0,0,0,0
