,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,Dark Covenant,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,"Fin Fin: On Teo, the Magic Planet",Not found on hl2b,0.0,0.0,0.0,0,0,0
2,Kakyuusei,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,Casper Brainy Book,Not found on hl2b,0.0,0.0,0.0,0,0,0
4,Sotsugyou Crossworld,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,SimCity 2000: Network Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
6,PlayMaker Football 2.0,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,Star Command: Revolution,Star Command: Revolution,0.0,0.0,0.0,0,0,0
8,Kokuu Hyouryuu Nirgends,Not found on hl2b,0.0,0.0,0.0,0,0,0
9,Quake,Quake,5.32,7.24,14.07,81,544,579
10,Normality,Normality,5.93,0.0,0.0,54,5,8
