,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,The Appointed Station,Not found on hl2b,0.0,0.0,0.0,0,0,0
1,Unread,Eric the Unready,8.58,15.25,0.0,79,4,4
2,Daisenryaku: Players's Spirit,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,Sotsugyou R: Graduation Real,Not found on hl2b,0.0,0.0,0.0,0,0,0
4,Mobile Suit Gundam Version 2.0,Not found on hl2b,0.0,0.0,0.0,0,0,0
5,Choro Q,Choro Q,0.0,0.0,0.0,40,1,0
6,NuPa,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,Gradius Deluxe Pack,Not found on hl2b,0.0,0.0,0.0,0,0,0
8,Asuka 120% Special Burning Fest.,Asuka 120% Special BURNING Fest.,0.75,0.0,0.0,70,1,1
9,Hyper Final Match Tennis,Not found on hl2b,0.0,0.0,0.0,0,0,0
10,Meltylancer: Ginga Shoujo Keisatsu 2086,Not found on hl2b,0.0,0.0,0.0,0,0,0
11,Bishoujo Senshi Sailor Moon SuperS: Shin Shuyaku Soudatsusen,Not found on hl2b,0.0,0.0,0.0,0,0,0
12,Air Management '96,Air Management '96,0.0,0.0,0.0,0,0,0
13,Ganbare Goemon: Uchuu Kaizoku Akogingu,Ganbare Goemon: Uchuu Kaizoku Akogingu,0.0,6.47,0.0,70,1,1
14,Fire Pro Wrestling: Iron Slam '96,Not found on hl2b,0.0,0.0,0.0,0,0,0
15,Expert,Veiled Experts,0.0,0.0,0.0,60,1,0
16,Tetris X,Tetris.exe,0.19,0.0,0.0,60,1,1
17,Killing Zone,Killing Zone,0.0,0.0,0.0,0,0,0
18,Olympic Soccer,Olympic Soccer: Atlanta 1996,0.66,0.0,0.0,0,0,1
19,Salamander 2,Salamander 2,0.41,0.0,0.0,63,4,3
20,Dragon Force,Dragon Force,29.78,30.44,32.5,84,13,12
21,Resident Evil,Resident Evil,11.25,13.38,20.54,87,427,351
22,Dragon Ball Z: The Legend,Dragon Ball Z: Idainaru Dragon Ball Densetsu,6.57,0.0,0.0,71,25,9
23,Descent II,Descent II,12.63,12.64,26.0,76,16,10
24,Bust-A-Move 2: Arcade Edition,Bust-A-Move 2: Arcade Edition,0.92,1.37,3.46,73,30,15
