,name,title_found,main,extra,completionist,review_score,review_count,people_polled
0,The Baseball 2002: Battle Ball Park Sengen,The Baseball 2002: Battle Ball Park Sengen,0.0,0.0,0.0,0,0,0
1,Magi Death Fight: Mahou Gakuen,Magi Death Fight: Mahou Gakuen,0.0,0.0,0.0,0,0,0
2,Doom 3: Limited - Collector's Edition,Not found on hl2b,0.0,0.0,0.0,0,0,0
3,Totaled!,Totaled!,0.0,0.0,0.0,0,0,0
4,Murakumo: Renegade Mech Pursuit,Murakumo: Renegade Mech Pursuit,3.75,0.0,0.0,0,0,2
5,Bruce Lee: Quest of the Dragon,Bruce Lee: Quest of the Dragon,5.65,0.0,0.0,60,4,5
6,Break Nine: World Billiards Tournament,Not found on hl2b,0.0,0.0,0.0,0,0,0
7,Crazy Taxi 3: High Roller,Crazy Taxi 3: High Roller,3.48,8.0,8.33,68,14,8
8,MLB Slugfest 2003,MLB Slugfest 2003,0.0,0.0,0.0,73,6,0
9,NCAA Football 2003,NCAA Football 2003,0.78,0.0,0.0,60,5,1
